Country Name,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
"China, P.R.: Macao","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",11.20061279,-0.852107968,-20.34874242,-4.748693225,0.23877415600000002,0.410595217,1.087283077,1.94296636,2.583093715
Mongolia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",11.64891619,7.885225481,2.3571711890000002,0.041471652000000005,0.97636868,3.466654065,5.129723428,8.574177658,5.467369047999999
Vanuatu,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.96914608,2.3304363759999998,-0.8,4.0,4.5,4.0,3.5,3.0,3.0
Tuvalu,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.2923264620000001,2.236106813,2.6420137130000003,3.951913367,2.267878331,2.335116729,2.216674225,2.021799219,2.070993406
Tonga,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-0.565545018,2.896921266,3.411636443,2.7263083139999997,2.440973959,2.708004667,2.303733313,1.7739816819999998,1.7841963180000002
"Timor-Leste, Dem. Rep. of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.875695733,5.861136159,4.251,5.0,5.5,6.0,6.5,5.5,5.500342783
Solomon Islands,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.020456238,1.9793840219999999,3.25,2.9991144910000003,3.2707910310000003,3.00933265,2.9953530880000003,2.9988422760000004,3.240687579
Samoa,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-1.931325182,1.196146621,1.634775059,3.014977665,1.5090758999999998,2.038807748,2.1039839380000003,2.1039839380000003,2.1039839380000003
Papua New Guinea,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.734803832,7.352608126,6.619787527000001,2.540932916,2.953125928,2.486958021,3.371378589,3.38963245,3.415703156
Palau,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-2.4092742769999997,4.234079877,9.383689562,0.0,5.0,5.0,4.0,3.0,2.0
"Micronesia, Federated States of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-3.561518835,-3.402898057,-0.164921439,1.0535620909999999,0.722411638,0.7182234679999999,0.8242711779999999,0.48034527,0.6
"Marshall Islands, Republic of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-1.073990088,0.398062973,1.379068779,1.745163508,1.7500314869999998,1.59962375,1.5505446859999998,1.336450028,1.3
Maldives,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.69770875,6.479384758999999,1.5152459390000002,3.008267047,4.059876043,4.715681647,4.722155313,4.779915699,4.7243227139999995
Kiribati,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.782164323,2.408704811,3.4969951889999997,3.0747329310000002,2.4787127509999998,2.014172282,1.4879754969999999,1.689492397,1.815199618
Fiji,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.735557923,5.289234505,4.3,2.5,3.9,3.9,3.6,3.6,3.6
Bhutan,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.570475314,3.818127122,5.213714102,6.028486238999999,6.408630329,11.34265762,13.87697543,8.50152687,5.231192867
Vietnam,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.421873799,5.9836348489999995,6.67930813,6.1,6.2,6.2,6.2,6.2,6.2
Thailand,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.70211729,0.8176331020000001,2.819683122,3.234097168,3.2737064830000002,3.0971671639999996,3.033919066,3.033919066,3.033919066
Singapore,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.6752482760000005,3.260046591,2.008348373,1.69466882,2.229646936,2.641678561,2.635425212,2.635425212,2.635425212
Philippines,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.064009887999999,6.216544794,5.90691837,6.40000064,6.69674346,6.8,6.9,7.0,7.0
