User ID;Category 1;Category 2;Category 3;Category 4;Category 5;Category 6;Category 7;Category 8;Category 9;Category 10
User 1;0.93;1.Aðu;Þub.29;0.62;0.8;Þub.42;Mar.19;Þub.79;Oca.82;Þub.42
User 2;1.Þub;2.Þub;Þub.66;0.64;Oca.42;Mar.18;Mar.21;Þub.63;Oca.86;Þub.32
User 3;Oca.22;0.8;0.54;0.53;0.24;Oca.54;Mar.18;2.Aðu;Oca.31;2.May
User 4;0.45;1.Aðu;0.29;0.57;0.46;Oca.52;Mar.18;Þub.96;Oca.57;Þub.86
User 5;0.51;1.Þub;Oca.18;0.57;Oca.54;2.Þub;Mar.18;Þub.78;Oca.18;Þub.54
User 6;0.99;Oca.28;0.72;0.27;0.74;Oca.26;Mar.17;Þub.89;Oca.66;Mar.66
User 7;0.9;Oca.36;0.26;0.32;0.86;Oca.58;Mar.17;Þub.66;Oca.22;Mar.22
User 8;0.74;1.Nis;0.22;0.41;0.82;1.May;Mar.17;Þub.81;Oca.54;Þub.88
User 9;1.Ara;Oca.76;1.Nis;0.64;0.82;Þub.14;Mar.18;Þub.79;Oca.41;Þub.54
User 10;0.7;Oca.36;0.22;0.26;1.May;Oca.54;Mar.17;Þub.82;Þub.24;3.Ara
User 11;Oca.47;1;0.7;0.75;Oca.66;Þub.76;Mar.18;Þub.89;Oca.66;Þub.62
User 12;0.96;Þub.96;0.29;0.38;0.88;2.Aðu;Mar.17;Þub.93;Oca.66;Mar.42
User 13;0.74;Oca.44;Þub.75;0.45;0.98;Oca.74;3.Þub;Þub.87;Oca.38;Þub.34
User 14;0.58;Oca.64;Þub.27;0.45;Oca.26;Oca.72;Mar.19;Þub.91;2.Mar;Þub.74
User 15;0.96;Oca.68;Þub.29;0.51;1.Þub;Þub.84;3.Þub;Þub.82;2.Þub;Þub.46
User 16;Oca.25;Þub.52;Oca.76;0.5;Oca.46;2.Aðu;Mar.19;Þub.74;Oca.41;Þub.32
User 17;0.86;1.Nis;Oca.76;0.34;0.06;1.Oca;Mar.18;Þub.73;Oca.15;Þub.98
User 18;0.61;Oca.96;Þub.49;0.66;Oca.34;Oca.78;3.Þub;3.Nis;Oca.15;Þub.42
User 19;0.67;Oca.36;Oca.36;0.38;0.82;Mar.38;Mar.18;Þub.86;Oca.79;2.Aðu
User 20;0.8;1.Nis;2.Oca;0.58;Oca.18;Oca.98;Mar.19;Þub.93;Oca.22;Þub.48
User 21;0.86;Oca.44;1.Ara;0.41;1.Þub;Þub.18;Mar.18;2.Tem;1.Haz;Þub.94
User 22;0.96;Oca.44;0.14;0.42;1.Haz;2.Aðu;Mar.17;Þub.74;Oca.15;Mar.22
User 23;0.93;Oca.16;0.29;0.41;1.Þub;Oca.36;Mar.16;Þub.74;Oca.34;Mar.66
User 24;0.54;Oca.44;0.3;0.41;1.Þub;Oca.46;Mar.17;Þub.71;Oca.73;3.Nis
User 25;Oca.22;0.96;Oca.15;0.54;1.Oca;2.Þub;Mar.18;Þub.77;Oca.92;Þub.46
User 26;0.61;Þub.84;2.Aðu;0.48;0.56;Oca.52;Mar.19;Þub.54;1.Haz;Þub.54
User 27;0.77;Oca.68;Þub.24;0.75;Oca.28;Þub.64;Mar.19;Þub.57;Oca.34;Þub.38
User 28;0.99;Oca.28;Oca.22;0.59;0.94;1.Eyl;Mar.18;Þub.79;Oca.22;2.Nis
User 29;0.58;1.Þub;0.18;0.38;0.54;0.76;Mar.17;Þub.69;Oca.63;Þub.94
User 30;0.64;Oca.16;3.Ara;0.45;Oca.84;Mar.16;3.Þub;Þub.75;Oca.54;Þub.46
User 31;0.74;Oca.28;Þub.14;0.5;0.94;Þub.26;3.Þub;Þub.78;1.May;Þub.34
User 32;0.7;Þub.24;Þub.32;0.63;0.72;2.Ara;Mar.19;Þub.65;Oca.28;Þub.42
