"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",235,43,4,0,"Local transmission",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",277,34,15,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",847,263,58,23,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",396,20,13,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Angola",8,1,2,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Anguilla",2,0,0,0,"Local transmission",6,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Antigua and Barbuda",7,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",1054,88,27,3,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",571,39,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",55,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",4976,269,21,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",10711,529,146,18,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",359,61,5,0,"Local transmission",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",569,2,4,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",54,0,6,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",33,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",192,40,2,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",13964,1189,828,123,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Belize",3,0,0,0,"Local transmission",2,"Level 2: Exercise Increased Caution","January 4, 2019","Not yet restricted"
"Benin",13,4,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",32,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",4,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",115,8,7,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 10, 2018","Restricted"
"Bosnia and Herzegovina",464,51,13,1,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Botswana",3,0,1,1,"Imported cases only",1,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
