"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",24,2,0,0,"Imported cases only",0,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",70,0,2,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",94,12,10,3,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",75,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",1,0,0,0,"Imported cases only",7,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",128,31,3,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",136,14,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",5,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",873,164,7,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",2649,806,6,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",44,10,1,0,"Imported cases only",0,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",285,16,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",17,0,1,0,"Local transmission",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",5,3,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",57,11,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",2257,462,37,23,"Local transmission",0,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",2,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",2,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",2,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",16,1,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 6, 2020","Restricted"
"Bosnia and Herzegovina",44,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",621,193,4,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",127,33,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",40,0,1,0,"Imported cases only",1,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cabo Verde",1,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",51,4,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",22,7,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",846,110,9,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",3,0,1,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",1,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",434,92,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",81416,116,3261,8,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",145,37,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",113,26,2,1,"Local transmission",0,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",126,45,1,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",16,5,1,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",67,9,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Denmark",1255,123,9,3,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",1,0,0,0,"Under investigation",2,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominican Republic",72,38,2,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",367,168,5,2,"Local transmission",0,"Level 2: Exercise Increased Caution","November 7, 2019","Not yet restricted"
"Egypt",256,46,7,1,"Local transmission",0,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"El Salvador",1,0,0,0,"Imported cases only",1,"Level 2: Exercise Increased Caution","October 1, 2019","Not yet restricted"
"Equatorial Guinea",4,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Estonia",283,16,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",1,0,0,0,"Imported cases only",6,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",9,0,0,0,"Imported cases only",1,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Fiji",1,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","December 16, 2019","Not yet restricted"
"Finland",450,81,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",12475,1598,450,78,"Local transmission",0,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",15,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
"French Polynesia",11,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",3,0,1,1,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",43,5,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",18323,7324,45,25,"Local transmission",0,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
"Ghana",16,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Greece",495,77,8,3,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 5, 2019","Restricted"
"Guatemala",12,3,1,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 28, 2019","Not yet restricted"
"Guinea",2,0,0,0,"Imported cases only",1,"Level 2: Exercise Increased Caution","February 13, 2020","Not yet restricted"
"Guyana",5,0,1,0,"Local transmission",2,"Level 2: Exercise Increased Caution","May 30, 2019","Not yet restricted"
"Haiti",2,2,0,0,"Imported cases only",0,"Level 4: Do Not Travel","March 5, 2020","Restricted"
"Honduras",24,12,0,0,"Imported cases only",0,"Level 3: Reconsider Travel","June 24, 2019","Not yet restricted"
"Hungary",85,12,4,3,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 22, 2019","Restricted"
"Iceland",409,79,1,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","June 20, 2019","Not yet restricted"
"India",195,0,4,0,"Local transmission",1,"Level 2: Exercise Increased Caution","March 8, 2019","Restricted"
"Indonesia",369,60,32,7,"Local transmission",0,"Level 2: Exercise Increased Caution","December 27, 2019","Restricted"
"Iran",19644,1237,1433,149,"Local transmission",0,"Level 4: Do Not Travel","February 26, 2020","Not yet restricted"
"Iraq",193,16,14,2,"Local transmission",0,"Level 4: Do Not Travel","January 11, 2020","Not yet restricted"
"Ireland",683,126,3,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 4, 2019","Not yet restricted"
"Italy",47021,5986,4032,625,"Local transmission",0,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Jamaica",16,1,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Japan",996,46,35,2,"Local transmission",0,"Level 2: Exercise Increased Caution","February 22, 2020","Restricted"
"Jordan",69,13,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","December 12, 2018","Restricted"
"Kazakhstan",53,7,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","April 3, 2019","Not yet restricted"
"Kenya",7,0,0,0,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Kuwait",159,11,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Latvia",111,25,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","July 25, 2019","Not yet restricted"
"Lebanon",163,14,4,0,"Local transmission",0,"Level 3: Reconsider Travel","October 21, 2019","Not yet restricted"
"Liberia",2,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 7, 2019","Not yet restricted"
"Liechtenstein",34,9,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Lithuania",69,33,1,1,"Imported cases only",0,"Level 1: Exercise Normal Precautions","June 4, 2019","Not yet restricted"
"Luxembourg",484,139,5,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 29, 2020","Not yet restricted"
"Malaysia",1030,130,3,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Restricted"
"Maldives",13,0,0,0,"Local transmission",5,"Level 2: Exercise Increased Caution","May 2, 2019","Not yet restricted"
"Malta",64,11,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","July 1, 2019","Not yet restricted"
"Mauritania",2,0,0,0,"Imported cases only",2,"Level 2: Exercise Increased Caution","December 26, 2019","Not yet restricted"
"Mauritius",12,5,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Mexico",164,46,1,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","December 17, 2019","Restricted"
