title:sujeto 1                                                                        , recorded:30.06.20 13.24.04, sampling:128, subject:sujeto 1                                                                        , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
17,0,4183.589641,4191.794769,4178.461436,4168.205026,4257.948614,4202.051179,4231.794768,4202.051179,4237.948614,4204.102461,4168.717847,4186.666564,4181.025539,4180.512718
18,0,4183.589641,4200.512718,4179.999898,4193.333231,4241.538358,4182.564,4225.128102,4199.487077,4235.384512,4194.871692,4172.30759,4193.846051,4185.640923,4184.615282
19,0,4198.461436,4207.692205,4188.717846,4206.153743,4229.743486,4196.410154,4229.743486,4210.256307,4247.179383,4208.717846,4191.281949,4203.07682,4195.897333,4196.922974
20,0,4198.974256,4191.794769,4184.615282,4184.102462,4231.281948,4203.589641,4232.820409,4209.230666,4241.025537,4207.179384,4189.230667,4201.538359,4193.846051,4197.948615
21,0,4187.179385,4184.102462,4176.922975,4169.230667,4204.102461,4196.922974,4230.769127,4204.615282,4235.384512,4182.05118,4181.538359,4201.025538,4190.769128,4189.743487
22,0,4182.564,4198.974256,4181.538359,4181.538359,4202.564,4203.589641,4233.33323,4212.307589,4247.692204,4186.666564,4187.692205,4199.999897,4190.256308,4184.102462
23,0,4187.692205,4202.051179,4185.640923,4187.692205,4243.58964,4206.666564,4235.384512,4219.487076,4248.717845,4213.846051,4190.256308,4193.846051,4185.128103,4185.640923
24,0,4192.30759,4195.384513,4184.615282,4182.564,4250.256306,4207.179384,4233.84605,4215.384512,4242.563999,4220.512717,4183.589641,4196.410154,4190.256308,4190.256308
25,0,4194.358872,4201.538359,4188.205026,4196.410154,4225.640922,4213.846051,4234.871691,4213.33323,4244.615281,4215.897333,4185.128103,4205.128102,4200.512718,4191.281949
26,0,4184.102462,4202.564,4184.615282,4205.128102,4231.281948,4197.948615,4235.384512,4214.871692,4239.487076,4215.897333,4189.743487,4197.435795,4193.333231,4186.666564
27,0,4175.384513,4191.794769,4173.333231,4185.128103,4241.538358,4181.025539,4230.769127,4214.358871,4234.871691,4208.205025,4181.025539,4183.589641,4183.076821,4180.512718
28,0,4187.179385,4198.461436,4179.999898,4182.05118,4224.102461,4201.025538,4230.256307,4215.384512,4245.128101,4197.948615,4179.487077,4189.743487,4192.30759,4184.615282
