title:sujeto 1                                                                        , recorded:30.06.20 13.34.02, sampling:128, subject:sujeto 1                                                                        , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 , chan:37, units:emotiv,,,,,,,,,
67,0,4211.281948,4224.615281,4196.922974,4278.461434,4205.640923,4218.461435,4228.205025,4210.769128,4220.512717,4211.794769,4212.82041,4224.615281,4203.589641,4194.358872
68,0,4231.281948,4233.84605,4207.179384,4299.999895,4231.794768,4216.922974,4218.974256,4212.82041,4228.205025,4218.461435,4216.922974,4231.281948,4206.153743,4206.666564
69,0,4237.948614,4231.281948,4212.82041,4287.692203,4238.974255,4214.871692,4213.33323,4204.615282,4219.999897,4227.179384,4225.128102,4239.487076,4216.410153,4222.563999
70,0,4219.487076,4220.512717,4202.564,4274.87169,4226.153743,4210.769128,4215.897333,4196.410154,4211.281948,4226.153743,4221.538358,4234.358871,4215.897333,4216.922974
71,0,4210.769128,4217.435794,4194.871692,4284.102459,4230.769127,4216.410153,4222.051179,4208.205025,4225.640922,4222.563999,4211.281948,4224.615281,4204.102461,4197.948615
72,0,4224.615281,4218.974256,4204.102461,4288.205023,4233.84605,4221.538358,4219.487076,4216.922974,4234.358871,4226.666563,4214.358871,4226.153743,4197.948615,4195.897333
73,0,4234.871691,4218.974256,4214.358871,4288.205023,4207.692205,4211.281948,4206.153743,4206.153743,4218.461435,4234.871691,4223.58964,4235.384512,4201.538359,4212.307589
74,0,4228.205025,4223.58964,4207.179384,4286.666562,4193.846051,4205.640923,4201.538359,4197.948615,4217.948615,4229.743486,4216.410153,4233.84605,4206.153743,4215.897333
75,0,4220.512717,4227.179384,4195.897333,4284.61528,4216.922974,4218.974256,4213.33323,4204.615282,4233.33323,4220.512717,4215.384512,4227.179384,4210.256307,4208.717846
76,0,4225.640922,4221.025538,4204.102461,4290.256305,4236.410153,4225.640922,4215.384512,4204.615282,4225.640922,4229.230666,4225.640922,4231.794768,4211.281948,4211.794769
77,0,4231.794768,4217.948615,4216.922974,4290.769126,4234.871691,4214.871692,4204.102461,4199.487077,4210.769128,4235.897332,4221.538358,4238.974255,4207.692205,4217.435794
78,0,4229.230666,4221.025538,4209.230666,4278.461434,4229.743486,4201.538359,4198.974256,4201.025538,4213.33323,4228.717845,4213.33323,4237.435794,4203.589641,4212.307589
79,0,4228.205025,4215.897333,4201.538359,4270.769126,4228.205025,4199.999897,4203.07682,4201.538359,4220.512717,4225.640922,4218.974256,4232.307589,4205.640923,4208.717846
80,0,4232.307589,4218.974256,4210.769128,4282.051177,4227.179384,4213.33323,4209.230666,4207.692205,4225.128102,4229.743486,4223.58964,4234.871691,4210.769128,4215.897333
81,0,4231.281948,4231.281948,4215.897333,4297.948613,4217.435794,4222.051179,4212.82041,4213.846051,4225.640922,4236.922973,4218.974256,4241.025537,4208.717846,4216.922974
82,0,4231.281948,4226.153743,4208.205025,4296.410151,4203.07682,4216.410153,4215.384512,4211.281948,4218.974256,4232.307589,4217.948615,4238.974255,4201.538359,4207.179384
83,0,4229.743486,4215.384512,4203.07682,4286.666562,4214.358871,4212.82041,4212.307589,4208.205025,4219.999897,4215.384512,4215.384512,4231.281948,4198.461436,4201.538359
84,0,4220.512717,4217.435794,4202.564,4278.974254,4236.410153,4216.922974,4204.102461,4206.666564,4223.58964,4209.230666,4209.230666,4228.717845,4195.384513,4198.974256
85,0,4218.974256,4216.922974,4198.974256,4276.410152,4227.179384,4216.410153,4206.153743,4204.102461,4219.999897,4226.666563,4211.794769,4231.281948,4195.897333,4198.974256
86,0,4230.769127,4215.897333,4202.564,4286.666562,4210.769128,4207.179384,4213.846051,4207.179384,4217.948615,4239.487076,4215.384512,4234.358871,4200.512718,4211.794769
87,0,4235.384512,4222.051179,4212.307589,4289.743485,4226.666563,4213.846051,4215.384512,4215.384512,4221.538358,4226.666563,4215.384512,4239.487076,4203.589641,4218.974256
88,0,4222.051179,4216.410153,4208.205025,4270.769126,4235.897332,4220.512717,4214.871692,4211.794769,4219.487076,4214.871692,4215.897333,4236.922973,4201.025538,4206.666564
89,0,4209.230666,4204.615282,4196.410154,4262.563998,4201.538359,4206.153743,4211.794769,4199.999897,4213.33323,4221.025538,4209.743487,4227.179384,4195.384513,4196.922974
90,0,4211.794769,4212.307589,4196.922974,4276.922972,4186.153744,4204.615282,4207.692205,4200.512718,4216.410153,4224.615281,4203.589641,4227.692204,4193.333231,4199.999897
91,0,4220.512717,4221.025538,4201.538359,4282.051177,4220.512717,4217.948615,4213.846051,4205.128102,4221.025538,4212.82041,4207.179384,4231.794768,4197.435795,4202.564
92,0,4219.487076,4216.410153,4199.999897,4278.461434,4238.974255,4213.33323,4219.487076,4200.512718,4213.33323,4215.897333,4210.256307,4230.256307,4202.051179,4206.153743
93,0,4218.461435,4214.358871,4199.999897,4280.512716,4226.153743,4213.846051,4217.948615,4202.564,4215.384512,4236.922973,4209.743487,4230.769127,4204.102461,4212.82041
94,0,4227.179384,4220.512717,4198.461436,4277.435793,4229.743486,4233.84605,4219.999897,4215.384512,4229.743486,4241.025537,4217.435794,4234.358871,4208.205025,4218.461435
95,0,4224.102461,4220.512717,4194.358872,4269.743485,4236.922973,4224.615281,4217.948615,4210.256307,4227.692204,4227.179384,4217.435794,4230.769127,4204.102461,4213.846051
96,0,4216.922974,4215.897333,4196.922974,4277.435793,4206.666564,4198.974256,4212.82041,4196.410154,4215.384512,4218.461435,4203.07682,4227.179384,4197.435795,4203.07682
97,0,4226.666563,4217.948615,4202.051179,4289.230664,4187.692205,4204.102461,4213.33323,4204.102461,4217.948615,4223.07682,4205.128102,4230.769127,4205.128102,4209.743487
98,0,4232.307589,4225.128102,4199.999897,4284.102459,4220.512717,4220.512717,4217.948615,4217.435794,4224.102461,4237.435794,4219.999897,4234.871691,4212.82041,4218.461435
99,0,4221.538358,4223.58964,4198.974256,4272.307588,4244.615281,4220.512717,4225.128102,4217.435794,4221.025538,4235.897332,4216.410153,4232.307589,4203.589641,4209.230666
100,0,4219.999897,4216.410153,4202.051179,4277.435793,4229.230666,4215.384512,4224.102461,4212.82041,4215.897333,4215.897333,4207.179384,4229.743486,4196.410154,4205.640923
101,0,4233.33323,4219.487076,4205.128102,4289.230664,4221.538358,4218.974256,4216.922974,4213.846051,4221.025538,4217.948615,4218.974256,4241.025537,4208.205025,4219.487076
102,0,4235.897332,4224.102461,4205.128102,4277.948613,4227.179384,4220.512717,4218.461435,4218.974256,4230.256307,4234.358871,4228.717845,4250.256306,4215.897333,4223.07682
103,0,4224.615281,4219.487076,4196.922974,4262.563998,4228.205025,4214.358871,4219.999897,4211.794769,4227.692204,4226.153743,4210.769128,4233.84605,4205.128102,4210.769128
104,0,4215.897333,4216.410153,4192.30759,4272.820408,4225.640922,4211.794769,4212.82041,4197.948615,4216.410153,4211.281948,4195.897333,4216.922974,4193.333231,4198.461436
105,0,4219.487076,4216.922974,4198.461436,4287.179382,4205.640923,4213.846051,4210.256307,4198.974256,4214.358871,4219.999897,4204.615282,4225.128102,4192.30759,4198.974256
106,0,4227.179384,4222.051179,4202.564,4279.999895,4196.922974,4211.794769,4217.948615,4208.205025,4219.487076,4231.794768,4217.948615,4242.563999,4203.589641,4212.82041
107,0,4226.153743,4229.743486,4201.025538,4276.922972,4224.615281,4208.717846,4224.102461,4210.256307,4226.153743,4232.820409,4224.102461,4245.640922,4215.384512,4221.025538
108,0,4222.563999,4221.538358,4199.999897,4282.563998,4239.999896,4212.82041,4221.538358,4209.230666,4226.666563,4225.128102,4224.615281,4235.384512,4212.307589,4216.922974
109,0,4226.153743,4215.384512,4203.07682,4271.794767,4234.358871,4217.948615,4215.897333,4213.33323,4217.948615,4219.999897,4219.999897,4230.256307,4204.102461,4215.384512
110,0,4227.692204,4225.128102,4207.179384,4264.10246,4231.794768,4219.487076,4222.563999,4216.410153,4221.538358,4232.307589,4216.922974,4235.897332,4206.153743,4217.948615
111,0,4215.897333,4224.102461,4200.512718,4272.307588,4226.666563,4217.948615,4232.307589,4218.461435,4235.384512,4242.563999,4222.051179,4235.897332,4207.179384,4210.769128
112,0,4208.205025,4217.948615,4193.846051,4280.512716,4224.615281,4212.82041,4227.692204,4215.384512,4230.769127,4233.33323,4225.128102,4230.256307,4208.205025,4206.153743
113,0,4224.615281,4232.820409,4207.692205,4294.87169,4217.948615,4212.307589,4218.461435,4209.230666,4222.563999,4227.179384,4224.615281,4235.384512,4218.461435,4216.410153
114,0,4234.358871,4233.33323,4215.897333,4295.38451,4203.07682,4201.538359,4215.897333,4204.102461,4222.051179,4229.230666,4219.487076,4238.974255,4216.410153,4222.563999
115,0,4218.974256,4216.922974,4202.051179,4278.974254,4215.897333,4193.333231,4222.051179,4201.025538,4217.435794,4224.615281,4216.410153,4232.820409,4203.589641,4217.948615
116,0,4210.769128,4223.58964,4198.974256,4278.974254,4244.10246,4214.358871,4231.281948,4205.640923,4219.999897,4222.051179,4223.07682,4234.871691,4206.153743,4216.922974
117,0,4222.563999,4232.820409,4212.307589,4279.999895,4241.538358,4231.281948,4234.358871,4213.846051,4231.281948,4231.281948,4228.205025,4242.563999,4216.922974,4219.487076
118,0,4230.769127,4225.640922,4218.974256,4270.256306,4228.205025,4223.07682,4232.820409,4217.435794,4231.794768,4246.153742,4228.717845,4247.179383,4216.922974,4217.948615
119,0,4224.615281,4222.563999,4211.281948,4281.025536,4235.384512,4217.948615,4233.84605,4217.948615,4228.205025,4253.84605,4231.281948,4244.615281,4216.922974,4218.461435
120,0,4217.948615,4226.153743,4205.128102,4291.794767,4231.794768,4221.025538,4232.820409,4217.948615,4230.256307,4247.692204,4232.820409,4239.487076,4219.487076,4219.999897
121,0,4216.922974,4223.58964,4208.205025,4277.948613,4215.384512,4216.410153,4231.281948,4217.435794,4229.743486,4237.948614,4231.281948,4237.948614,4213.846051,4218.461435
122,0,4217.435794,4217.435794,4210.256307,4273.846049,4215.384512,4214.358871,4233.33323,4218.974256,4229.743486,4230.769127,4229.230666,4238.974255,4203.07682,4215.897333
