title:sujeto 1                                                                        , recorded:30.06.20 13.38.53, sampling:128, subject:sujeto 1                                                                        , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
96,0,4239.487076,4223.58964,4233.84605,4232.820409,4247.179383,4224.102461,4232.307589,4218.974256,4216.922974,4220.512717,4232.820409,4258.461434,4212.307589,4242.051178
97,0,4239.999896,4222.563999,4234.358871,4214.358871,4251.794768,4214.871692,4231.281948,4222.563999,4214.358871,4221.025538,4231.281948,4254.871691,4214.358871,4239.999896
98,0,4234.358871,4215.384512,4229.743486,4222.051179,4261.538357,4218.974256,4233.33323,4226.153743,4218.461435,4229.230666,4231.794768,4248.717845,4215.384512,4232.307589
99,0,4231.281948,4216.410153,4227.179384,4244.615281,4249.230665,4221.025538,4232.820409,4226.666563,4224.102461,4227.179384,4231.794768,4249.743486,4213.33323,4230.769127
100,0,4232.820409,4219.999897,4230.256307,4235.384512,4230.256307,4213.33323,4228.717845,4222.051179,4219.999897,4214.358871,4230.769127,4251.794768,4208.717846,4233.84605
101,0,4233.84605,4213.33323,4227.692204,4219.999897,4229.743486,4216.922974,4227.179384,4217.435794,4215.897333,4209.230666,4230.256307,4248.205024,4206.666564,4234.871691
102,0,4227.692204,4210.256307,4216.410153,4227.179384,4248.205024,4228.205025,4229.230666,4217.435794,4221.025538,4212.82041,4225.640922,4243.076819,4205.128102,4229.743486
103,0,4227.692204,4217.435794,4218.974256,4232.307589,4261.025537,4227.692204,4231.281948,4219.487076,4219.487076,4220.512717,4226.153743,4245.128101,4209.743487,4228.205025
104,0,4239.487076,4218.461435,4232.307589,4234.358871,4251.794768,4218.461435,4226.666563,4219.487076,4217.435794,4223.07682,4234.358871,4251.794768,4217.435794,4239.999896
105,0,4245.640922,4218.461435,4234.358871,4231.281948,4246.153742,4219.999897,4222.563999,4217.948615,4224.615281,4221.025538,4233.84605,4253.333229,4215.384512,4248.205024
106,0,4238.974255,4223.58964,4227.692204,4222.051179,4250.256306,4230.769127,4229.230666,4218.461435,4223.07682,4228.205025,4229.230666,4247.692204,4213.33323,4237.435794
