title:sujeto 1                                                                        , recorded:30.06.20 13.43.43, sampling:128, subject:sujeto 1                                                                        , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
97,0,4219.487076,4119.487079,4217.435794,4106.666566,4228.205025,4218.461435,4212.307589,4154.871693,4213.846051,4233.84605,4239.487076,4242.563999,4222.563999,4221.538358
98,0,4211.794769,4113.846053,4211.281948,4113.846053,4234.358871,4215.384512,4204.102461,4151.79477,4213.846051,4239.999896,4228.717845,4227.179384,4214.358871,4208.717846
99,0,4222.051179,4125.128104,4211.281948,4120.51272,4237.948614,4214.358871,4205.640923,4152.307591,4215.384512,4244.10246,4232.820409,4228.717845,4221.025538,4213.846051
100,0,4231.794768,4135.384514,4218.461435,4121.538361,4217.948615,4216.922974,4214.871692,4156.922975,4216.410153,4236.922973,4241.538358,4239.999896,4226.666563,4223.58964
101,0,4221.538358,4132.820412,4214.358871,4124.102463,4216.922974,4217.948615,4217.435794,4158.461437,4216.922974,4235.384512,4236.410153,4235.384512,4222.051179,4214.871692
102,0,4210.769128,4131.28195,4203.589641,4113.333233,4243.076819,4214.358871,4212.82041,4153.333232,4213.846051,4240.512717,4231.281948,4224.102461,4222.051179,4202.051179
103,0,4222.563999,4134.358873,4206.153743,4093.846054,4244.615281,4215.384512,4206.153743,4148.717847,4211.794769,4232.820409,4233.33323,4225.640922,4222.051179,4213.33323
104,0,4242.563999,4137.435796,4219.999897,4106.666566,4224.615281,4211.794769,4202.051179,4149.743488,4215.897333,4227.692204,4239.999896,4241.025537,4224.102461,4236.410153
105,0,4244.615281,4141.02554,4223.58964,4130.256309,4227.179384,4203.589641,4202.564,4151.79477,4213.846051,4233.84605,4247.692204,4246.153742,4231.794768,4235.897332
106,0,4232.820409,4140.512719,4213.33323,4123.076822,4235.897332,4208.205025,4205.128102,4151.28195,4207.179384,4234.871691,4242.563999,4234.358871,4232.307589,4218.974256
107,0,4235.897332,4138.974258,4216.410153,4118.974258,4223.07682,4218.461435,4211.281948,4151.79477,4210.769128,4231.794768,4235.384512,4234.358871,4226.153743,4221.025538
108,0,4252.307588,4141.02554,4234.871691,4119.999899,4217.948615,4218.974256,4215.897333,4152.820411,4215.897333,4232.307589,4242.563999,4250.256306,4228.717845,4238.461435
109,0,4249.230665,4146.666565,4235.897332,4109.743489,4236.922973,4217.435794,4214.871692,4155.897334,4215.897333,4239.999896,4251.281947,4250.256306,4234.358871,4239.487076
110,0,4230.256307,4144.102463,4217.435794,4109.230669,4241.538358,4219.487076,4215.897333,4161.53836,4217.435794,4249.230665,4248.205024,4233.84605,4231.794768,4222.563999
111,0,4225.640922,4136.922976,4214.871692,4118.461438,4225.128102,4215.897333,4215.384512,4162.05118,4217.948615,4244.615281,4243.58964,4234.358871,4230.769127,4217.948615
112,0,4236.410153,4143.076822,4232.820409,4124.615284,4232.820409,4214.358871,4213.33323,4157.435796,4214.871692,4240.512717,4246.153742,4246.666563,4231.794768,4230.256307
113,0,4241.025537,4155.897334,4231.281948,4117.435797,4246.666563,4216.922974,4214.358871,4155.384514,4213.846051,4246.153742,4244.10246,4244.10246,4233.33323,4229.743486
114,0,4235.384512,4155.897334,4219.487076,4103.589643,4222.051179,4215.897333,4214.358871,4154.358873,4212.307589,4239.487076,4233.84605,4232.307589,4231.281948,4215.897333
