title:C                                                                               , recorded:01.07.20 12.39.49, sampling:128, subject:C                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
0,0,4230.769127,4232.307589,4218.974256,4234.358871,4237.435794,4229.230666,4219.487076,4212.82041,4222.051179,4248.717845,4217.435794,4231.281948,4230.769127,4219.487076
1,0,4232.307589,4233.84605,4223.58964,4229.743486,4217.948615,4229.230666,4225.640922,4214.871692,4214.358871,4254.35887,4223.58964,4235.384512,4227.692204,4225.640922
2,0,4233.33323,4231.794768,4222.051179,4230.769127,4259.999896,4231.281948,4232.307589,4215.384512,4217.435794,4237.435794,4232.820409,4236.922973,4229.230666,4230.769127
3,0,4230.256307,4227.179384,4221.538358,4232.307589,4207.692205,4224.102461,4227.692204,4214.358871,4237.948614,4219.487076,4230.256307,4234.358871,4232.820409,4229.230666
4,0,4231.281948,4229.743486,4232.307589,4233.84605,4139.999899,4216.922974,4225.128102,4213.846051,4236.922973,4212.307589,4228.205025,4235.384512,4231.794768,4233.33323
5,0,4232.307589,4233.84605,4230.769127,4232.820409,4225.128102,4224.615281,4228.717845,4212.307589,4217.948615,4220.512717,4227.179384,4234.871691,4231.794768,4233.33323
6,0,4230.256307,4231.281948,4218.974256,4230.769127,4270.256306,4230.256307,4228.205025,4211.794769,4219.487076,4220.512717,4229.230666,4231.281948,4231.281948,4223.07682
7,0,4229.743486,4227.692204,4221.025538,4231.794768,4211.794769,4228.205025,4227.692204,4214.871692,4228.205025,4213.33323,4230.769127,4232.307589,4228.717845,4219.999897
8,0,4228.717845,4228.205025,4227.692204,4234.358871,4167.179385,4228.205025,4231.794768,4217.435794,4223.07682,4226.666563,4222.051179,4231.281948,4229.230666,4222.051179
9,0,4229.743486,4230.256307,4227.692204,4232.820409,4163.589642,4228.717845,4234.871691,4215.897333,4226.666563,4234.871691,4219.999897,4228.205025,4231.281948,4219.999897
10,0,4230.769127,4230.769127,4229.743486,4230.769127,4232.820409,4230.769127,4233.84605,4214.871692,4229.743486,4219.999897,4225.128102,4230.256307,4226.153743,4218.974256
11,0,4223.58964,4226.666563,4228.717845,4231.281948,4274.87169,4230.769127,4232.307589,4216.410153,4221.538358,4213.33323,4216.922974,4232.307589,4218.974256,4218.461435
12,0,4217.435794,4215.897333,4221.025538,4225.128102,4191.794769,4222.563999,4229.743486,4215.384512,4222.051179,4218.461435,4215.897333,4229.230666,4221.538358,4216.922974
13,0,4220.512717,4214.358871,4215.384512,4218.974256,4161.025539,4215.897333,4224.102461,4215.384512,4219.487076,4225.640922,4229.743486,4229.230666,4227.179384,4216.922974
14,0,4219.487076,4226.153743,4215.897333,4226.153743,4222.051179,4218.461435,4222.563999,4218.461435,4212.307589,4242.563999,4227.179384,4228.717845,4227.692204,4216.410153
15,0,4216.922974,4228.717845,4216.922974,4232.307589,4216.922974,4223.58964,4230.769127,4219.999897,4229.743486,4242.563999,4212.307589,4221.025538,4226.153743,4214.358871
16,0,4223.07682,4219.487076,4219.487076,4228.717845,4207.179384,4228.205025,4236.410153,4219.487076,4240.512717,4212.82041,4214.358871,4216.410153,4227.692204,4214.871692
17,0,4228.717845,4216.922974,4222.051179,4227.692204,4209.743487,4228.205025,4232.307589,4218.974256,4219.487076,4195.384513,4223.58964,4219.999897,4227.692204,4215.384512
18,0,4224.615281,4219.487076,4221.538358,4231.281948,4182.564,4220.512717,4229.230666,4218.461435,4216.922974,4202.051179,4223.58964,4219.487076,4221.538358,4214.358871
19,0,4224.615281,4219.999897,4220.512717,4229.743486,4196.410154,4216.922974,4229.743486,4215.897333,4232.820409,4212.82041,4213.846051,4214.871692,4218.461435,4212.307589
20,0,4224.102461,4220.512717,4219.487076,4228.717845,4214.358871,4218.461435,4226.153743,4215.384512,4222.563999,4210.769128,4200.512718,4214.358871,4215.897333,4205.128102
21,0,4216.922974,4219.487076,4220.512717,4230.769127,4206.666564,4218.974256,4227.692204,4217.435794,4210.769128,4218.461435,4199.487077,4208.717846,4212.82041,4198.461436
22,0,4222.563999,4216.922974,4228.205025,4230.256307,4192.82041,4217.948615,4227.179384,4217.948615,4221.538358,4234.358871,4218.974256,4198.461436,4221.538358,4209.230666
23,0,4236.922973,4217.435794,4233.84605,4229.743486,4171.79477,4217.948615,4221.538358,4215.897333,4224.102461,4218.974256,4235.897332,4197.948615,4233.84605,4229.230666
24,0,4241.025537,4215.897333,4229.230666,4227.179384,4186.153744,4222.563999,4223.58964,4216.410153,4213.33323,4216.922974,4232.820409,4202.051179,4235.897332,4236.410153
25,0,4245.640922,4215.384512,4230.256307,4226.153743,4222.563999,4230.769127,4233.84605,4219.487076,4222.563999,4250.769127,4228.717845,4202.564,4237.435794,4235.897332
26,0,4249.230665,4219.487076,4235.897332,4231.281948,4215.384512,4233.84605,4236.922973,4222.051179,4238.461435,4244.615281,4231.281948,4202.051179,4238.974255,4237.948614
27,0,4236.410153,4214.358871,4228.717845,4232.307589,4203.07682,4229.230666,4231.794768,4220.512717,4225.640922,4205.128102,4231.794768,4202.564,4230.769127,4234.358871
28,0,4229.230666,4205.128102,4226.153743,4227.179384,4212.82041,4227.692204,4231.794768,4218.974256,4212.82041,4208.717846,4232.820409,4203.589641,4229.230666,4230.256307
29,0,4236.410153,4205.128102,4231.794768,4226.666563,4199.999897,4227.692204,4233.33323,4219.487076,4229.230666,4228.205025,4226.666563,4205.128102,4233.84605,4235.897332
30,0,4233.84605,4207.692205,4223.58964,4224.102461,4193.846051,4226.666563,4230.769127,4218.461435,4238.974255,4227.179384,4213.33323,4199.999897,4230.256307,4229.230666
31,0,4228.717845,4210.256307,4212.307589,4224.615281,4205.128102,4226.153743,4229.230666,4217.948615,4221.025538,4226.153743,4211.281948,4197.435795,4227.692204,4215.897333
32,0,4230.256307,4212.82041,4221.025538,4230.256307,4190.769128,4229.743486,4231.794768,4218.974256,4210.769128,4229.743486,4220.512717,4207.692205,4229.743486,4219.999897
33,0,4231.794768,4213.33323,4227.179384,4227.179384,4190.769128,4228.717845,4230.769127,4217.948615,4223.07682,4232.820409,4219.487076,4213.33323,4229.743486,4224.102461
34,0,4227.692204,4211.281948,4217.948615,4223.07682,4232.307589,4222.563999,4222.563999,4215.897333,4228.717845,4228.717845,4215.384512,4212.82041,4230.256307,4217.948615
35,0,4228.717845,4216.410153,4218.974256,4231.281948,4220.512717,4224.615281,4221.025538,4215.897333,4226.666563,4214.358871,4222.051179,4223.07682,4232.307589,4222.051179
36,0,4241.538358,4222.051179,4233.84605,4235.897332,4172.820411,4229.743486,4229.743486,4217.948615,4230.256307,4209.230666,4234.871691,4236.922973,4234.871691,4235.384512
37,0,4248.205024,4220.512717,4236.410153,4232.820409,4193.333231,4229.743486,4232.820409,4220.512717,4226.666563,4230.769127,4234.358871,4238.461435,4234.871691,4236.922973
38,0,4235.384512,4216.410153,4223.07682,4230.256307,4246.153742,4224.615281,4221.025538,4218.974256,4210.256307,4236.410153,4218.974256,4232.820409,4230.769127,4228.205025
39,0,4226.666563,4216.410153,4219.487076,4223.58964,4226.666563,4216.922974,4214.358871,4214.358871,4212.307589,4208.205025,4214.358871,4232.820409,4229.230666,4222.051179
40,0,4235.384512,4217.948615,4230.769127,4225.640922,4166.666565,4215.897333,4224.102461,4214.871692,4228.717845,4207.179384,4222.051179,4234.358871,4231.794768,4223.07682
41,0,4233.33323,4216.410153,4230.769127,4232.307589,4197.948615,4222.563999,4226.666563,4218.974256,4225.640922,4237.948614,4220.512717,4232.307589,4231.281948,4223.07682
42,0,4218.974256,4213.846051,4217.948615,4228.717845,4249.230665,4222.563999,4215.384512,4211.794769,4211.281948,4234.358871,4211.794769,4227.692204,4226.666563,4215.897333
43,0,4217.435794,4214.871692,4214.358871,4226.153743,4199.999897,4220.512717,4213.33323,4205.640923,4209.743487,4210.256307,4212.307589,4224.615281,4225.128102,4211.281948
44,0,4226.666563,4216.922974,4224.102461,4232.820409,4138.974258,4228.717845,4226.666563,4213.846051,4224.102461,4223.07682,4215.897333,4229.230666,4229.230666,4216.922974
45,0,4231.281948,4217.435794,4225.640922,4229.230666,4207.692205,4232.820409,4234.871691,4221.538358,4233.84605,4228.717845,4215.897333,4233.33323,4231.794768,4221.538358
46,0,4229.230666,4214.358871,4218.461435,4222.051179,4289.230664,4229.230666,4231.281948,4217.435794,4229.230666,4220.512717,4223.58964,4232.307589,4229.743486,4222.051179
47,0,4230.769127,4216.410153,4221.538358,4230.769127,4239.487076,4231.281948,4229.743486,4216.410153,4225.128102,4227.692204,4234.871691,4238.974255,4233.33323,4225.640922
48,0,4236.410153,4229.743486,4233.84605,4237.948614,4158.974257,4230.256307,4232.820409,4222.563999,4230.256307,4237.948614,4239.999896,4248.205024,4245.640922,4233.84605
49,0,4236.410153,4231.794768,4229.743486,4232.820409,4154.871693,4219.999897,4227.179384,4221.538358,4235.384512,4243.58964,4231.794768,4241.025537,4244.615281,4232.820409
50,0,4233.84605,4220.512717,4219.999897,4227.179384,4223.07682,4221.538358,4222.563999,4219.487076,4226.666563,4252.307588,4227.179384,4231.281948,4234.358871,4228.205025
51,0,4233.33323,4217.435794,4222.051179,4229.230666,4270.769126,4233.33323,4229.230666,4220.512717,4217.435794,4251.794768,4234.871691,4235.384512,4235.897332,4231.794768
52,0,4230.769127,4219.999897,4222.051179,4232.307589,4243.076819,4231.281948,4230.769127,4218.461435,4221.025538,4240.512717,4230.256307,4236.410153,4236.410153,4228.717845
53,0,4234.871691,4221.025538,4225.640922,4232.307589,4202.564,4226.153743,4230.256307,4224.615281,4233.33323,4234.871691,4223.58964,4233.33323,4233.33323,4225.128102
54,0,4245.128101,4226.666563,4231.281948,4231.794768,4206.666564,4232.307589,4234.871691,4231.281948,4236.922973,4219.999897,4232.307589,4235.384512,4239.487076,4231.794768
55,0,4240.512717,4231.281948,4223.07682,4230.256307,4210.256307,4230.256307,4234.871691,4223.58964,4228.205025,4226.153743,4232.307589,4234.358871,4240.512717,4233.84605
56,0,4229.743486,4224.615281,4213.33323,4229.230666,4192.82041,4216.922974,4229.230666,4214.358871,4218.461435,4243.58964,4222.051179,4232.307589,4231.794768,4227.692204
57,0,4229.743486,4217.948615,4220.512717,4229.743486,4188.205026,4215.384512,4227.179384,4216.410153,4218.461435,4232.307589,4222.051179,4233.33323,4231.794768,4226.666563
58,0,4233.33323,4221.025538,4226.666563,4232.307589,4180.512718,4225.640922,4228.205025,4223.07682,4227.692204,4232.307589,4229.230666,4234.358871,4236.922973,4229.743486
59,0,4234.871691,4230.256307,4221.025538,4231.794768,4198.974256,4231.281948,4232.820409,4227.692204,4234.358871,4254.35887,4229.743486,4234.871691,4235.897332,4231.794768
60,0,4236.922973,4230.769127,4220.512717,4229.743486,4246.153742,4230.256307,4234.358871,4225.128102,4231.794768,4241.025537,4227.179384,4235.384512,4231.794768,4230.769127
61,0,4236.922973,4221.538358,4228.205025,4228.717845,4246.153742,4229.743486,4229.743486,4217.435794,4222.051179,4223.58964,4226.666563,4236.922973,4233.33323,4226.666563
62,0,4235.384512,4216.922974,4229.230666,4229.743486,4203.589641,4227.692204,4227.692204,4218.461435,4210.769128,4242.563999,4228.205025,4236.410153,4237.435794,4228.205025
63,0,4234.358871,4220.512717,4221.025538,4231.794768,4184.102462,4223.07682,4230.256307,4221.025538,4219.999897,4237.948614,4223.58964,4232.307589,4234.871691,4231.794768
64,0,4233.33323,4223.58964,4221.025538,4230.769127,4192.30759,4223.07682,4228.205025,4217.948615,4232.307589,4227.692204,4214.871692,4231.281948,4228.717845,4225.128102
65,0,4235.384512,4222.051179,4225.128102,4229.743486,4203.589641,4223.58964,4219.999897,4216.410153,4225.128102,4235.897332,4216.410153,4231.281948,4229.743486,4219.999897
66,0,4233.84605,4218.461435,4219.487076,4232.820409,4192.30759,4216.410153,4215.384512,4214.358871,4214.358871,4216.922974,4220.512717,4227.179384,4231.281948,4217.435794
67,0,4231.794768,4219.487076,4216.922974,4229.230666,4184.615282,4219.487076,4221.538358,4213.846051,4213.846051,4212.307589,4220.512717,4227.692204,4230.256307,4219.487076
68,0,4233.84605,4224.102461,4224.102461,4224.615281,4214.358871,4230.256307,4230.769127,4217.948615,4215.897333,4241.538358,4219.999897,4232.307589,4230.769127,4225.128102
69,0,4235.897332,4223.58964,4227.179384,4229.230666,4246.666563,4230.769127,4232.820409,4220.512717,4218.461435,4238.974255,4216.922974,4230.769127,4230.256307,4224.615281
70,0,4235.384512,4217.435794,4225.128102,4232.307589,4219.487076,4227.179384,4229.230666,4216.922974,4219.487076,4216.922974,4212.307589,4226.153743,4229.230666,4218.461435
71,0,4232.820409,4215.384512,4227.692204,4230.256307,4164.102462,4225.640922,4228.205025,4218.461435,4216.922974,4216.410153,4214.871692,4228.205025,4230.256307,4218.461435
72,0,4231.281948,4214.871692,4230.256307,4231.281948,4170.256308,4224.102461,4231.281948,4223.58964,4219.487076,4204.102461,4218.974256,4232.307589,4230.256307,4221.538358
73,0,4229.743486,4212.307589,4227.179384,4229.230666,4239.487076,4227.692204,4232.307589,4221.025538,4222.051179,4188.717846,4220.512717,4231.794768,4229.743486,4220.512717
74,0,4228.205025,4210.769128,4226.666563,4225.640922,4242.051178,4227.692204,4226.153743,4219.487076,4218.974256,4211.281948,4222.563999,4229.743486,4229.743486,4224.102461
75,0,4229.743486,4214.358871,4231.281948,4229.230666,4161.025539,4218.974256,4224.102461,4227.692204,4217.948615,4225.128102,4224.102461,4233.33323,4232.820409,4230.769127
76,0,4234.358871,4214.871692,4232.307589,4233.33323,4173.846052,4224.615281,4231.794768,4233.84605,4219.487076,4205.128102,4220.512717,4235.384512,4234.358871,4232.820409
77,0,4231.794768,4205.640923,4229.230666,4230.256307,4241.538358,4231.281948,4232.307589,4226.153743,4219.999897,4202.051179,4214.871692,4230.769127,4228.205025,4230.256307
78,0,4227.692204,4202.564,4227.692204,4228.205025,4214.358871,4220.512717,4225.640922,4219.999897,4220.512717,4220.512717,4215.897333,4228.717845,4223.58964,4228.717845
79,0,4231.281948,4209.743487,4229.230666,4229.743486,4182.564,4217.948615,4226.153743,4223.07682,4213.846051,4216.922974,4219.487076,4231.794768,4226.153743,4230.769127
80,0,4233.33323,4214.358871,4230.769127,4231.794768,4206.153743,4229.230666,4231.794768,4223.58964,4207.179384,4208.205025,4218.461435,4233.84605,4229.743486,4231.794768
81,0,4234.358871,4214.871692,4231.794768,4229.743486,4196.922974,4226.153743,4232.307589,4225.128102,4218.461435,4216.922974,4221.538358,4237.948614,4231.281948,4233.33323
82,0,4235.384512,4211.281948,4233.33323,4229.743486,4182.05118,4217.435794,4227.179384,4231.794768,4230.256307,4218.461435,4228.717845,4238.974255,4232.307589,4234.358871
83,0,4229.743486,4204.615282,4229.230666,4228.205025,4210.256307,4224.615281,4225.128102,4234.358871,4228.205025,4215.384512,4229.743486,4234.358871,4232.307589,4231.794768
84,0,4220.512717,4201.025538,4221.538358,4220.512717,4234.871691,4228.205025,4225.640922,4231.794768,4224.615281,4216.922974,4222.051179,4232.307589,4227.692204,4229.743486
85,0,4217.435794,4201.025538,4217.948615,4219.999897,4249.743486,4221.538358,4221.025538,4231.794768,4224.102461,4204.615282,4213.846051,4232.307589,4221.025538,4226.153743
86,0,4217.948615,4201.538359,4218.461435,4229.230666,4192.30759,4215.897333,4213.846051,4226.666563,4216.410153,4194.358872,4206.666564,4228.205025,4215.384512,4217.435794
87,0,4227.179384,4208.717846,4224.615281,4232.820409,4147.179386,4217.435794,4219.487076,4223.58964,4214.871692,4208.205025,4212.82041,4228.205025,4218.461435,4217.948615
88,0,4234.871691,4213.846051,4230.769127,4228.717845,4209.743487,4220.512717,4228.717845,4230.256307,4222.563999,4224.615281,4228.205025,4234.358871,4226.666563,4227.692204
89,0,4231.281948,4210.256307,4232.307589,4229.230666,4224.615281,4218.974256,4227.692204,4231.794768,4226.666563,4215.897333,4236.410153,4235.897332,4231.281948,4230.256307
90,0,4231.281948,4213.33323,4230.256307,4233.33323,4194.871692,4223.07682,4228.717845,4229.743486,4229.743486,4204.615282,4231.281948,4233.84605,4234.358871,4227.179384
91,0,4233.84605,4216.922974,4224.102461,4229.743486,4256.410152,4231.794768,4232.820409,4231.281948,4231.281948,4225.128102,4216.922974,4231.281948,4231.794768,4223.07682
92,0,4223.58964,4211.281948,4216.922974,4225.640922,4268.205024,4231.794768,4231.281948,4233.33323,4230.769127,4243.58964,4218.974256,4228.717845,4227.692204,4217.435794
93,0,4216.922974,4209.230666,4216.410153,4229.743486,4151.28195,4221.538358,4226.153743,4231.281948,4230.769127,4228.205025,4233.84605,4231.281948,4228.717845,4216.410153
94,0,4216.922974,4209.230666,4214.871692,4229.230666,4145.640924,4216.410153,4221.025538,4228.205025,4229.230666,4217.435794,4224.615281,4231.794768,4229.743486,4215.897333
95,0,4215.897333,4204.615282,4209.743487,4216.922974,4224.615281,4218.974256,4218.974256,4228.205025,4229.230666,4229.230666,4210.769128,4228.205025,4230.256307,4212.82041
96,0,4222.051179,4209.230666,4213.846051,4217.435794,4237.948614,4223.07682,4224.615281,4231.794768,4231.794768,4228.205025,4225.640922,4231.794768,4232.820409,4221.538358
97,0,4226.666563,4216.410153,4219.999897,4229.230666,4247.692204,4228.717845,4231.281948,4232.307589,4226.153743,4206.153743,4241.538358,4239.487076,4235.897332,4231.794768
98,0,4217.948615,4214.871692,4214.871692,4222.563999,4231.281948,4227.179384,4227.179384,4227.692204,4219.487076,4210.769128,4233.84605,4234.871691,4234.871691,4225.640922
99,0,4215.897333,4213.846051,4209.743487,4216.410153,4188.717846,4220.512717,4219.487076,4222.051179,4228.205025,4237.435794,4223.58964,4228.717845,4232.820409,4216.922974
100,0,4223.07682,4214.871692,4211.281948,4225.128102,4181.025539,4216.410153,4216.410153,4215.384512,4232.307589,4240.512717,4214.358871,4230.256307,4231.281948,4216.410153
101,0,4226.153743,4216.410153,4213.33323,4227.179384,4210.769128,4215.897333,4215.897333,4213.33323,4220.512717,4216.922974,4212.82041,4231.794768,4230.769127,4218.461435
102,0,4225.128102,4218.461435,4212.82041,4223.07682,4219.487076,4216.922974,4214.871692,4215.897333,4215.384512,4211.281948,4228.205025,4229.230666,4231.281948,4218.974256
103,0,4227.692204,4218.974256,4215.897333,4225.128102,4193.333231,4221.025538,4221.025538,4217.948615,4217.948615,4221.538358,4232.820409,4228.205025,4230.769127,4218.974256
104,0,4232.307589,4214.871692,4217.435794,4224.615281,4215.384512,4229.743486,4231.281948,4223.58964,4218.974256,4208.205025,4223.58964,4231.281948,4231.281948,4216.922974
105,0,4226.153743,4213.33323,4208.717846,4224.615281,4258.461434,4231.281948,4231.794768,4226.153743,4225.640922,4202.564,4214.871692,4228.717845,4231.794768,4214.358871
106,0,4221.025538,4216.410153,4206.666564,4228.205025,4218.974256,4221.538358,4223.58964,4219.999897,4233.33323,4227.179384,4217.435794,4217.948615,4230.769127,4215.897333
107,0,4227.179384,4215.897333,4212.307589,4222.563999,4156.922975,4215.897333,4219.999897,4218.974256,4229.743486,4237.435794,4226.666563,4211.281948,4232.307589,4219.487076
108,0,4226.153743,4211.794769,4209.230666,4216.922974,4193.846051,4217.435794,4218.461435,4221.025538,4219.487076,4221.538358,4225.640922,4215.384512,4232.307589,4216.410153
109,0,4218.461435,4211.281948,4204.102461,4222.563999,4253.84605,4217.948615,4215.384512,4216.410153,4217.948615,4213.846051,4217.435794,4218.974256,4229.230666,4212.307589
110,0,4217.435794,4214.358871,4208.717846,4224.102461,4226.666563,4216.922974,4214.871692,4212.82041,4219.999897,4209.743487,4216.922974,4221.538358,4229.230666,4214.871692
111,0,4221.025538,4215.384512,4214.358871,4221.538358,4179.487077,4216.410153,4214.871692,4215.384512,4217.948615,4199.999897,4221.538358,4225.640922,4229.230666,4216.410153
112,0,4222.051179,4215.384512,4215.897333,4225.128102,4196.410154,4217.948615,4213.846051,4215.897333,4218.461435,4210.769128,4217.435794,4224.102461,4229.743486,4215.897333
113,0,4223.07682,4214.871692,4214.871692,4230.256307,4249.230665,4222.051179,4216.410153,4216.410153,4220.512717,4224.615281,4212.82041,4221.538358,4229.230666,4214.358871
114,0,4218.461435,4212.82041,4205.640923,4224.102461,4198.974256,4216.410153,4217.948615,4216.922974,4216.922974,4212.307589,4215.897333,4207.692205,4223.07682,4206.153743
115,0,4214.871692,4215.384512,4199.999897,4218.461435,4126.153745,4212.307589,4215.384512,4216.922974,4212.82041,4205.128102,4218.461435,4181.025539,4218.461435,4199.999897
116,0,4216.922974,4216.922974,4204.615282,4218.974256,4212.307589,4222.563999,4215.897333,4215.897333,4213.33323,4212.82041,4210.256307,4164.102462,4219.999897,4201.025538
117,0,4216.922974,4213.846051,4206.153743,4219.999897,4289.230664,4226.153743,4218.461435,4215.897333,4213.846051,4212.82041,4201.538359,4167.179385,4219.487076,4201.025538
118,0,4215.897333,4214.871692,4206.153743,4220.512717,4216.922974,4217.948615,4217.435794,4216.410153,4216.922974,4212.82041,4206.666564,4173.846052,4218.461435,4201.025538
119,0,4215.384512,4212.82041,4205.128102,4217.435794,4156.922975,4213.33323,4213.33323,4209.230666,4216.922974,4211.281948,4206.153743,4170.256308,4217.948615,4201.025538
120,0,4215.384512,4204.102461,4203.07682,4214.358871,4188.205026,4215.897333,4212.307589,4199.999897,4212.307589,4204.615282,4198.461436,4169.743488,4216.410153,4198.974256
121,0,4215.897333,4202.051179,4204.102461,4215.897333,4230.256307,4218.461435,4214.871692,4206.153743,4213.33323,4199.999897,4207.179384,4178.461436,4216.410153,4199.487077
122,0,4214.358871,4202.564,4205.640923,4218.461435,4237.435794,4217.948615,4216.410153,4215.384512,4215.384512,4201.538359,4216.922974,4186.153744,4217.948615,4200.512718
123,0,4214.871692,4201.538359,4208.205025,4216.922974,4204.102461,4216.410153,4216.410153,4212.82041,4213.33323,4208.717846,4212.307589,4184.102462,4217.435794,4199.487077
124,0,4216.410153,4208.717846,4211.794769,4217.435794,4174.871693,4217.948615,4216.922974,4211.794769,4212.82041,4215.897333,4209.743487,4183.076821,4218.461435,4200.512718
