title:C                                                                               , recorded:01.07.20 13.27.27, sampling:128, subject:C                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
15,0,4232.307589,4227.179384,4224.102461,4235.384512,4232.820409,4216.410153,4222.563999,4218.461435,4232.307589,4215.384512,4222.051179,4247.179383,4229.230666,4230.769127
16,0,4230.769127,4221.538358,4226.153743,4233.84605,4219.487076,4216.410153,4216.922974,4222.051179,4232.820409,4212.307589,4221.025538,4246.666563,4227.692204,4224.615281
17,0,4232.307589,4224.615281,4231.794768,4242.563999,4209.743487,4218.974256,4221.025538,4233.33323,4244.10246,4225.128102,4227.692204,4249.230665,4231.794768,4231.794768
18,0,4236.922973,4229.743486,4232.307589,4244.615281,4219.999897,4221.025538,4227.692204,4228.205025,4244.10246,4228.717845,4228.717845,4252.820409,4232.307589,4238.974255
19,0,4235.897332,4223.07682,4227.179384,4236.922973,4230.769127,4221.025538,4226.666563,4219.999897,4230.769127,4216.410153,4226.153743,4257.948614,4227.692204,4233.33323
20,0,4226.666563,4210.256307,4224.615281,4230.256307,4225.128102,4219.487076,4221.025538,4222.563999,4227.692204,4211.281948,4226.153743,4258.974255,4225.128102,4227.179384
21,0,4229.230666,4209.743487,4229.230666,4233.84605,4211.794769,4211.794769,4218.461435,4220.512717,4231.281948,4218.461435,4225.128102,4257.435793,4230.256307,4233.84605
22,0,4234.871691,4210.769128,4229.743486,4235.384512,4202.051179,4204.102461,4213.846051,4209.743487,4223.58964,4218.974256,4221.025538,4257.948614,4227.692204,4233.33323
23,0,4232.307589,4210.256307,4229.230666,4236.410153,4208.717846,4208.205025,4212.82041,4212.307589,4219.487076,4217.948615,4225.128102,4264.61528,4224.102461,4227.692204
24,0,4235.384512,4215.897333,4230.256307,4239.487076,4218.974256,4214.871692,4217.948615,4221.025538,4227.179384,4219.487076,4231.281948,4265.640921,4233.33323,4234.358871
25,0,4243.076819,4223.07682,4229.743486,4240.512717,4219.487076,4213.846051,4220.512717,4223.07682,4233.84605,4220.512717,4233.33323,4261.025537,4242.051178,4244.615281
26,0,4235.384512,4214.871692,4223.07682,4236.922973,4212.307589,4209.743487,4211.794769,4219.487076,4232.307589,4217.948615,4230.256307,4256.410152,4234.358871,4235.897332
27,0,4235.384512,4217.948615,4226.153743,4239.487076,4212.307589,4212.82041,4214.871692,4223.07682,4236.410153,4226.153743,4234.871691,4264.61528,4231.281948,4235.897332
28,0,4243.58964,4225.640922,4232.307589,4241.025537,4214.871692,4213.33323,4219.487076,4225.640922,4237.948614,4229.743486,4235.384512,4268.717844,4234.871691,4244.615281
29,0,4242.563999,4225.128102,4231.794768,4239.487076,4221.538358,4214.871692,4218.974256,4227.179384,4239.999896,4230.256307,4232.820409,4266.666562,4237.948614,4245.640922
30,0,4238.461435,4224.615281,4227.179384,4237.948614,4223.58964,4221.025538,4221.025538,4227.179384,4238.974255,4230.256307,4235.384512,4268.205024,4238.974255,4242.051178
31,0,4238.974255,4228.717845,4226.153743,4238.974255,4213.33323,4221.025538,4228.205025,4223.07682,4226.153743,4220.512717,4232.820409,4266.153742,4236.410153,4239.999896
32,0,4231.794768,4225.640922,4222.051179,4232.307589,4207.692205,4213.33323,4223.07682,4215.897333,4214.358871,4201.538359,4216.410153,4251.794768,4227.692204,4229.743486
33,0,4228.717845,4227.179384,4219.487076,4229.743486,4229.743486,4215.384512,4220.512717,4220.512717,4222.563999,4204.615282,4215.384512,4250.769127,4228.205025,4228.205025
