title:C                                                                               , recorded:01.07.20 13.20.14, sampling:128, subject:C                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
75,0,4231.794768,4214.358871,4226.666563,4233.33323,4249.230665,4234.871691,4224.615281,4228.717845,4215.384512,4202.564,4238.974255,4151.28195,4230.256307,4215.384512
76,0,4235.897332,4213.846051,4227.692204,4230.769127,4244.10246,4235.897332,4223.58964,4224.615281,4213.33323,4207.692205,4235.897332,4157.435796,4232.820409,4215.897333
77,0,4243.076819,4219.999897,4234.358871,4238.461435,4237.948614,4238.461435,4229.230666,4228.717845,4215.384512,4207.692205,4239.487076,4164.615283,4235.384512,4225.640922
78,0,4244.615281,4225.128102,4235.897332,4244.10246,4245.128101,4234.871691,4231.281948,4231.281948,4217.435794,4208.205025,4243.58964,4166.666565,4237.435794,4230.769127
79,0,4244.10246,4227.179384,4231.281948,4245.640922,4245.640922,4233.84605,4232.307589,4226.153743,4217.948615,4222.051179,4244.10246,4167.179385,4242.051178,4228.717845
80,0,4233.84605,4216.922974,4218.974256,4233.84605,4238.974255,4232.820409,4224.102461,4221.025538,4215.897333,4221.538358,4234.358871,4156.922975,4235.384512,4215.897333
81,0,4230.769127,4212.307589,4216.410153,4227.179384,4252.820409,4234.871691,4222.563999,4227.692204,4217.948615,4209.743487,4234.358871,4155.384514,4234.358871,4210.769128
82,0,4235.384512,4216.410153,4224.102461,4233.84605,4252.307588,4236.922973,4224.615281,4231.281948,4217.948615,4199.999897,4241.025537,4161.53836,4239.487076,4217.435794
83,0,4237.948614,4219.999897,4228.205025,4242.563999,4234.871691,4231.794768,4219.487076,4227.179384,4219.487076,4208.717846,4243.58964,4165.640924,4241.025537,4230.256307
84,0,4229.230666,4211.281948,4222.051179,4232.820409,4234.871691,4225.128102,4212.307589,4224.102461,4219.999897,4218.974256,4237.435794,4160.512719,4236.922973,4225.128102
85,0,4226.666563,4207.179384,4223.07682,4223.58964,4251.794768,4231.794768,4223.07682,4226.666563,4221.025538,4217.948615,4241.025537,4161.53836,4238.974255,4213.33323
