title:J                                                                               , recorded:01.07.20 13.53.10, sampling:128, subject:J                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
109,0,3954.871698,3959.487083,3941.538365,3912.820417,3953.846057,3953.846057,3952.820416,3962.564006,3957.435801,3959.487083,3963.589647,3971.794775,3954.871698,3956.41016
110,0,3959.999903,3970.256313,3953.333237,3927.179391,3960.512724,3952.820416,3961.025544,3970.256313,3960.512724,3962.051185,3971.794775,3974.871698,3959.487083,3960.512724
111,0,3960.512724,3968.717852,3950.769134,3927.692212,3948.717852,3950.256314,3954.358878,3967.692211,3958.461442,3961.025544,3961.025544,3971.281954,3957.948621,3958.461442
112,0,3954.358878,3963.076826,3944.615288,3923.589648,3943.076827,3950.769134,3952.307596,3959.487083,3955.897339,3959.999903,3959.999903,3971.794775,3956.92298,3955.384519
113,0,3957.435801,3970.769134,3952.820416,3925.64093,3963.076826,3953.846057,3956.92298,3958.974262,3956.41016,3958.974262,3973.333236,3974.358877,3959.487083,3963.076826
114,0,3971.794775,3979.487082,3959.487083,3924.615289,3970.256313,3952.307596,3953.846057,3959.999903,3957.435801,3963.076826,3976.92298,3973.846057,3970.256313,3967.692211
115,0,3972.307595,3972.307595,3954.358878,3922.564007,3954.871698,3948.717852,3948.205032,3957.948621,3955.897339,3958.974262,3964.615288,3973.333236,3972.820416,3959.999903
116,0,3963.589647,3966.66657,3953.846057,3928.205032,3963.076826,3951.794775,3955.897339,3957.435801,3955.384519,3951.794775,3958.461442,3975.384518,3962.051185,3958.461442
117,0,3955.384519,3963.076826,3951.281955,3924.102468,3975.897339,3956.92298,3959.487083,3949.743493,3950.256314,3944.615288,3955.384519,3967.692211,3954.871698,3957.435801
118,0,3945.640929,3955.384519,3941.538365,3909.230674,3961.538365,3956.92298,3950.256314,3939.999904,3943.589647,3942.051186,3951.281955,3955.384519,3953.846057,3942.564006
119,0,3949.230673,3964.102467,3946.15375,3905.12811,3954.871698,3955.384519,3953.333237,3952.307596,3952.820416,3946.15375,3952.307596,3961.025544,3956.92298,3942.051186
120,0,3959.999903,3976.410159,3955.897339,3908.205033,3956.41016,3951.281955,3958.461442,3960.512724,3960.512724,3941.538365,3955.897339,3973.333236,3959.999903,3957.948621
121,0,3959.487083,3973.333236,3957.435801,3909.230674,3951.794775,3949.743493,3950.769134,3947.692211,3953.333237,3945.128109,3961.025544,3973.333236,3961.025544,3960.512724
122,0,3964.615288,3970.769134,3957.435801,3907.179392,3958.461442,3954.871698,3951.281955,3948.717852,3952.820416,3958.461442,3969.230672,3971.794775,3961.538365,3956.41016
123,0,3975.384518,3973.846057,3957.948621,3912.820417,3963.589647,3956.92298,3958.974262,3959.999903,3958.974262,3948.205032,3969.230672,3974.871698,3961.538365,3959.487083
