title:J                                                                               , recorded:01.07.20 13.44.18, sampling:128, subject:J                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
79,0,4206.153743,4228.717845,4219.999897,4188.205026,4178.461436,4214.871692,4217.435794,4249.743486,4319.487074,4236.922973,4230.769127,4186.153744,4215.897333,4229.743486
80,0,4212.82041,4223.58964,4219.999897,4190.256308,4171.79477,4214.871692,4216.922974,4239.487076,4319.999894,4236.922973,4234.871691,4194.358872,4218.974256,4230.769127
81,0,4213.33323,4218.974256,4229.743486,4195.897333,4174.871693,4216.922974,4217.948615,4241.025537,4319.999894,4228.717845,4238.461435,4201.538359,4227.179384,4232.820409
82,0,4215.384512,4218.461435,4231.281948,4193.333231,4181.538359,4216.410153,4218.461435,4246.153742,4321.025535,4233.33323,4236.410153,4201.538359,4228.717845,4233.84605
83,0,4215.897333,4222.563999,4222.051179,4186.153744,4175.384513,4215.384512,4218.461435,4243.58964,4321.025535,4235.897332,4231.794768,4197.435795,4221.025538,4232.820409
84,0,4215.897333,4225.640922,4222.051179,4189.230667,4167.692206,4215.384512,4217.948615,4244.615281,4321.025535,4232.307589,4234.871691,4199.487077,4224.102461,4234.871691
85,0,4215.384512,4221.025538,4225.640922,4192.82041,4171.79477,4214.871692,4215.897333,4246.153742,4324.102458,4238.461435,4236.922973,4201.025538,4227.692204,4237.435794
86,0,4211.794769,4214.358871,4217.435794,4185.640923,4172.30759,4213.33323,4214.871692,4240.512717,4323.589638,4245.128101,4225.640922,4194.871692,4219.487076,4231.794768
87,0,4211.794769,4214.871692,4214.358871,4188.205026,4168.205026,4215.384512,4216.410153,4234.871691,4319.999894,4237.948614,4223.07682,4192.30759,4219.999897,4228.205025
88,0,4217.435794,4219.999897,4222.563999,4198.461436,4170.769129,4216.922974,4217.948615,4234.358871,4321.538356,4231.281948,4232.820409,4198.461436,4230.769127,4230.256307
89,0,4216.922974,4224.615281,4222.563999,4198.461436,4170.256308,4214.358871,4218.461435,4236.922973,4322.051176,4231.794768,4234.871691,4201.538359,4229.743486,4230.256307
90,0,4217.948615,4229.230666,4216.922974,4195.384513,4173.846052,4213.846051,4219.487076,4243.58964,4318.974253,4233.33323,4230.769127,4199.487077,4225.640922,4229.743486
91,0,4226.153743,4234.871691,4216.922974,4197.435795,4177.948616,4217.948615,4218.461435,4244.10246,4317.948612,4238.461435,4230.769127,4199.999897,4231.281948,4231.794768
92,0,4223.58964,4231.794768,4216.410153,4197.435795,4172.820411,4219.999897,4217.435794,4234.871691,4315.89733,4228.717845,4224.102461,4196.922974,4227.179384,4226.153743
