title:J                                                                               , recorded:01.07.20 13.41.40, sampling:128, subject:J                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
46,0,4230.256307,4229.743486,4219.487076,4211.281948,4261.538357,4244.615281,4229.230666,4235.897332,4069.74349,4166.666565,4218.461435,4232.307589,4209.230666,4215.897333
47,0,4230.256307,4246.666563,4208.717846,4204.102461,4234.358871,4245.128101,4228.717845,4234.358871,4073.846054,4164.102462,4214.358871,4227.179384,4212.307589,4209.743487
48,0,4226.666563,4232.307589,4210.769128,4194.871692,4231.794768,4246.666563,4229.230666,4242.051178,4073.333234,4171.79477,4218.974256,4228.205025,4211.281948,4210.769128
49,0,4226.666563,4234.871691,4217.948615,4203.07682,4250.769127,4239.487076,4226.153743,4241.025537,4074.871695,4176.410154,4231.794768,4230.256307,4212.307589,4214.358871
50,0,4233.33323,4251.281947,4216.410153,4221.025538,4254.871691,4232.820409,4219.487076,4235.897332,4088.717849,4173.333231,4234.871691,4232.820409,4217.948615,4217.948615
51,0,4241.025537,4234.358871,4223.07682,4212.82041,4230.769127,4232.820409,4219.487076,4238.974255,4109.230669,4176.922975,4227.692204,4238.461435,4220.512717,4225.128102
52,0,4238.461435,4230.256307,4225.128102,4194.871692,4211.281948,4230.256307,4220.512717,4236.922973,4119.999899,4177.435795,4219.999897,4235.384512,4216.922974,4221.538358
53,0,4227.692204,4244.10246,4217.435794,4205.128102,4232.820409,4232.307589,4215.897333,4230.256307,4122.051181,4168.205026,4220.512717,4227.179384,4214.871692,4212.82041
54,0,4230.256307,4238.974255,4224.615281,4226.666563,4262.051178,4236.922973,4213.33323,4232.820409,4128.717848,4173.846052,4232.820409,4235.897332,4216.410153,4224.102461
55,0,4243.076819,4243.076819,4234.358871,4221.025538,4253.333229,4238.974255,4219.487076,4237.435794,4136.410155,4189.743487,4236.410153,4248.205024,4222.051179,4237.435794
56,0,4240.512717,4259.487075,4230.256307,4211.281948,4237.948614,4242.563999,4226.153743,4235.897332,4133.333232,4186.666564,4229.230666,4244.615281,4227.179384,4230.256307
57,0,4228.717845,4248.717845,4227.179384,4213.33323,4237.948614,4240.512717,4222.051179,4232.307589,4132.820412,4176.410154,4227.692204,4238.974255,4224.102461,4224.102461
58,0,4238.974255,4243.076819,4230.769127,4224.102461,4243.076819,4232.307589,4217.435794,4234.871691,4163.076821,4183.589641,4236.410153,4245.128101,4221.025538,4233.33323
