title:A                                                                               , recorded:01.07.20 14.12.52, sampling:128, subject:A                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
88,0,4213.33323,4253.333229,4216.410153,4204.102461,4216.922974,4215.897333,4209.230666,4213.846051,4162.564001,4232.820409,4197.435795,4218.461435,4183.076821,4162.564001
89,0,4223.07682,4252.820409,4221.025538,4204.615282,4210.769128,4222.051179,4213.846051,4222.051179,4202.051179,4228.717845,4237.435794,4238.461435,4211.794769,4180.512718
90,0,4219.487076,4246.666563,4217.948615,4201.538359,4209.230666,4221.025538,4215.897333,4232.307589,4195.384513,4212.307589,4222.051179,4229.743486,4197.948615,4168.205026
91,0,4215.384512,4248.717845,4216.922974,4201.538359,4212.82041,4223.07682,4216.922974,4231.794768,4166.666565,4211.281948,4199.487077,4215.897333,4183.076821,4158.974257
92,0,4212.307589,4236.922973,4210.256307,4191.281949,4217.435794,4217.948615,4217.435794,4222.563999,4177.948616,4226.153743,4214.871692,4217.948615,4202.051179,4166.153744
93,0,4206.666564,4227.179384,4203.07682,4190.256308,4206.153743,4198.974256,4209.230666,4216.922974,4174.871693,4226.666563,4219.999897,4217.948615,4204.102461,4162.05118
94,0,4213.33323,4240.512717,4213.846051,4206.153743,4188.717846,4213.846051,4221.025538,4232.307589,4163.076821,4218.461435,4212.307589,4223.58964,4195.384513,4162.564001
95,0,4223.58964,4242.051178,4224.102461,4199.487077,4204.102461,4244.10246,4245.128101,4249.743486,4192.30759,4245.128101,4212.82041,4234.871691,4202.051179,4175.897334
96,0,4215.384512,4225.640922,4216.410153,4183.076821,4227.179384,4233.84605,4237.435794,4242.563999,4212.307589,4257.948614,4211.794769,4233.84605,4200.512718,4175.384513
97,0,4208.205025,4229.743486,4215.384512,4197.435795,4217.435794,4212.307589,4217.948615,4228.717845,4197.435795,4217.435794,4216.410153,4228.717845,4201.025538,4166.666565
