title:A                                                                               , recorded:01.07.20 14.09.50, sampling:128, subject:A                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
104,0,4091.281951,4200.512718,4218.974256,4225.128102,4218.461435,4224.615281,4216.410153,4214.358871,4204.615282,4225.640922,4222.051179,4227.179384,4231.794768,4221.538358
105,0,4081.025541,4198.461436,4219.999897,4224.102461,4216.922974,4229.230666,4218.461435,4214.871692,4196.922974,4213.846051,4215.384512,4219.487076,4228.205025,4214.871692
106,0,4075.384516,4205.128102,4227.692204,4227.179384,4219.487076,4226.666563,4216.410153,4215.897333,4195.384513,4212.82041,4219.487076,4217.435794,4229.743486,4218.974256
107,0,4081.538362,4216.922974,4236.410153,4233.84605,4218.461435,4225.640922,4218.974256,4218.974256,4215.384512,4226.153743,4232.307589,4226.153743,4243.076819,4232.307589
108,0,4082.051182,4217.435794,4236.922973,4234.358871,4218.461435,4226.153743,4223.07682,4225.128102,4231.794768,4232.307589,4234.871691,4228.205025,4252.307588,4232.820409
109,0,4073.846054,4212.82041,4234.358871,4230.769127,4226.153743,4226.153743,4218.974256,4230.256307,4229.743486,4230.256307,4229.230666,4228.205025,4249.230665,4226.153743
110,0,4074.871695,4218.461435,4238.974255,4233.33323,4228.205025,4223.07682,4215.384512,4232.307589,4237.435794,4233.33323,4236.410153,4244.10246,4247.179383,4232.307589
111,0,4075.384516,4219.487076,4239.487076,4233.84605,4217.948615,4226.153743,4219.487076,4229.230666,4253.333229,4235.897332,4243.58964,4245.128101,4247.692204,4235.897332
112,0,4065.128106,4213.33323,4228.717845,4229.743486,4214.871692,4222.563999,4218.974256,4219.999897,4237.435794,4233.33323,4235.897332,4236.922973,4241.025537,4229.230666
113,0,4067.179388,4219.999897,4232.307589,4233.33323,4227.179384,4220.512717,4213.846051,4212.307589,4223.07682,4229.743486,4231.281948,4237.948614,4234.871691,4230.769127
