title:A                                                                               , recorded:01.07.20 14.07.03, sampling:128, subject:A                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
30,0,4261.538357,4214.871692,4224.615281,4228.205025,4220.512717,4218.974256,4227.692204,4235.384512,4248.717845,4216.922974,4238.974255,4233.33323,4248.717845,4235.384512
31,0,4264.61528,4234.358871,4229.743486,4237.435794,4212.307589,4216.922974,4233.84605,4236.410153,4266.666562,4214.871692,4232.307589,4233.33323,4242.563999,4238.461435
32,0,4264.10246,4222.563999,4227.692204,4233.84605,4205.128102,4212.82041,4233.84605,4234.358871,4258.461434,4216.410153,4229.743486,4226.666563,4238.461435,4233.84605
33,0,4263.589639,4214.871692,4219.999897,4231.794768,4212.307589,4216.922974,4229.743486,4234.358871,4242.051178,4215.897333,4222.051179,4221.025538,4233.84605,4225.640922
34,0,4252.307588,4210.256307,4210.256307,4228.205025,4233.33323,4211.794769,4219.999897,4232.307589,4221.025538,4207.179384,4210.256307,4211.794769,4223.07682,4214.871692
35,0,4248.205024,4205.640923,4211.281948,4227.179384,4236.410153,4210.256307,4217.435794,4229.230666,4207.692205,4203.589641,4213.846051,4209.743487,4219.999897,4215.384512
36,0,4271.281947,4225.640922,4224.615281,4234.871691,4219.999897,4217.435794,4225.128102,4229.743486,4221.025538,4199.487077,4228.205025,4222.563999,4232.820409,4224.615281
37,0,4287.692203,4240.512717,4228.717845,4242.051178,4215.897333,4215.384512,4222.051179,4228.717845,4243.58964,4192.30759,4232.820409,4231.281948,4246.153742,4225.128102
38,0,4280.512716,4234.871691,4224.102461,4242.563999,4218.461435,4211.281948,4217.948615,4230.256307,4254.35887,4215.384512,4232.307589,4229.743486,4245.128101,4223.07682
39,0,4278.461434,4228.717845,4224.102461,4236.922973,4216.922974,4221.025538,4228.205025,4234.871691,4268.205024,4242.563999,4230.769127,4229.743486,4243.076819,4232.820409
40,0,4284.102459,4222.051179,4217.948615,4225.128102,4223.07682,4223.07682,4226.666563,4230.769127,4259.487075,4217.948615,4219.487076,4225.640922,4237.948614,4229.743486
41,0,4286.666562,4212.82041,4213.846051,4224.615281,4231.281948,4211.281948,4212.82041,4225.128102,4234.871691,4202.564,4213.846051,4217.948615,4229.743486,4220.512717
42,0,4292.307587,4226.666563,4224.615281,4237.948614,4232.307589,4209.230666,4215.384512,4228.205025,4247.179383,4220.512717,4224.615281,4224.615281,4237.435794,4225.640922
43,0,4294.87169,4239.487076,4227.179384,4240.512717,4228.205025,4218.974256,4229.743486,4233.33323,4267.692203,4207.179384,4232.307589,4231.794768,4239.999896,4226.666563
44,0,4296.922972,4225.640922,4221.538358,4229.743486,4222.051179,4224.615281,4233.33323,4241.025537,4272.820408,4204.615282,4227.692204,4228.205025,4233.84605,4223.07682
45,0,4305.64092,4211.794769,4226.666563,4229.743486,4211.794769,4219.487076,4231.281948,4247.692204,4282.051177,4237.435794,4221.538358,4232.307589,4238.461435,4233.33323
46,0,4311.281946,4208.717846,4227.692204,4235.897332,4209.230666,4218.461435,4235.897332,4244.615281,4280.512716,4226.153743,4217.435794,4236.410153,4245.128101,4232.820409
47,0,4307.179382,4218.461435,4214.871692,4231.281948,4222.563999,4213.33323,4227.179384,4228.717845,4247.179383,4176.410154,4213.846051,4219.487076,4230.256307,4215.384512
48,0,4310.256305,4217.435794,4214.358871,4224.615281,4216.922974,4213.33323,4216.410153,4224.102461,4233.33323,4189.743487,4217.948615,4214.358871,4226.153743,4212.82041
49,0,4319.999894,4196.410154,4222.563999,4226.153743,4191.794769,4225.640922,4230.769127,4238.974255,4254.35887,4229.743486,4229.743486,4232.307589,4248.205024,4222.563999
50,0,4321.025535,4197.435795,4219.999897,4229.743486,4208.205025,4236.922973,4241.538358,4243.58964,4258.974255,4220.512717,4222.563999,4225.640922,4245.640922,4217.435794
