title:P                                                                               , recorded:02.07.20 11.12.34, sampling:128, subject:N                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
116,0,4232.820409,4220.512717,4235.897332,4225.640922,4243.076819,4216.410153,4223.07682,4216.922974,4206.666564,4216.922974,4219.487076,4237.948614,4225.128102,4222.051179
117,0,4236.922973,4223.07682,4238.461435,4229.743486,4240.512717,4223.07682,4225.640922,4221.538358,4209.230666,4218.974256,4226.153743,4241.025537,4233.84605,4235.897332
118,0,4235.897332,4223.07682,4239.487076,4227.179384,4234.358871,4227.692204,4225.128102,4221.538358,4213.846051,4228.205025,4230.256307,4242.051178,4237.948614,4240.512717
119,0,4237.435794,4228.717845,4243.076819,4234.871691,4239.487076,4228.205025,4230.256307,4226.666563,4222.563999,4238.974255,4231.794768,4245.640922,4238.461435,4239.487076
120,0,4242.051178,4237.948614,4246.666563,4244.615281,4250.256306,4232.820409,4237.435794,4235.897332,4225.128102,4247.179383,4237.435794,4253.333229,4243.076819,4244.10246
121,0,4238.461435,4233.33323,4238.461435,4232.820409,4248.717845,4221.538358,4227.692204,4232.307589,4214.358871,4239.999896,4235.384512,4246.666563,4242.051178,4242.051178
122,0,4234.871691,4225.128102,4233.33323,4217.435794,4240.512717,4216.922974,4216.922974,4225.128102,4215.897333,4228.717845,4223.58964,4239.487076,4233.84605,4236.410153
123,0,4232.820409,4224.102461,4230.769127,4217.948615,4236.410153,4225.128102,4218.461435,4221.025538,4218.461435,4224.102461,4216.410153,4238.461435,4231.794768,4234.871691
124,0,4229.743486,4221.538358,4226.153743,4225.128102,4238.974255,4219.999897,4220.512717,4216.410153,4206.666564,4222.563999,4219.999897,4235.384512,4235.384512,4230.256307
125,0,4227.179384,4215.384512,4222.051179,4221.538358,4234.871691,4209.743487,4217.948615,4212.307589,4196.410154,4217.948615,4218.974256,4227.692204,4227.692204,4225.128102
126,0,4226.153743,4215.897333,4222.563999,4216.922974,4227.179384,4212.82041,4215.384512,4211.281948,4201.025538,4217.948615,4215.384512,4224.615281,4220.512717,4224.102461
127,0,4226.153743,4222.051179,4226.153743,4219.999897,4230.256307,4219.487076,4217.435794,4214.871692,4209.743487,4225.128102,4215.897333,4227.692204,4226.153743,4229.230666
128,0,4234.871691,4234.358871,4233.84605,4232.820409,4248.717845,4228.205025,4227.179384,4225.640922,4215.897333,4237.948614,4217.948615,4239.999896,4238.461435,4242.563999
0,0,4238.974255,4241.025537,4236.922973,4242.563999,4259.487075,4232.820409,4226.666563,4225.128102,4217.435794,4242.051178,4220.512717,4243.076819,4237.948614,4243.076819
1,0,4233.33323,4236.922973,4235.384512,4239.999896,4257.948614,4227.179384,4221.025538,4217.948615,4220.512717,4238.461435,4230.256307,4235.897332,4232.820409,4230.769127
2,0,4229.743486,4227.179384,4233.84605,4231.281948,4250.769127,4223.58964,4222.051179,4219.999897,4219.487076,4232.820409,4234.358871,4234.871691,4232.820409,4229.743486
