title:P                                                                               , recorded:02.07.20 10.47.57, sampling:128, subject:N                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4, chan:37, units:emotiv,,,,,,,,,
111,0,4212.82041,4206.153743,4217.435794,4217.435794,4230.769127,4199.487077,4216.410153,4222.051179,4263.589639,4191.281949,4192.30759,4130.256309,4214.358871,4263.589639
112,0,4205.640923,4199.999897,4205.640923,4213.846051,4220.512717,4197.948615,4214.871692,4214.871692,4260.512716,4182.564,4176.410154,4116.922976,4199.487077,4249.743486
113,0,4199.487077,4195.897333,4197.435795,4206.666564,4210.769128,4203.07682,4215.897333,4211.794769,4251.794768,4171.281949,4168.205026,4111.281951,4193.846051,4244.10246
114,0,4201.025538,4194.871692,4206.153743,4205.128102,4218.974256,4208.717846,4216.922974,4213.846051,4250.256306,4171.79477,4175.897334,4114.871694,4198.974256,4247.692204
115,0,4210.256307,4200.512718,4215.384512,4214.871692,4228.717845,4207.179384,4217.435794,4214.871692,4257.948614,4182.05118,4184.102462,4120.51272,4205.128102,4255.384511
116,0,4217.948615,4211.281948,4215.897333,4224.102461,4232.307589,4207.179384,4218.974256,4216.922974,4265.128101,4192.82041,4191.281949,4131.28195,4213.846051,4263.589639
117,0,4219.487076,4218.974256,4217.948615,4223.58964,4237.435794,4216.922974,4221.025538,4223.58964,4273.333229,4202.564,4194.358872,4142.564001,4222.563999,4268.717844
118,0,4215.897333,4215.384512,4217.948615,4221.538358,4231.281948,4216.922974,4219.487076,4225.128102,4277.948613,4199.999897,4188.205026,4138.974258,4215.897333,4265.128101
119,0,4207.179384,4202.564,4206.666564,4216.922974,4216.922974,4203.07682,4213.33323,4214.871692,4267.692203,4177.435795,4179.999898,4123.076822,4197.948615,4251.281947
120,0,4203.589641,4195.897333,4197.948615,4207.179384,4212.307589,4198.974256,4210.256307,4203.07682,4258.461434,4162.05118,4182.05118,4117.948617,4194.358872,4243.58964
