title:P                                                                               , recorded:02.07.20 11.08.55, sampling:128, subject:N                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
22,0,4214.871692,4246.153742,4213.846051,4222.051179,4225.640922,4229.230666,4216.922974,4198.461436,4222.051179,4209.743487,4201.025538,4210.769128,4205.128102,4178.974257
23,0,4208.205025,4236.922973,4207.692205,4208.717846,4207.179384,4227.179384,4218.974256,4199.487077,4216.922974,4202.564,4197.948615,4204.615282,4195.897333,4174.358872
24,0,4207.179384,4238.974255,4209.230666,4207.179384,4207.692205,4228.717845,4224.102461,4204.102461,4217.435794,4203.589641,4200.512718,4212.307589,4200.512718,4180.512718
25,0,4209.230666,4242.051178,4212.307589,4222.051179,4211.281948,4224.102461,4220.512717,4206.666564,4218.461435,4202.051179,4201.538359,4217.948615,4203.07682,4186.153744
26,0,4209.230666,4238.974255,4214.871692,4225.640922,4207.179384,4219.487076,4218.974256,4207.179384,4217.435794,4195.384513,4200.512718,4218.461435,4199.999897,4186.666564
27,0,4207.692205,4232.820409,4215.384512,4211.794769,4211.794769,4222.051179,4218.974256,4203.07682,4214.358871,4190.769128,4196.922974,4215.384512,4197.948615,4183.589641
28,0,4208.717846,4234.871691,4216.410153,4213.33323,4221.025538,4226.153743,4219.487076,4203.589641,4216.410153,4197.435795,4198.974256,4214.871692,4199.487077,4184.102462
29,0,4210.256307,4242.563999,4218.974256,4222.563999,4217.948615,4222.563999,4221.025538,4206.666564,4217.948615,4204.615282,4202.051179,4216.410153,4200.512718,4188.205026
30,0,4209.230666,4241.538358,4218.974256,4215.897333,4210.256307,4216.410153,4218.461435,4206.153743,4214.871692,4200.512718,4199.999897,4211.794769,4201.025538,4186.153744
31,0,4202.051179,4228.717845,4214.871692,4207.692205,4209.230666,4217.435794,4219.487076,4203.589641,4212.82041,4191.794769,4195.897333,4203.589641,4192.82041,4174.358872
32,0,4201.538359,4226.666563,4210.769128,4211.281948,4215.897333,4221.025538,4229.230666,4208.717846,4214.358871,4190.769128,4193.846051,4201.025538,4185.128103,4167.179385
33,0,4216.922974,4237.948614,4211.281948,4218.974256,4224.615281,4225.640922,4233.84605,4216.410153,4214.871692,4195.897333,4193.333231,4204.615282,4190.256308,4173.846052
34,0,4225.128102,4243.58964,4214.358871,4219.487076,4224.102461,4227.179384,4228.717845,4213.33323,4208.205025,4190.769128,4193.333231,4204.102461,4194.358872,4177.435795
35,0,4216.410153,4243.076819,4217.948615,4220.512717,4221.538358,4222.563999,4231.281948,4211.281948,4206.153743,4187.179385,4197.435795,4203.589641,4194.358872,4176.922975
36,0,4204.102461,4239.999896,4216.410153,4224.102461,4223.07682,4222.563999,4236.410153,4215.384512,4214.871692,4192.30759,4199.487077,4203.589641,4194.358872,4178.461436
37,0,4199.999897,4235.384512,4210.769128,4218.461435,4224.615281,4231.794768,4237.435794,4217.435794,4218.974256,4195.897333,4196.922974,4202.564,4190.769128,4177.435795
38,0,4196.410154,4223.07682,4206.153743,4202.051179,4219.487076,4230.256307,4233.84605,4214.358871,4212.307589,4195.897333,4193.333231,4194.358872,4183.076821,4168.717847
39,0,4195.897333,4221.538358,4211.794769,4204.615282,4214.358871,4223.07682,4231.281948,4212.307589,4213.846051,4204.102461,4195.897333,4189.743487,4187.179385,4168.205026
40,0,4202.564,4234.358871,4219.999897,4219.999897,4217.435794,4224.615281,4229.743486,4210.769128,4218.974256,4210.769128,4202.051179,4195.897333,4198.461436,4178.974257
41,0,4210.256307,4243.076819,4225.128102,4224.615281,4222.563999,4223.07682,4225.128102,4209.230666,4214.871692,4206.666564,4203.589641,4205.128102,4203.07682,4185.128103
42,0,4210.256307,4241.025537,4225.128102,4221.025538,4213.33323,4212.307589,4218.461435,4206.666564,4208.205025,4196.922974,4198.974256,4208.717846,4199.999897,4185.128103
43,0,4210.256307,4244.10246,4225.128102,4226.666563,4209.230666,4217.948615,4222.563999,4208.717846,4209.743487,4192.82041,4200.512718,4212.82041,4203.07682,4189.230667
44,0,4213.846051,4245.640922,4226.153743,4228.717845,4219.487076,4231.794768,4230.256307,4211.281948,4210.769128,4192.30759,4206.666564,4214.358871,4206.666564,4192.82041
45,0,4214.358871,4241.025537,4227.179384,4223.07682,4223.07682,4230.256307,4231.794768,4213.33323,4210.769128,4193.333231,4209.230666,4216.410153,4206.153743,4193.333231
46,0,4211.281948,4238.461435,4228.205025,4226.153743,4220.512717,4221.538358,4233.84605,4215.897333,4216.922974,4199.999897,4209.230666,4221.025538,4208.205025,4195.384513
47,0,4210.256307,4237.435794,4226.153743,4230.256307,4227.179384,4228.205025,4237.435794,4219.487076,4223.07682,4209.743487,4209.743487,4219.999897,4210.256307,4193.333231
48,0,4202.564,4226.666563,4215.384512,4214.358871,4222.563999,4231.794768,4230.256307,4215.384512,4217.435794,4209.743487,4204.102461,4207.692205,4201.025538,4176.410154
49,0,4193.333231,4221.538358,4205.640923,4202.051179,4213.846051,4229.743486,4224.615281,4211.281948,4214.871692,4211.794769,4200.512718,4205.128102,4197.435795,4170.256308
50,0,4197.948615,4227.692204,4209.230666,4212.307589,4225.640922,4234.358871,4231.794768,4217.948615,4226.153743,4225.128102,4209.743487,4215.897333,4209.743487,4182.05118
51,0,4203.589641,4227.692204,4215.384512,4219.487076,4231.281948,4234.871691,4236.410153,4219.487076,4231.794768,4226.153743,4213.33323,4218.974256,4215.384512,4188.717846
52,0,4202.564,4228.205025,4216.410153,4218.461435,4223.58964,4231.794768,4233.33323,4215.384512,4223.58964,4216.922974,4208.205025,4213.846051,4211.281948,4185.640923
53,0,4206.153743,4237.948614,4223.07682,4224.102461,4225.128102,4231.794768,4232.820409,4214.871692,4215.897333,4213.33323,4208.205025,4215.384512,4210.256307,4185.640923
54,0,4210.256307,4239.999896,4226.153743,4226.153743,4223.58964,4232.307589,4235.384512,4214.871692,4214.871692,4210.256307,4210.256307,4219.999897,4213.33323,4190.769128
55,0,4208.205025,4233.33323,4220.512717,4221.025538,4208.717846,4232.820409,4233.33323,4210.256307,4211.281948,4204.102461,4208.205025,4217.948615,4212.82041,4192.82041
56,0,4208.205025,4234.358871,4219.487076,4222.051179,4207.179384,4226.666563,4229.230666,4205.640923,4206.666564,4202.051179,4206.666564,4216.922974,4209.230666,4192.30759
57,0,4208.205025,4233.33323,4223.07682,4220.512717,4213.33323,4217.435794,4228.205025,4207.179384,4208.717846,4202.564,4207.692205,4216.922974,4208.717846,4193.333231
58,0,4211.281948,4234.871691,4228.205025,4218.974256,4214.871692,4225.640922,4231.794768,4212.82041,4218.974256,4213.846051,4214.871692,4222.051179,4215.384512,4201.538359
59,0,4216.410153,4238.974255,4229.743486,4219.999897,4211.794769,4231.794768,4231.281948,4213.33323,4219.487076,4225.128102,4216.922974,4226.666563,4216.410153,4203.07682
60,0,4216.410153,4234.871691,4223.58964,4214.358871,4206.153743,4218.974256,4227.692204,4208.717846,4212.82041,4221.538358,4210.256307,4221.538358,4212.82041,4197.948615
61,0,4209.230666,4224.102461,4212.307589,4204.615282,4201.538359,4218.461435,4227.692204,4203.07682,4211.281948,4214.358871,4204.615282,4211.281948,4210.256307,4190.769128
62,0,4211.281948,4228.717845,4215.384512,4212.307589,4213.33323,4237.435794,4234.871691,4209.230666,4218.974256,4225.640922,4209.743487,4217.948615,4211.281948,4189.743487
63,0,4217.435794,4234.871691,4223.58964,4219.487076,4217.948615,4237.435794,4235.897332,4217.948615,4225.128102,4232.820409,4217.948615,4234.358871,4217.435794,4202.051179
64,0,4226.666563,4237.948614,4228.205025,4219.999897,4205.128102,4229.743486,4231.281948,4215.897333,4224.615281,4224.615281,4226.153743,4238.461435,4230.769127,4219.487076
65,0,4234.871691,4246.666563,4231.281948,4227.179384,4205.640923,4231.281948,4232.307589,4212.82041,4221.025538,4220.512717,4228.205025,4235.897332,4234.871691,4226.666563
66,0,4236.410153,4249.743486,4230.256307,4232.820409,4219.487076,4227.692204,4235.897332,4215.384512,4217.948615,4223.58964,4226.666563,4237.948614,4233.84605,4230.769127
67,0,4237.948614,4240.512717,4223.58964,4228.205025,4220.512717,4221.025538,4232.307589,4211.281948,4215.384512,4223.58964,4228.717845,4237.435794,4237.435794,4233.84605
68,0,4239.487076,4236.922973,4223.07682,4228.205025,4218.974256,4226.666563,4230.256307,4205.640923,4215.897333,4225.128102,4230.256307,4234.871691,4239.487076,4232.820409
69,0,4237.948614,4241.538358,4230.256307,4229.230666,4228.205025,4235.897332,4234.358871,4214.358871,4222.563999,4233.84605,4228.717845,4238.974255,4239.487076,4233.84605
70,0,4233.33323,4233.84605,4226.666563,4217.948615,4227.692204,4232.820409,4236.410153,4218.974256,4227.179384,4239.487076,4227.692204,4241.538358,4237.948614,4230.256307
71,0,4231.794768,4228.717845,4219.999897,4216.922974,4221.538358,4229.743486,4234.358871,4214.358871,4228.717845,4243.076819,4231.281948,4239.487076,4238.461435,4225.640922
72,0,4233.33323,4238.974255,4223.07682,4228.717845,4226.153743,4233.33323,4231.794768,4215.384512,4227.179384,4245.128101,4231.281948,4237.435794,4239.999896,4226.153743
