title:K                                                                               , recorded:02.07.20 11.38.28, sampling:128, subject:K                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
54,0,4150.769129,4226.666563,4215.897333,4188.717846,4103.589643,4169.743488,4194.358872,4207.692205,4178.974257,4142.051181,4195.897333,4186.153744,3960.512724,4112.307592
55,0,4142.564001,4204.615282,4190.769128,4151.79477,4072.307593,4106.153746,4169.230667,4193.333231,4153.333232,4090.25631,4174.358872,4163.589642,3929.230673,4095.384515
56,0,4135.897335,4149.743488,4156.922975,4177.435795,4057.435798,4064.102465,4160.512719,4182.564,4126.666566,4066.153747,4172.30759,4155.897334,3904.102469,4088.205028
57,0,4147.692206,4187.692205,4186.153744,4223.58964,4084.102464,4165.640924,4193.846051,4211.794769,4155.384514,4111.794771,4209.743487,4184.102462,3944.615288,4114.358874
58,0,4156.410155,4237.435794,4253.333229,4169.743488,4120.51272,4222.051179,4207.692205,4230.769127,4198.461436,4156.922975,4218.461435,4204.102461,3977.948621,4127.692207
59,0,4143.589642,4196.410154,4226.153743,4141.53836,4108.717848,4128.205027,4176.922975,4204.102461,4176.922975,4146.666565,4184.102462,4180.512718,3947.179391,4101.025541
60,0,4122.051181,4163.076821,4144.615283,4208.717846,4067.692208,4081.538362,4158.974257,4180.512718,4133.846053,4089.74349,4175.384513,4151.28195,3929.230673,4080.512721
61,0,4123.076822,4180.512718,4158.461437,4221.538358,4066.666567,4146.666565,4177.948616,4193.846051,4145.128104,4069.74349,4197.948615,4160.512719,3958.974262,4090.769131
62,0,4128.717848,4186.153744,4205.640923,4175.384513,4094.358874,4159.487078,4186.153744,4204.102461,4167.692206,4114.871694,4196.922974,4173.846052,3954.871698,4093.333233
63,0,4128.205027,4170.256308,4203.589641,4172.30759,4102.051182,4123.076822,4178.974257,4198.974256,4159.999898,4154.358873,4188.717846,4177.435795,3935.384519,4096.922977
64,0,4137.948617,4168.205026,4205.128102,4194.871692,4102.051182,4127.692207,4175.897334,4195.897333,4149.230668,4135.897335,4206.153743,4185.128103,3956.92298,4112.820412
65,0,4159.999898,4186.153744,4215.897333,4210.769128,4109.230669,4154.871693,4178.974257,4203.07682,4160.512719,4116.922976,4223.58964,4193.333231,3977.4358,4122.564002
66,0,4155.897334,4200.512718,4190.769128,4211.794769,4105.640925,4150.256309,4176.410154,4201.025538,4166.666565,4134.358873,4210.256307,4190.256308,3964.615288,4123.589643
67,0,4137.948617,4174.358872,4195.384513,4181.538359,4096.922977,4137.948617,4171.79477,4192.82041,4159.487078,4151.28195,4191.281949,4185.128103,3956.41016,4123.589643
68,0,4139.999899,4145.640924,4236.922973,4164.102462,4115.897335,4109.743489,4160.512719,4185.640923,4147.692206,4126.666566,4188.205026,4184.102462,3955.897339,4117.948617
69,0,4136.410155,4174.871693,4201.025538,4205.640923,4122.051181,4091.794772,4154.871693,4175.384513,4131.794771,4081.025541,4189.230667,4171.281949,3935.384519,4102.051182
70,0,4146.666565,4205.128102,4161.53836,4240.512717,4106.153746,4153.333232,4174.871693,4190.256308,4150.256309,4113.846053,4206.153743,4177.948616,3947.692211,4106.666566
71,0,4177.435795,4191.281949,4224.102461,4215.384512,4110.76913,4188.717846,4183.589641,4206.666564,4172.30759,4178.974257,4217.948615,4198.974256,3984.102467,4133.333232
72,0,4162.564001,4194.871692,4248.717845,4207.179384,4115.384515,4163.589642,4174.871693,4198.974256,4164.615283,4158.974257,4203.07682,4189.743487,3979.487082,4138.461437
73,0,4135.897335,4216.922974,4190.769128,4237.435794,4115.897335,4158.974257,4178.974257,4194.358872,4159.999898,4117.435797,4192.82041,4171.79477,3955.384519,4122.051181
74,0,4144.102463,4200.512718,4188.205026,4224.615281,4121.538361,4136.922976,4171.79477,4193.333231,4159.487078,4123.589643,4187.179385,4170.769129,3945.128109,4118.461438
75,0,4153.333232,4181.025539,4223.07682,4198.974256,4132.820412,4124.615284,4164.615283,4193.846051,4156.410155,4141.53836,4188.717846,4174.871693,3947.179391,4121.02554
76,0,4138.974258,4198.974256,4211.794769,4208.205025,4145.640924,4170.256308,4187.692205,4214.358871,4175.384513,4145.128104,4217.948615,4183.589641,3969.230672,4118.974258
77,0,4147.692206,4192.30759,4207.179384,4211.281948,4149.743488,4186.153744,4201.025538,4224.615281,4193.846051,4150.769129,4232.307589,4195.384513,3978.974262,4131.28195
78,0,4168.717847,4171.79477,4215.384512,4219.999897,4139.487078,4160.512719,4189.743487,4209.230666,4179.487077,4158.461437,4208.717846,4197.948615,3958.461442,4142.564001
