title:K                                                                               , recorded:02.07.20 11.31.20, sampling:128, subject:K                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
16,0,4208.717846,4235.384512,4202.051179,4237.435794,4277.435793,4254.871691,4232.820409,4230.256307,4226.666563,4225.640922,4252.307588,4261.025537,4269.230665,4270.769126
17,0,4208.717846,4232.820409,4203.589641,4232.820409,4276.410152,4219.999897,4221.538358,4218.461435,4222.563999,4230.769127,4249.230665,4259.999896,4266.153742,4281.025536
18,0,4209.743487,4234.358871,4201.025538,4247.179383,4262.563998,4215.897333,4218.461435,4216.410153,4217.435794,4237.948614,4237.435794,4245.640922,4262.563998,4271.794767
19,0,4207.692205,4232.820409,4196.922974,4246.153742,4264.10246,4230.256307,4222.563999,4217.435794,4217.435794,4230.256307,4235.384512,4238.461435,4257.435793,4259.999896
20,0,4211.281948,4235.897332,4203.07682,4244.615281,4276.922972,4241.538358,4229.230666,4218.974256,4232.307589,4236.922973,4250.769127,4259.999896,4265.128101,4273.846049
21,0,4210.769128,4232.820409,4202.051179,4242.563999,4272.820408,4223.07682,4223.58964,4221.025538,4233.84605,4236.922973,4255.384511,4270.769126,4267.179383,4279.487075
22,0,4194.871692,4214.358871,4182.05118,4218.461435,4259.487075,4186.153744,4209.230666,4214.871692,4212.307589,4199.487077,4237.948614,4247.692204,4243.076819,4254.35887
23,0,4194.871692,4216.922974,4179.999898,4215.897333,4253.333229,4209.743487,4216.410153,4216.922974,4215.897333,4204.615282,4233.33323,4241.538358,4238.461435,4247.692204
24,0,4208.205025,4230.256307,4192.82041,4232.820409,4259.487075,4237.948614,4225.640922,4223.58964,4223.07682,4248.717845,4238.974255,4254.35887,4250.256306,4260.512716
25,0,4199.999897,4216.410153,4184.615282,4222.563999,4261.538357,4188.205026,4208.205025,4211.281948,4199.487077,4240.512717,4228.717845,4237.948614,4236.410153,4249.743486
26,0,4189.230667,4210.256307,4176.410154,4215.384512,4249.230665,4179.999898,4206.153743,4209.743487,4198.974256,4217.435794,4227.179384,4224.615281,4229.743486,4241.025537
27,0,4197.435795,4233.33323,4185.128103,4236.410153,4241.538358,4254.35887,4230.256307,4231.281948,4235.384512,4231.794768,4242.051178,4241.538358,4250.256306,4254.871691
28,0,4201.025538,4238.461435,4187.692205,4234.358871,4249.743486,4263.589639,4232.307589,4232.820409,4239.487076,4232.820409,4241.025537,4243.58964,4253.333229,4255.384511
29,0,4193.333231,4223.58964,4182.564,4212.307589,4264.10246,4204.615282,4210.256307,4211.794769,4214.358871,4212.307589,4231.281948,4230.256307,4243.076819,4246.666563
