title:K                                                                               , recorded:02.07.20 11.26.20, sampling:128, subject:K                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
123,0,4210.769128,4226.666563,4216.922974,4226.666563,4225.128102,4234.358871,4233.33323,4242.051178,4232.820409,4240.512717,4233.84605,4234.871691,4246.666563,4232.820409
124,0,4201.538359,4214.358871,4215.384512,4210.256307,4234.358871,4198.974256,4216.410153,4228.717845,4221.025538,4238.974255,4229.230666,4225.128102,4236.410153,4221.025538
125,0,4192.82041,4199.487077,4208.205025,4211.281948,4228.205025,4188.717846,4213.846051,4216.410153,4213.33323,4215.384512,4217.948615,4213.846051,4228.717845,4212.82041
126,0,4192.30759,4200.512718,4204.102461,4218.974256,4211.281948,4205.128102,4221.538358,4216.410153,4212.82041,4215.897333,4216.410153,4216.410153,4230.769127,4218.461435
127,0,4206.153743,4215.384512,4214.871692,4218.461435,4228.205025,4232.820409,4227.179384,4233.33323,4232.307589,4244.10246,4232.307589,4231.794768,4246.153742,4232.820409
128,0,4208.717846,4212.307589,4218.461435,4212.307589,4235.384512,4212.307589,4222.563999,4233.84605,4236.922973,4237.435794,4235.384512,4232.820409,4247.179383,4231.794768
0,0,4200.512718,4204.615282,4221.538358,4214.358871,4203.07682,4184.615282,4217.435794,4224.615281,4224.102461,4236.410153,4232.820409,4231.281948,4242.563999,4232.820409
1,0,4212.307589,4228.717845,4238.974255,4228.205025,4194.871692,4225.640922,4227.179384,4238.461435,4229.230666,4254.35887,4244.615281,4249.230665,4256.410152,4253.333229
2,0,4232.307589,4253.333229,4246.153742,4249.743486,4223.58964,4266.153742,4234.358871,4251.794768,4242.563999,4229.743486,4254.871691,4257.948614,4266.153742,4261.025537
3,0,4228.205025,4238.974255,4237.435794,4251.794768,4242.051178,4234.358871,4227.179384,4241.538358,4237.435794,4214.871692,4245.640922,4244.10246,4252.307588,4247.179383
4,0,4206.153743,4207.179384,4223.58964,4223.07682,4224.615281,4175.897334,4217.948615,4226.153743,4213.33323,4237.948614,4219.999897,4227.692204,4227.179384,4224.615281
5,0,4202.051179,4203.07682,4218.461435,4208.205025,4192.82041,4173.846052,4220.512717,4225.640922,4206.153743,4239.999896,4212.82041,4227.692204,4220.512717,4218.974256
6,0,4213.846051,4218.974256,4231.794768,4226.666563,4199.487077,4217.435794,4227.692204,4235.384512,4219.487076,4227.692204,4232.820409,4235.897332,4233.33323,4238.461435
7,0,4214.358871,4218.461435,4237.948614,4238.461435,4237.948614,4236.410153,4228.717845,4236.410153,4222.051179,4231.794768,4239.999896,4235.897332,4233.33323,4245.128101
8,0,4194.358872,4202.051179,4218.974256,4213.33323,4229.230666,4214.358871,4225.640922,4230.769127,4214.358871,4223.58964,4219.487076,4227.692204,4215.897333,4222.563999
9,0,4189.230667,4193.846051,4210.256307,4190.256308,4194.358872,4193.333231,4222.563999,4232.820409,4212.82041,4212.307589,4210.256307,4223.58964,4214.871692,4211.281948
10,0,4206.666564,4199.487077,4225.640922,4210.256307,4214.871692,4199.999897,4223.58964,4242.051178,4212.82041,4222.051179,4225.640922,4229.230666,4231.281948,4231.281948
11,0,4212.82041,4210.256307,4234.358871,4230.769127,4244.615281,4225.128102,4231.281948,4249.743486,4223.07682,4226.666563,4238.461435,4240.512717,4236.410153,4244.10246
12,0,4208.717846,4228.717845,4235.384512,4223.07682,4236.922973,4247.179383,4233.84605,4256.922973,4244.615281,4231.281948,4235.897332,4250.769127,4234.358871,4236.410153
13,0,4210.256307,4228.717845,4233.33323,4217.435794,4226.153743,4226.153743,4226.666563,4249.743486,4236.922973,4235.384512,4227.179384,4246.153742,4228.717845,4234.871691
14,0,4213.846051,4212.82041,4231.281948,4235.897332,4231.794768,4212.307589,4224.102461,4245.128101,4223.58964,4237.435794,4237.435794,4240.512717,4230.769127,4248.717845
15,0,4210.256307,4211.794769,4233.84605,4235.897332,4237.948614,4234.871691,4229.743486,4258.974255,4243.58964,4234.358871,4250.256306,4251.281947,4245.128101,4253.84605
16,0,4203.589641,4207.692205,4229.743486,4203.589641,4227.692204,4217.948615,4227.179384,4256.922973,4244.10246,4214.871692,4231.794768,4248.717845,4236.922973,4235.897332
17,0,4206.153743,4197.435795,4227.179384,4202.564,4220.512717,4182.564,4222.051179,4241.025537,4219.487076,4219.487076,4218.974256,4236.922973,4214.871692,4224.615281
18,0,4214.871692,4206.666564,4246.153742,4228.717845,4227.179384,4201.538359,4227.692204,4251.281947,4228.205025,4252.820409,4241.025537,4251.281947,4223.58964,4238.461435
19,0,4214.871692,4219.487076,4258.461434,4238.461435,4224.615281,4233.33323,4235.897332,4268.717844,4252.820409,4258.974255,4252.820409,4267.179383,4247.179383,4247.692204
20,0,4210.256307,4218.974256,4245.128101,4238.974255,4219.487076,4237.948614,4237.435794,4265.640921,4251.794768,4246.666563,4245.128101,4264.10246,4250.769127,4236.922973
21,0,4212.307589,4217.948615,4240.512717,4230.256307,4233.33323,4231.281948,4229.230666,4256.922973,4238.461435,4250.769127,4251.281947,4259.487075,4241.538358,4227.179384
22,0,4213.33323,4220.512717,4246.666563,4217.435794,4233.33323,4217.435794,4223.07682,4252.307588,4233.84605,4253.84605,4249.743486,4257.435793,4234.358871,4231.281948
