title:A                                                                               , recorded:02.07.20 12.25.52, sampling:128, subject:S                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 ,, units:emotiv,,,,,,,,,
1,0,4092.820413,4086.153746,4073.846054,4081.025541,4080.512721,4118.461438,4085.128105,4130.256309,4113.333233,4066.153747,4072.820413,4050.256311,4052.820414,4072.820413
2,0,4132.820412,4129.743489,4123.076822,4129.230668,4124.615284,4150.769129,4125.128104,4154.358873,4138.974258,4121.02554,4117.948617,4096.922977,4101.538361,4112.820412
3,0,4135.897335,4130.76913,4141.02554,4145.128104,4128.717848,4148.717847,4138.461437,4151.79477,4143.589642,4131.794771,4126.666566,4113.333233,4112.307592,4119.487079
4,0,4170.256308,4165.128103,4173.333231,4179.487077,4162.564001,4169.230667,4170.769129,4170.769129,4165.640924,4161.025539,4154.358873,4151.28195,4145.640924,4147.692206
5,0,4187.692205,4185.640923,4186.153744,4193.846051,4183.589641,4187.179385,4186.153744,4179.487077,4169.743488,4175.897334,4165.640924,4167.179385,4168.717847,4167.692206
6,0,4235.384512,4233.33323,4234.358871,4246.153742,4238.974255,4224.102461,4231.281948,4200.512718,4200.512718,4233.33323,4211.281948,4210.256307,4227.692204,4222.563999
7,0,4252.820409,4251.281947,4257.435793,4268.205024,4259.999896,4227.692204,4242.563999,4197.948615,4207.692205,4266.153742,4235.384512,4232.307589,4252.307588,4245.128101
8,0,4296.410151,4301.025536,4304.102459,4314.871689,4296.922972,4263.076819,4275.897331,4229.230666,4235.384512,4315.89733,4279.487075,4280.512716,4294.358869,4287.179382
9,0,4311.794766,4318.461433,4312.307587,4326.666561,4306.153741,4263.076819,4284.102459,4223.58964,4228.717845,4328.205022,4284.61528,4287.179382,4302.051177,4293.846049
10,0,4318.461433,4322.563997,4316.410151,4326.666561,4320.512715,4267.692203,4298.974254,4229.743486,4241.538358,4333.846048,4293.333228,4297.948613,4307.692202,4301.025536
11,0,4285.640921,4288.717844,4290.256305,4295.38451,4291.281946,4254.871691,4282.051177,4218.974256,4232.820409,4297.435792,4269.230665,4278.461434,4280.512716,4273.846049
12,0,4273.333229,4274.87169,4275.384511,4286.153741,4271.281947,4252.820409,4271.281947,4216.922974,4222.563999,4273.846049,4252.820409,4256.410152,4262.563998,4254.35887
13,0,4229.743486,4228.205025,4229.230666,4241.538358,4228.717845,4216.922974,4222.051179,4197.435795,4195.384513,4232.820409,4210.769128,4205.640923,4214.871692,4211.794769
14,0,4201.025538,4199.487077,4205.128102,4211.281948,4204.102461,4203.589641,4198.461436,4195.897333,4192.82041,4203.589641,4184.102462,4182.564,4192.30759,4192.82041
15,0,4167.179385,4166.153744,4168.717847,4175.897334,4163.076821,4181.538359,4171.79477,4177.435795,4176.922975,4169.743488,4154.358873,4148.205027,4155.384514,4157.435796
16,0,4121.02554,4114.358874,4117.435797,4125.640925,4112.307592,4148.205027,4131.28195,4145.128104,4141.02554,4115.897335,4114.871694,4096.410156,4098.974259,4106.666566
17,0,4087.179387,4078.974259,4090.25631,4092.820413,4086.153746,4123.589643,4103.076823,4128.717848,4119.999899,4076.410157,4087.692208,4070.256311,4068.717849,4078.974259
18,0,4075.897336,4066.153747,4074.358875,4077.948618,4073.846054,4110.25631,4093.846054,4118.974258,4111.281951,4053.333234,4068.205029,4056.922978,4055.897337,4067.179388
19,0,4082.051182,4069.23067,4080.512721,4083.076823,4073.333234,4111.794771,4094.871695,4123.076822,4116.410156,4060.512721,4073.846054,4063.076824,4058.461439,4074.871695
20,0,4081.025541,4071.794772,4089.74349,4089.230669,4072.820413,4109.230669,4093.333233,4119.487079,4109.230669,4059.999901,4077.948618,4069.74349,4068.717849,4083.589644
21,0,4126.666566,4123.589643,4136.922976,4138.974258,4122.564002,4138.461437,4132.307591,4141.53836,4134.358873,4116.922976,4126.153745,4118.461438,4124.615284,4132.820412
22,0,4147.179386,4144.615283,4151.79477,4152.820411,4134.871694,4147.179386,4142.051181,4138.974258,4135.897335,4135.384514,4138.974258,4134.871694,4135.897335,4145.640924
23,0,4197.948615,4202.564,4209.230666,4209.230666,4190.256308,4190.769128,4191.281949,4171.79477,4169.743488,4183.076821,4186.153744,4189.230667,4186.153744,4192.82041
24,0,4234.871691,4246.666563,4248.717845,4250.769127,4243.076819,4221.025538,4228.205025,4201.025538,4194.871692,4232.307589,4226.666563,4226.666563,4229.743486,4231.794768
25,0,4277.435793,4292.820408,4295.897331,4299.487074,4293.333228,4258.974255,4270.769126,4224.615281,4229.743486,4305.64092,4281.538357,4276.922972,4284.102459,4284.102459
26,0,4272.307588,4290.256305,4295.38451,4302.563997,4285.1281,4247.692204,4267.179383,4196.410154,4216.922974,4315.38451,4272.820408,4278.461434,4286.666562,4278.461434
27,0,4309.230664,4325.64092,4312.820407,4331.281945,4321.538356,4268.205024,4298.974254,4211.794769,4234.358871,4339.999894,4286.153741,4298.461433,4311.281946,4293.846049
28,0,4328.205022,4333.846048,4317.948612,4335.89733,4338.974253,4277.948613,4312.307587,4223.07682,4242.563999,4349.743483,4302.563997,4307.179382,4321.025535,4307.179382
29,0,4337.948612,4340.512714,4337.435791,4346.15374,4344.615278,4294.87169,4322.051176,4244.615281,4256.410152,4352.307586,4326.15374,4324.615279,4337.435791,4329.743484
30,0,4293.333228,4297.948613,4298.461433,4302.563997,4294.87169,4266.153742,4279.487075,4220.512717,4231.281948,4303.589638,4285.1281,4279.999895,4290.769126,4286.666562
31,0,4267.692203,4265.128101,4267.179383,4275.897331,4259.999896,4245.128101,4255.384511,4209.230666,4225.640922,4271.281947,4256.410152,4249.230665,4257.435793,4257.948614
32,0,4230.769127,4227.179384,4234.358871,4243.076819,4217.435794,4210.256307,4223.07682,4198.461436,4209.230666,4232.820409,4229.230666,4220.512717,4226.666563,4231.794768
33,0,4201.025538,4203.589641,4204.102461,4204.615282,4193.333231,4194.871692,4194.358872,4187.692205,4183.589641,4197.948615,4200.512718,4190.256308,4195.384513,4202.564
34,0,4159.487078,4157.948616,4166.666565,4158.461437,4157.948616,4174.358872,4156.410155,4165.640924,4160.512719,4160.512719,4164.102462,4149.230668,4148.205027,4159.487078
35,0,4126.153745,4118.974258,4137.435796,4132.307591,4119.999899,4152.820411,4133.333232,4153.846052,4151.79477,4122.564002,4136.410155,4113.333233,4114.358874,4130.256309
36,0,4107.179387,4105.640925,4116.922976,4112.820412,4102.051182,4142.051181,4119.487079,4159.487078,4150.256309,4112.307592,4124.102463,4098.461438,4093.846054,4112.820412
37,0,4075.384516,4067.692208,4081.538362,4069.74349,4072.820413,4127.179386,4091.794772,4144.615283,4126.153745,4085.128105,4090.25631,4066.153747,4055.384516,4074.358875
38,0,4088.717849,4073.846054,4092.307592,4083.076823,4087.179387,4134.358873,4106.153746,4150.769129,4135.897335,4092.820413,4097.435797,4069.23067,4069.74349,4081.538362
