title:A                                                                               , recorded:02.07.20 12.31.25, sampling:128, subject:S                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
20,0,4099.487079,4109.743489,4112.307592,4119.999899,4127.692207,4109.743489,4095.384515,4107.692207,4113.846053,4119.487079,4128.205027,4081.025541,4101.025541,4102.564002
21,0,4104.615284,4113.846053,4115.384515,4123.589643,4129.230668,4113.333233,4103.076823,4112.307592,4115.384515,4119.487079,4131.28195,4087.179387,4100.51272,4107.179387
22,0,4098.974259,4107.179387,4113.333233,4115.897335,4122.564002,4109.230669,4097.948618,4109.743489,4112.307592,4116.922976,4127.692207,4083.076823,4098.461438,4101.538361
23,0,4078.974259,4088.717849,4096.410156,4098.974259,4106.153746,4099.487079,4083.589644,4099.9999,4107.179387,4107.692207,4113.846053,4067.179388,4087.179387,4085.128105
24,0,4074.358875,4084.102464,4085.640926,4097.435797,4097.948618,4096.410156,4082.051182,4095.897336,4105.128105,4106.153746,4104.102464,4063.076824,4078.461439,4079.9999
25,0,4092.307592,4098.974259,4098.461438,4111.281951,4109.230669,4099.9999,4090.769131,4102.051182,4107.692207,4112.820412,4114.871694,4074.358875,4087.179387,4094.358874
26,0,4099.487079,4107.179387,4110.76913,4114.871694,4121.538361,4102.564002,4091.794772,4106.666566,4108.717848,4111.794771,4124.102463,4079.48708,4095.897336,4105.128105
27,0,4094.871695,4106.153746,4109.743489,4110.76913,4124.615284,4107.179387,4093.846054,4105.640925,4110.76913,4113.846053,4119.999899,4076.922977,4096.410156,4101.538361
28,0,4092.820413,4104.615284,4106.153746,4111.794771,4119.487079,4107.179387,4096.410156,4106.153746,4114.871694,4116.922976,4118.461438,4079.9999,4092.307592,4096.410156
29,0,4099.487079,4107.179387,4113.846053,4123.589643,4123.076822,4106.153746,4099.9999,4110.76913,4118.461438,4114.871694,4130.76913,4089.74349,4095.384515,4108.205028
30,0,4107.692207,4115.384515,4126.153745,4130.76913,4131.794771,4113.333233,4109.743489,4114.358874,4123.076822,4124.615284,4141.02554,4096.922977,4107.179387,4121.538361
31,0,4105.128105,4113.846053,4119.999899,4122.051181,4125.128104,4115.384515,4112.307592,4113.846053,4123.076822,4133.846053,4128.205027,4091.794772,4106.666566,4114.871694
32,0,4101.538361,4113.846053,4115.897335,4124.102463,4127.692207,4114.358874,4112.820412,4118.974258,4126.153745,4131.794771,4118.461438,4091.794772,4102.564002,4111.794771
33,0,4105.128105,4118.461438,4127.179386,4129.230668,4139.999899,4116.922976,4116.922976,4123.589643,4129.743489,4128.717848,4124.615284,4094.871695,4106.666566,4117.948617
34,0,4101.025541,4108.205028,4126.153745,4115.897335,4129.230668,4108.205028,4113.333233,4114.871694,4125.128104,4122.564002,4120.51272,4084.615285,4101.025541,4109.743489
35,0,4084.615285,4084.615285,4104.102464,4097.948618,4104.102464,4088.717849,4097.948618,4102.564002,4115.897335,4102.564002,4098.461438,4066.666567,4074.871695,4086.153746
36,0,4086.153746,4090.769131,4106.153746,4111.281951,4116.410156,4094.358874,4103.589643,4110.25631,4118.974258,4104.615284,4098.461438,4076.922977,4078.974259,4086.666567
37,0,4094.871695,4105.128105,4118.974258,4125.128104,4137.435796,4105.640925,4120.51272,4120.51272,4127.179386,4122.564002,4110.76913,4093.333233,4098.461438,4098.461438
38,0,4096.410156,4103.076823,4118.974258,4122.051181,4135.384514,4094.871695,4119.999899,4119.487079,4130.256309,4125.640925,4117.435797,4090.769131,4099.487079,4102.564002
39,0,4099.487079,4106.666566,4118.461438,4120.51272,4128.717848,4083.589644,4111.794771,4117.435797,4128.205027,4119.487079,4118.461438,4084.615285,4094.871695,4103.589643
40,0,4103.076823,4119.999899,4123.589643,4129.743489,4132.307591,4091.794772,4120.51272,4123.589643,4130.256309,4131.28195,4121.02554,4093.846054,4106.666566,4109.743489
41,0,4090.25631,4112.820412,4115.384515,4124.615284,4125.640925,4088.205028,4124.102463,4123.589643,4128.717848,4136.410155,4117.948617,4093.846054,4106.153746,4104.615284
42,0,4095.897336,4114.871694,4118.461438,4125.128104,4132.307591,4084.102464,4126.153745,4128.205027,4130.76913,4138.461437,4124.102463,4093.333233,4103.076823,4103.589643
43,0,4117.435797,4135.897335,4131.794771,4138.974258,4151.28195,4092.820413,4135.384514,4139.999899,4137.948617,4150.256309,4136.410155,4103.589643,4118.974258,4115.384515
44,0,4118.461438,4139.487078,4133.333232,4145.128104,4155.384514,4099.9999,4139.999899,4144.102463,4143.076822,4158.974257,4141.02554,4110.25631,4131.794771,4118.461438
45,0,4108.205028,4128.717848,4128.717848,4137.948617,4149.743488,4094.871695,4137.435796,4142.564001,4144.102463,4161.025539,4141.02554,4109.743489,4129.230668,4116.922976
46,0,4117.435797,4135.384514,4137.435796,4136.922976,4155.897334,4094.871695,4140.512719,4147.179386,4147.692206,4169.743488,4147.179386,4115.897335,4134.871694,4126.666566
47,0,4128.205027,4145.128104,4151.28195,4145.640924,4170.256308,4103.076823,4148.717847,4150.769129,4155.384514,4181.025539,4151.28195,4126.153745,4138.461437,4132.820412
48,0,4124.102463,4142.051181,4154.358873,4153.846052,4169.230667,4101.538361,4150.769129,4144.615283,4155.384514,4173.333231,4140.512719,4126.153745,4129.230668,4129.743489
49,0,4128.205027,4143.589642,4149.230668,4157.948616,4160.512719,4095.897336,4148.717847,4139.487078,4147.179386,4161.53836,4136.410155,4119.999899,4132.307591,4134.871694
