title:A                                                                               , recorded:02.07.20 12.21.59, sampling:128, subject:S                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
83,0,4274.87169,4225.640922,4234.871691,4239.999896,4213.846051,4317.948612,4252.820409,4327.179381,4309.230664,4198.974256,4261.025537,4225.128102,4268.205024,4274.87169
84,0,4246.153742,4194.358872,4208.717846,4216.922974,4172.820411,4302.051177,4235.384512,4312.307587,4296.922972,4197.435795,4231.281948,4197.435795,4236.410153,4250.256306
85,0,4236.410153,4174.871693,4194.871692,4197.948615,4172.820411,4294.358869,4226.666563,4307.179382,4290.256305,4185.640923,4220.512717,4187.692205,4227.179384,4235.897332
86,0,4223.07682,4166.153744,4183.076821,4182.05118,4168.717847,4277.435793,4210.256307,4295.897331,4271.281947,4117.435797,4207.179384,4172.30759,4213.33323,4220.512717
87,0,4217.435794,4168.205026,4179.999898,4181.538359,4153.333232,4273.333229,4204.102461,4290.256305,4265.128101,4101.025541,4198.461436,4160.512719,4202.051179,4213.846051
88,0,4217.948615,4161.025539,4178.461436,4179.487077,4135.384514,4283.589639,4207.692205,4293.333228,4272.307588,4135.897335,4199.999897,4162.564001,4203.07682,4215.897333
89,0,4218.461435,4161.025539,4181.538359,4172.820411,4132.307591,4285.640921,4205.640923,4295.897331,4271.281947,4136.410155,4202.051179,4168.717847,4207.179384,4219.487076
90,0,4196.410154,4141.53836,4159.487078,4149.230668,4125.640925,4260.512716,4182.05118,4276.410152,4246.153742,4096.410156,4174.358872,4140.512719,4173.846052,4192.30759
91,0,4180.512718,4117.435797,4136.410155,4135.384514,4128.717848,4246.153742,4172.820411,4266.153742,4239.999896,4087.179387,4160.512719,4118.461438,4154.871693,4172.30759
92,0,4177.948616,4113.333233,4133.333232,4131.794771,4121.02554,4245.128101,4171.281949,4268.717844,4245.128101,4088.717849,4164.615283,4118.461438,4162.564001,4171.79477
93,0,4168.717847,4113.846053,4127.692207,4121.538361,4091.281951,4239.999896,4158.974257,4261.538357,4231.794768,4063.076824,4149.230668,4110.25631,4145.640924,4161.025539
94,0,4149.230668,4094.871695,4103.076823,4105.128105,4077.435798,4228.205025,4140.512719,4245.128101,4212.307589,4040.512722,4126.153745,4088.717849,4115.897335,4139.487078
95,0,4137.435796,4079.48708,4085.128105,4095.384515,4088.717849,4214.871692,4129.230668,4233.33323,4202.564,4037.948619,4121.02554,4076.410157,4112.820412,4133.846053
96,0,4128.205027,4074.871695,4079.9999,4089.74349,4075.384516,4201.538359,4117.435797,4227.692204,4196.410154,4031.281953,4111.794771,4071.794772,4107.692207,4131.28195
97,0,4112.307592,4058.461439,4066.666567,4072.307593,4051.281952,4191.794769,4101.025541,4218.974256,4183.076821,4009.230671,4087.179387,4058.461439,4079.9999,4112.307592
98,0,4115.897335,4061.538362,4068.205029,4070.256311,4067.692208,4195.897333,4106.666566,4221.538358,4183.076821,4014.358876,4090.25631,4057.948619,4082.564003,4112.307592
99,0,4119.999899,4066.666567,4070.769131,4074.358875,4065.640926,4197.435795,4110.76913,4220.512717,4185.128103,4017.435799,4097.435797,4059.999901,4096.922977,4118.974258
100,0,4117.435797,4055.897337,4067.179388,4075.384516,4051.794773,4198.461436,4106.666566,4214.871692,4184.102462,4019.999902,4092.307592,4060.512721,4098.461438,4121.02554
101,0,4128.205027,4056.410157,4071.794772,4076.922977,4061.538362,4204.102461,4107.692207,4211.794769,4184.102462,4039.487081,4095.384515,4063.076824,4104.102464,4129.230668
102,0,4164.102462,4094.871695,4100.51272,4105.128105,4102.051182,4214.871692,4133.846053,4229.230666,4201.538359,4059.48708,4135.384514,4090.769131,4137.948617,4167.179385
103,0,4185.640923,4117.948617,4110.76913,4124.102463,4115.897335,4206.153743,4145.128104,4237.435794,4203.07682,4039.999901,4154.358873,4108.717848,4154.358873,4198.461436
104,0,4206.666564,4125.128104,4108.717848,4125.128104,4089.230669,4195.897333,4130.256309,4228.205025,4188.717846,4023.076825,4139.999899,4107.179387,4155.384514,4225.640922
105,0,4236.922973,4130.76913,4106.153746,4114.358874,4052.820414,4188.717846,4110.25631,4214.358871,4180.512718,4033.333235,4130.256309,4099.487079,4154.358873,4255.897332
106,0,4269.230665,4136.410155,4102.564002,4106.666566,4047.179388,4173.846052,4098.461438,4201.025538,4170.256308,4038.46144,4132.820412,4098.461438,4155.897334,4288.205023
107,0,4297.435792,4147.692206,4098.461438,4103.589643,4029.743491,4145.128104,4072.820413,4180.512718,4140.512719,3997.94862,4110.76913,4092.307592,4148.717847,4313.333228
108,0,4329.743484,4175.384513,4111.794771,4113.846053,4001.025543,4136.922976,4057.948619,4174.871693,4130.256309,3966.66657,4099.9999,4094.871695,4143.589642,4341.025535
109,0,4321.538356,4158.974257,4092.820413,4098.974259,3986.153749,4126.666566,4044.102465,4163.076821,4121.02554,3950.256314,4089.74349,4073.846054,4109.743489,4325.64092
110,0,4289.230664,4119.487079,4049.743491,4067.692208,3991.281954,4105.640925,4023.076825,4140.512719,4095.384515,3916.410161,4050.256311,4031.794773,4064.615285,4276.922972
111,0,4282.563998,4117.435797,4041.025542,4061.025542,3998.461441,4100.51272,4014.358876,4133.846053,4086.666567,3892.307597,4024.102466,4016.922979,4048.71785,4256.410152
112,0,4285.640921,4135.384514,4055.897337,4072.307593,3996.410159,4112.820412,4025.640927,4139.999899,4093.846054,3899.487084,4035.384517,4025.128107,4043.076824,4255.897332
113,0,4247.692204,4115.897335,4031.794773,4055.384516,3973.846057,4103.589643,4012.820415,4125.128104,4073.333234,3882.051187,4019.487081,3999.487082,4007.179389,4213.33323
114,0,4186.153744,4067.179388,3982.051185,4009.230671,3940.512724,4074.871695,3976.410159,4099.9999,4045.640927,3839.487086,3969.743493,3951.281955,3961.538365,4143.589642
