title:A                                                                               , recorded:02.07.20 13.06.00, sampling:128, subject:S                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 ,, units:emotiv,,,,,,,,,
41,0,4288.205023,4417.435789,4243.58964,4247.692204,4248.717845,4229.230666,4215.384512,4239.999896,4256.922973,4184.102462,4230.769127,4174.871693,4246.666563,4253.84605
42,0,4288.717844,4414.358866,4252.307588,4249.230665,4215.384512,4237.948614,4215.384512,4246.153742,4259.999896,4174.358872,4226.666563,4173.846052,4241.538358,4250.256306
43,0,4284.61528,4403.076815,4254.35887,4245.128101,4205.640923,4223.58964,4218.974256,4233.33323,4225.128102,4163.076821,4226.153743,4170.769129,4236.922973,4244.615281
44,0,4273.846049,4383.076816,4235.384512,4233.84605,4226.153743,4193.333231,4216.922974,4217.435794,4210.256307,4152.307591,4224.615281,4162.564001,4235.384512,4236.410153
45,0,4268.717844,4378.974252,4229.230666,4234.871691,4235.897332,4196.922974,4216.922974,4228.205025,4252.820409,4151.28195,4218.461435,4156.410155,4232.307589,4234.358871
46,0,4258.461434,4371.794765,4233.33323,4234.871691,4221.025538,4172.820411,4214.871692,4230.256307,4263.076819,4143.589642,4202.051179,4142.051181,4212.82041,4220.512717
47,0,4254.871691,4364.102457,4235.384512,4234.871691,4213.33323,4178.461436,4213.33323,4227.179384,4243.58964,4147.179386,4208.717846,4145.640924,4214.871692,4221.025538
48,0,4271.281947,4376.92297,4250.769127,4248.205024,4216.410153,4259.999896,4237.435794,4249.230665,4265.128101,4178.974257,4239.487076,4177.435795,4251.794768,4251.794768
49,0,4275.384511,4375.897329,4260.512716,4251.794768,4220.512717,4250.769127,4255.384511,4257.948614,4266.666562,4188.717846,4238.461435,4179.999898,4254.35887,4257.948614
50,0,4261.025537,4352.307586,4246.666563,4239.487076,4230.256307,4173.333231,4227.179384,4231.794768,4224.615281,4159.999898,4215.384512,4153.846052,4218.461435,4231.281948
51,0,4253.84605,4349.230663,4233.33323,4232.820409,4234.871691,4174.358872,4197.435795,4212.307589,4219.999897,4147.179386,4214.358871,4148.205027,4212.82041,4224.102461
52,0,4262.563998,4358.461432,4241.538358,4238.974255,4224.102461,4201.025538,4212.307589,4215.384512,4242.563999,4152.307591,4224.102461,4162.05118,4228.717845,4238.461435
53,0,4261.538357,4348.717842,4245.128101,4241.025537,4224.615281,4205.128102,4231.281948,4225.128102,4247.692204,4150.256309,4214.871692,4162.05118,4223.58964,4234.871691
54,0,4255.897332,4336.41015,4238.461435,4234.871691,4238.974255,4229.743486,4220.512717,4234.871691,4247.692204,4161.025539,4208.717846,4162.05118,4216.922974,4228.205025
55,0,4253.333229,4336.41015,4237.948614,4229.743486,4225.128102,4231.794768,4208.717846,4229.743486,4244.10246,4165.640924,4216.410153,4163.589642,4220.512717,4236.410153
56,0,4252.820409,4328.717843,4238.461435,4230.769127,4197.948615,4208.205025,4214.358871,4214.871692,4243.58964,4150.769129,4216.922974,4156.410155,4217.435794,4236.922973
57,0,4243.076819,4314.871689,4235.897332,4235.384512,4197.948615,4212.307589,4215.384512,4212.82041,4252.820409,4158.974257,4207.692205,4154.871693,4214.871692,4225.128102
58,0,4239.487076,4308.205023,4232.820409,4233.84605,4211.281948,4179.487077,4202.564,4219.999897,4247.692204,4176.410154,4205.128102,4157.435796,4217.435794,4226.666563
59,0,4247.692204,4304.615279,4226.666563,4222.051179,4211.794769,4139.999899,4197.948615,4216.922974,4238.461435,4166.666565,4205.640923,4150.256309,4217.435794,4238.974255
60,0,4278.461434,4316.922971,4243.076819,4228.717845,4217.435794,4212.82041,4221.025538,4227.179384,4259.487075,4173.846052,4224.102461,4167.179385,4242.051178,4271.281947
61,0,4304.615279,4328.717843,4265.128101,4249.230665,4231.794768,4246.153742,4241.025537,4238.461435,4263.076819,4193.333231,4238.974255,4192.82041,4265.128101,4305.64092
62,0,4308.205023,4314.358869,4260.512716,4247.692204,4214.358871,4168.717847,4233.33323,4221.538358,4229.743486,4177.948616,4227.179384,4184.102462,4251.281947,4309.230664
63,0,4322.563997,4314.358869,4263.076819,4246.666563,4188.717846,4186.153744,4228.717845,4215.897333,4225.128102,4166.666565,4228.717845,4182.05118,4247.692204,4321.538356
64,0,4353.333227,4345.128099,4288.205023,4267.179383,4205.128102,4289.230664,4234.358871,4236.922973,4255.897332,4183.076821,4252.307588,4205.128102,4275.384511,4355.897329
65,0,4350.256304,4344.102458,4284.102459,4261.025537,4226.666563,4262.051178,4225.128102,4235.384512,4257.435793,4188.717846,4245.128101,4199.999897,4273.846049,4354.358868
