title:A                                                                               , recorded:02.07.20 13.28.07, sampling:128, subject:S                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
39,0,4224.102461,4215.384512,4252.307588,4225.640922,4227.179384,4262.563998,4232.307589,4362.563996,3806.153753,4199.999897,4210.769128,4252.820409,4217.948615,4232.820409
40,0,4214.358871,4212.307589,4244.10246,4223.58964,4225.640922,4256.410152,4226.153743,4354.871688,3771.281959,4199.487077,4208.717846,4253.333229,4217.948615,4225.640922
41,0,4208.717846,4185.640923,4236.922973,4225.640922,4203.07682,4218.461435,4214.871692,4348.717842,3733.333242,4185.128103,4202.564,4246.666563,4210.769128,4217.948615
42,0,4202.051179,4167.179385,4225.128102,4218.974256,4182.564,4187.692205,4202.051179,4334.871689,3638.461449,4159.487078,4190.256308,4237.435794,4189.230667,4198.461436
43,0,4196.410154,4173.846052,4221.538358,4211.281948,4186.153744,4188.717846,4201.538359,4326.15374,3552.820426,4153.846052,4184.615282,4231.281948,4178.974257,4184.102462
44,0,4206.153743,4181.538359,4232.307589,4222.051179,4194.358872,4201.538359,4211.794769,4334.358868,3517.948632,4164.615283,4190.256308,4234.871691,4193.333231,4195.897333
45,0,4213.846051,4182.564,4232.307589,4230.769127,4194.358872,4206.153743,4218.461435,4337.948612,3452.307608,4168.205026,4193.846051,4241.538358,4199.999897,4216.410153
46,0,4204.615282,4173.333231,4221.538358,4215.897333,4189.230667,4203.589641,4215.384512,4328.205022,3409.230686,4163.589642,4189.743487,4240.512717,4188.717846,4208.205025
47,0,4195.384513,4157.948616,4222.563999,4210.769128,4189.230667,4191.281949,4209.230666,4324.102458,3506.15376,4166.666565,4190.769128,4238.461435,4187.692205,4188.205026
48,0,4201.538359,4143.589642,4230.256307,4223.07682,4186.666564,4178.461436,4204.102461,4321.025535,3593.333245,4159.487078,4190.769128,4241.025537,4192.30759,4193.846051
49,0,4199.999897,4144.102463,4222.051179,4221.538358,4183.076821,4175.384513,4206.153743,4312.307587,3554.358887,4151.79477,4184.615282,4239.487076,4188.205026,4208.205025
50,0,4197.435795,4153.846052,4212.82041,4215.384512,4181.538359,4177.948616,4207.692205,4310.256305,3570.769143,4159.999898,4179.999898,4237.948614,4185.128103,4200.512718
