title:JTA                                                                             , recorded:03.07.20 12.26.13, sampling:128, subject:JTA                                                                             , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
105,0,4222.563999,4215.384512,4222.051179,4217.435794,4211.794769,4201.538359,4218.974256,4211.281948,4218.461435,4230.769127,4232.307589,4208.205025,4233.33323,4222.051179
106,0,4219.487076,4228.717845,4215.897333,4218.974256,4251.794768,4204.102461,4215.384512,4198.461436,4198.974256,4253.333229,4224.615281,4201.025538,4230.769127,4219.487076
107,0,4214.358871,4224.102461,4212.307589,4216.410153,4222.563999,4219.999897,4213.33323,4199.487077,4208.205025,4235.897332,4221.538358,4200.512718,4231.794768,4215.384512
108,0,4204.102461,4204.615282,4207.692205,4212.82041,4196.410154,4218.461435,4212.82041,4204.102461,4219.999897,4220.512717,4223.58964,4199.487077,4225.640922,4206.666564
109,0,4200.512718,4203.589641,4206.666564,4209.743487,4218.461435,4211.281948,4212.82041,4200.512718,4215.384512,4192.82041,4223.07682,4198.974256,4226.153743,4206.666564
110,0,4215.897333,4223.58964,4215.384512,4215.897333,4230.256307,4210.769128,4215.384512,4202.051179,4207.179384,4183.589641,4228.205025,4203.589641,4238.461435,4217.948615
111,0,4220.512717,4222.051179,4220.512717,4217.948615,4212.307589,4212.82041,4217.948615,4209.743487,4202.051179,4225.640922,4231.281948,4204.102461,4240.512717,4218.974256
112,0,4201.025538,4198.974256,4210.769128,4204.615282,4213.33323,4216.922974,4218.461435,4206.666564,4199.999897,4244.615281,4215.384512,4196.410154,4220.512717,4199.999897
113,0,4198.461436,4198.974256,4208.717846,4201.538359,4220.512717,4213.846051,4214.871692,4199.487077,4208.205025,4221.538358,4212.307589,4195.897333,4213.33323,4196.410154
114,0,4215.384512,4219.487076,4215.384512,4214.871692,4219.999897,4208.205025,4212.82041,4201.025538,4213.846051,4196.410154,4228.205025,4202.051179,4229.230666,4215.384512
115,0,4219.487076,4224.615281,4215.897333,4218.461435,4231.281948,4219.487076,4212.307589,4202.051179,4214.871692,4181.538359,4225.640922,4202.051179,4227.692204,4216.922974
116,0,4214.871692,4214.358871,4213.846051,4212.82041,4206.153743,4224.102461,4206.153743,4196.410154,4214.871692,4180.512718,4210.769128,4198.974256,4215.384512,4205.640923
117,0,4215.384512,4220.512717,4215.384512,4215.384512,4173.846052,4203.589641,4207.179384,4206.153743,4215.897333,4210.256307,4219.487076,4204.615282,4226.666563,4211.281948
118,0,4216.410153,4236.922973,4217.435794,4219.999897,4204.102461,4196.410154,4214.358871,4220.512717,4217.435794,4233.33323,4233.84605,4214.358871,4233.84605,4221.538358
119,0,4217.948615,4231.281948,4217.435794,4218.974256,4251.281947,4212.82041,4217.435794,4211.281948,4216.922974,4228.717845,4227.179384,4215.384512,4221.025538,4218.974256
120,0,4212.307589,4214.871692,4211.794769,4213.846051,4235.897332,4218.461435,4212.82041,4194.871692,4216.922974,4224.615281,4215.384512,4204.102461,4212.307589,4211.281948
121,0,4199.487077,4212.307589,4201.538359,4209.230666,4201.025538,4214.358871,4207.179384,4193.846051,4212.307589,4199.487077,4213.846051,4192.82041,4210.256307,4201.025538
122,0,4203.07682,4226.153743,4200.512718,4212.82041,4196.410154,4214.358871,4206.666564,4197.948615,4209.230666,4181.025539,4213.33323,4190.256308,4209.230666,4195.897333
123,0,4216.410153,4232.307589,4205.640923,4218.974256,4192.30759,4208.717846,4210.256307,4198.461436,4215.897333,4214.358871,4214.871692,4196.922974,4213.33323,4206.153743
124,0,4211.281948,4222.563999,4202.564,4212.82041,4208.717846,4207.692205,4212.307589,4201.025538,4217.435794,4236.410153,4224.615281,4199.999897,4217.435794,4210.769128
125,0,4199.487077,4213.846051,4198.461436,4202.564,4238.974255,4213.846051,4211.281948,4200.512718,4206.153743,4215.897333,4226.153743,4192.30759,4214.358871,4202.564
