title:JTA                                                                             , recorded:03.07.20 14.06.15, sampling:128, subject:JTA                                                                             , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
32,0,4182.564,4154.358873,4227.692204,4149.230668,4211.281948,4202.051179,4198.974256,4196.922974,4200.512718,4184.615282,4193.846051,4174.871693,4191.281949,4141.53836
33,0,4184.102462,4158.461437,4230.256307,4156.410155,4210.256307,4201.025538,4204.102461,4200.512718,4207.692205,4208.205025,4201.538359,4186.666564,4201.025538,4159.487078
34,0,4186.666564,4170.256308,4241.538358,4174.358872,4220.512717,4208.717846,4208.205025,4210.256307,4218.461435,4220.512717,4207.692205,4188.205026,4206.153743,4193.846051
35,0,4187.179385,4169.743488,4239.487076,4185.640923,4232.820409,4217.435794,4209.743487,4216.410153,4224.102461,4210.769128,4212.82041,4185.128103,4208.205025,4196.922974
36,0,4194.358872,4169.230667,4221.025538,4187.179385,4229.230666,4212.82041,4211.794769,4217.948615,4221.538358,4203.07682,4217.948615,4183.076821,4219.487076,4182.05118
37,0,4203.589641,4177.948616,4214.358871,4185.640923,4222.563999,4210.769128,4217.435794,4217.435794,4218.974256,4224.615281,4218.974256,4184.615282,4222.051179,4182.05118
38,0,4203.07682,4171.79477,4218.974256,4183.589641,4218.974256,4214.358871,4214.871692,4212.82041,4218.974256,4241.538358,4215.384512,4185.128103,4211.794769,4178.461436
39,0,4195.384513,4166.153744,4215.897333,4193.333231,4217.948615,4211.281948,4202.051179,4207.179384,4214.871692,4223.58964,4200.512718,4183.589641,4197.948615,4169.230667
40,0,4188.205026,4181.025539,4216.922974,4201.538359,4223.07682,4212.82041,4202.564,4210.256307,4213.33323,4206.153743,4201.538359,4184.615282,4195.384513,4178.461436
41,0,4185.128103,4188.205026,4220.512717,4198.461436,4218.974256,4217.948615,4215.897333,4215.897333,4216.922974,4216.410153,4213.33323,4185.640923,4207.179384,4186.153744
42,0,4194.358872,4183.589641,4217.435794,4205.640923,4220.512717,4214.871692,4216.922974,4215.897333,4224.102461,4228.205025,4213.33323,4186.153744,4218.974256,4183.589641
43,0,4215.384512,4193.333231,4223.58964,4219.487076,4251.794768,4216.410153,4213.33323,4221.538358,4229.230666,4224.102461,4212.82041,4197.948615,4219.487076,4189.230667
44,0,4221.538358,4202.051179,4237.435794,4222.563999,4266.153742,4228.717845,4225.128102,4230.256307,4231.281948,4214.358871,4215.897333,4210.769128,4214.871692,4188.205026
45,0,4210.256307,4190.769128,4234.871691,4219.487076,4243.076819,4236.410153,4234.871691,4234.871691,4234.871691,4218.974256,4226.153743,4204.102461,4221.025538,4184.615282
46,0,4196.922974,4174.871693,4216.922974,4210.256307,4229.743486,4222.563999,4224.102461,4229.230666,4232.307589,4230.769127,4226.666563,4186.153744,4218.974256,4187.692205
47,0,4189.230667,4183.076821,4210.256307,4200.512718,4230.769127,4210.256307,4211.281948,4216.922974,4221.538358,4232.820409,4202.564,4179.999898,4198.974256,4179.487077
48,0,4187.179385,4197.948615,4219.999897,4210.769128,4232.307589,4223.07682,4222.563999,4215.897333,4221.025538,4230.769127,4198.461436,4184.615282,4194.358872,4165.128103
49,0,4184.615282,4191.794769,4225.128102,4216.922974,4234.871691,4229.743486,4233.33323,4221.025538,4227.692204,4225.640922,4213.33323,4183.589641,4205.640923,4164.615283
50,0,4190.256308,4188.205026,4229.230666,4205.128102,4229.743486,4217.435794,4222.563999,4218.461435,4224.615281,4216.410153,4207.692205,4187.692205,4203.589641,4179.999898
