title:JTA                                                                             , recorded:03.07.20 14.15.49, sampling:128, subject:JTA                                                                             , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
109,0,4196.922974,4196.410154,4195.384513,4188.205026,4213.846051,4200.512718,4196.922974,4213.846051,4201.025538,4202.051179,4201.538359,4181.538359,4216.922974,4199.487077
110,0,4205.640923,4202.564,4203.07682,4198.974256,4224.615281,4204.102461,4198.974256,4215.897333,4205.640923,4208.717846,4206.666564,4185.128103,4220.512717,4203.589641
111,0,4200.512718,4196.922974,4196.922974,4196.410154,4226.153743,4203.07682,4198.974256,4208.717846,4203.07682,4206.666564,4198.461436,4181.538359,4217.435794,4201.538359
112,0,4200.512718,4200.512718,4197.948615,4201.025538,4211.794769,4201.025538,4198.461436,4210.769128,4199.487077,4199.487077,4195.897333,4181.538359,4215.897333,4206.666564
113,0,4207.179384,4204.102461,4211.281948,4215.384512,4209.230666,4203.589641,4202.051179,4217.948615,4201.538359,4193.846051,4206.153743,4187.179385,4218.461435,4213.33323
114,0,4205.128102,4201.025538,4211.281948,4211.281948,4228.717845,4204.615282,4204.102461,4217.435794,4202.564,4195.897333,4208.717846,4190.256308,4218.461435,4206.153743
115,0,4197.435795,4198.461436,4199.487077,4196.410154,4234.871691,4201.538359,4198.461436,4214.871692,4198.974256,4195.897333,4199.999897,4184.102462,4213.846051,4198.974256
116,0,4196.410154,4197.948615,4196.410154,4194.871692,4218.974256,4198.974256,4193.846051,4213.33323,4199.487077,4199.999897,4196.922974,4177.435795,4211.281948,4199.999897
117,0,4199.487077,4201.025538,4200.512718,4201.025538,4210.256307,4201.025538,4199.999897,4214.871692,4206.666564,4208.717846,4206.666564,4182.05118,4216.410153,4201.538359
118,0,4198.974256,4199.487077,4201.538359,4197.948615,4213.846051,4199.999897,4204.102461,4219.487076,4210.769128,4207.692205,4213.33323,4188.717846,4222.051179,4204.102461
119,0,4197.948615,4189.743487,4199.487077,4187.179385,4209.230666,4193.846051,4198.461436,4212.307589,4199.487077,4202.051179,4206.153743,4184.615282,4218.461435,4203.589641
120,0,4197.948615,4187.179385,4198.974256,4184.615282,4214.871692,4193.333231,4194.871692,4202.051179,4188.205026,4197.435795,4196.410154,4181.025539,4212.82041,4198.974256
121,0,4198.461436,4196.922974,4199.999897,4189.743487,4229.230666,4197.435795,4197.948615,4207.692205,4193.846051,4189.230667,4197.948615,4185.128103,4214.871692,4201.025538
122,0,4199.999897,4200.512718,4202.564,4191.794769,4218.461435,4195.384513,4198.974256,4214.871692,4201.538359,4184.615282,4204.615282,4185.128103,4219.999897,4205.128102
123,0,4201.025538,4198.974256,4201.025538,4191.794769,4211.281948,4194.871692,4197.948615,4213.33323,4198.461436,4197.435795,4209.743487,4189.230667,4218.461435,4207.692205
124,0,4200.512718,4201.025538,4201.025538,4201.538359,4220.512717,4200.512718,4199.999897,4214.358871,4198.974256,4207.692205,4210.769128,4197.435795,4215.384512,4213.33323
125,0,4202.564,4203.589641,4204.615282,4210.769128,4213.846051,4204.102461,4200.512718,4214.358871,4202.051179,4198.461436,4206.153743,4192.82041,4220.512717,4216.410153
126,0,4200.512718,4203.07682,4202.051179,4207.179384,4217.948615,4202.564,4201.025538,4210.256307,4199.999897,4190.256308,4197.435795,4182.564,4214.871692,4206.666564
