title:V                                                                               , recorded:06.07.20 13.57.02, sampling:128, subject:B                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
126,0,4179.999898,4187.692205,4199.487077,4151.28195,4210.256307,4215.897333,4202.564,4203.589641,4195.897333,4160.512719,4183.589641,4163.589642,4178.461436,4175.384513
127,0,4199.487077,4192.30759,4209.230666,4175.897334,4196.410154,4217.948615,4208.717846,4213.33323,4203.589641,4189.743487,4197.948615,4181.025539,4203.589641,4187.179385
128,0,4230.256307,4207.179384,4217.435794,4211.281948,4193.333231,4221.538358,4211.794769,4222.051179,4216.410153,4229.743486,4216.410153,4185.640923,4235.384512,4216.922974
0,0,4252.307588,4217.435794,4220.512717,4220.512717,4211.794769,4228.717845,4208.205025,4224.102461,4218.461435,4211.794769,4230.769127,4184.615282,4244.10246,4244.10246
1,0,4245.128101,4218.974256,4222.563999,4216.410153,4222.051179,4234.871691,4212.82041,4231.794768,4221.025538,4209.743487,4238.461435,4198.974256,4256.410152,4267.692203
2,0,4218.974256,4212.307589,4222.563999,4216.410153,4206.666564,4224.102461,4215.384512,4234.871691,4222.051179,4249.743486,4235.384512,4201.538359,4257.948614,4264.10246
3,0,4218.461435,4206.153743,4217.435794,4217.435794,4197.948615,4215.384512,4202.564,4220.512717,4211.281948,4240.512717,4230.256307,4187.179385,4240.512717,4245.128101
4,0,4246.153742,4211.794769,4218.461435,4217.435794,4213.846051,4222.051179,4195.897333,4209.743487,4208.717846,4195.897333,4234.358871,4190.769128,4236.922973,4243.076819
5,0,4253.333229,4217.948615,4224.615281,4219.487076,4217.435794,4221.538358,4206.666564,4215.384512,4219.999897,4195.384513,4237.948614,4204.102461,4246.153742,4245.128101
6,0,4235.384512,4212.307589,4229.230666,4224.615281,4205.640923,4212.82041,4206.153743,4219.999897,4221.025538,4207.692205,4227.179384,4204.615282,4240.512717,4234.871691
7,0,4218.461435,4206.153743,4226.153743,4226.153743,4209.230666,4211.281948,4194.871692,4210.769128,4213.846051,4211.794769,4216.410153,4198.461436,4232.307589,4231.281948
8,0,4217.435794,4210.256307,4227.692204,4227.179384,4212.307589,4216.410153,4198.461436,4208.205025,4209.743487,4211.794769,4220.512717,4196.922974,4234.358871,4244.10246
9,0,4228.717845,4215.384512,4234.871691,4232.820409,4194.871692,4217.435794,4206.666564,4215.384512,4206.666564,4191.281949,4232.820409,4197.948615,4233.84605,4253.84605
10,0,4233.84605,4212.307589,4228.205025,4232.820409,4192.30759,4211.794769,4204.102461,4216.410153,4208.717846,4197.435795,4229.743486,4192.82041,4227.179384,4247.179383
11,0,4234.358871,4206.153743,4216.410153,4219.999897,4206.153743,4209.230666,4201.538359,4209.230666,4214.871692,4231.794768,4213.846051,4182.564,4229.230666,4227.692204
12,0,4246.153742,4208.205025,4213.33323,4213.846051,4208.717846,4217.948615,4206.153743,4213.33323,4221.538358,4234.358871,4218.974256,4181.538359,4237.435794,4219.487076
13,0,4243.58964,4214.358871,4217.948615,4219.487076,4209.743487,4227.179384,4207.692205,4222.051179,4224.615281,4212.82041,4232.820409,4188.717846,4232.820409,4225.128102
