title:V                                                                               , recorded:07.07.20 11.06.42, sampling:128, subject:B                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 ,, units:emotiv,,,,,,,,,
32,0,4196.410154,4230.256307,4204.102461,4232.307589,4237.948614,4233.33323,4229.743486,4215.384512,4442.563994,4232.307589,4172.820411,4237.435794,4214.871692,3575.384528
33,0,4196.922974,4231.281948,4212.307589,4229.743486,4231.281948,4230.256307,4229.230666,4215.897333,4444.615276,4235.384512,4173.333231,4240.512717,4218.974256,3578.461451
34,0,4200.512718,4241.025537,4213.33323,4231.281948,4232.820409,4231.794768,4229.230666,4217.435794,4443.589635,4243.076819,4173.333231,4241.538358,4221.025538,3583.589656
35,0,4210.769128,4248.717845,4213.33323,4236.410153,4242.051178,4232.820409,4230.769127,4217.435794,4443.076814,4247.692204,4173.333231,4242.051178,4222.051179,3592.820425
36,0,4214.358871,4246.666563,4214.871692,4231.281948,4236.922973,4228.717845,4227.692204,4214.358871,4443.076814,4238.974255,4169.743488,4237.948614,4217.948615,3591.794784
37,0,4211.281948,4246.153742,4216.922974,4226.666563,4230.769127,4224.102461,4226.153743,4216.922974,4441.538353,4231.794768,4173.846052,4238.461435,4216.922974,3588.717861
38,0,4219.487076,4250.769127,4225.128102,4232.820409,4242.051178,4227.692204,4232.307589,4228.205025,4442.563994,4235.384512,4185.128103,4247.179383,4226.666563,3597.435809
39,0,4230.769127,4251.794768,4230.256307,4234.871691,4248.717845,4235.384512,4235.384512,4234.358871,4446.666558,4236.922973,4184.102462,4250.769127,4230.769127,3603.589655
40,0,4223.58964,4248.717845,4221.025538,4229.743486,4242.051178,4232.820409,4232.307589,4229.743486,4445.640917,4235.897332,4170.769129,4246.153742,4219.487076,3594.358886
41,0,4213.33323,4242.563999,4214.871692,4228.717845,4246.153742,4232.307589,4234.358871,4230.769127,4444.615276,4240.512717,4170.769129,4244.615281,4214.871692,3586.666579
42,0,4213.846051,4234.871691,4216.922974,4222.051179,4250.256306,4237.435794,4235.897332,4235.897332,4451.794763,4240.512717,4176.922975,4248.205024,4218.974256,3590.769143
43,0,4209.743487,4233.33323,4213.846051,4215.897333,4242.051178,4233.84605,4230.769127,4230.256307,4458.97425,4233.33323,4170.256308,4244.615281,4210.256307,3587.69222
44,0,4208.205025,4236.410153,4213.33323,4222.563999,4242.051178,4230.256307,4230.769127,4226.153743,4458.461429,4231.794768,4167.179385,4236.922973,4205.128102,3583.589656
45,0,4213.33323,4236.410153,4219.487076,4222.563999,4249.230665,4235.384512,4234.871691,4228.205025,4456.410147,4235.384512,4169.230667,4238.461435,4210.769128,3587.179399
46,0,4214.871692,4236.922973,4218.461435,4215.384512,4248.717845,4235.384512,4233.33323,4228.205025,4456.922968,4234.871691,4165.640924,4245.640922,4213.33323,3590.769143
47,0,4215.384512,4243.076819,4215.897333,4222.563999,4244.615281,4234.871691,4232.820409,4230.769127,4458.97425,4230.256307,4169.743488,4247.179383,4214.358871,3596.922989
48,0,4219.999897,4249.230665,4218.461435,4232.307589,4247.692204,4238.461435,4235.897332,4235.897332,4461.538352,4234.358871,4178.974257,4246.153742,4217.948615,3607.179399
49,0,4220.512717,4247.179383,4219.999897,4226.666563,4251.281947,4237.435794,4234.871691,4234.358871,4461.538352,4245.128101,4177.948616,4244.10246,4211.794769,3606.666578
50,0,4211.281948,4239.999896,4214.358871,4222.563999,4247.692204,4232.820409,4231.794768,4230.769127,4459.48707,4243.58964,4185.128103,4242.051178,4206.153743,3598.974271
51,0,4214.871692,4242.563999,4214.358871,4228.717845,4248.205024,4234.871691,4233.33323,4233.33323,4461.538352,4240.512717,4207.692205,4247.692204,4214.871692,3608.20504
52,0,4229.743486,4251.281947,4226.666563,4233.33323,4251.794768,4237.948614,4236.410153,4234.358871,4463.076814,4244.10246,4221.025538,4253.333229,4221.538358,3622.564014
53,0,4230.256307,4248.717845,4233.33323,4231.794768,4249.743486,4235.384512,4235.384512,4232.307589,4461.025532,4239.999896,4222.563999,4249.230665,4217.435794,3622.051193
54,0,4223.07682,4240.512717,4230.769127,4228.717845,4243.076819,4233.33323,4231.794768,4231.794768,4459.48707,4231.794768,4229.743486,4244.615281,4212.307589,3619.999911
55,0,4224.102461,4241.538358,4229.743486,4229.743486,4242.051178,4233.84605,4231.281948,4232.820409,4462.051173,4233.33323,4239.999896,4248.717845,4210.256307,3626.666578
56,0,4229.230666,4247.179383,4233.33323,4231.281948,4248.205024,4234.358871,4234.871691,4234.358871,4465.128096,4233.84605,4247.692204,4257.948614,4211.794769,3633.333244
57,0,4227.692204,4247.179383,4234.358871,4231.794768,4249.743486,4232.307589,4233.84605,4232.307589,4462.563993,4229.230666,4251.794768,4255.384511,4210.256307,3634.358885
58,0,4230.256307,4246.153742,4235.897332,4233.33323,4249.230665,4232.307589,4232.307589,4230.769127,4464.102455,4231.281948,4257.948614,4249.230665,4209.230666,3636.922988
59,0,4235.897332,4248.717845,4238.974255,4235.384512,4250.256306,4235.384512,4233.33323,4231.281948,4472.307583,4233.84605,4263.589639,4255.384511,4213.33323,3639.999911
60,0,4235.384512,4247.692204,4236.922973,4233.33323,4248.717845,4233.33323,4232.820409,4228.717845,4471.794762,4232.820409,4265.640921,4256.922973,4211.794769,3639.48709
