title:V                                                                               , recorded:07.07.20 11.33.52, sampling:128, subject:B                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
110,0,4216.410153,4183.076821,4303.076818,4165.128103,4169.230667,4435.384507,4134.358873,4129.230668,4351.281945,4196.922974,4324.615279,4506.153736,4282.563998,4296.410151
111,0,4217.948615,4190.256308,4293.333228,4169.743488,4170.256308,4429.230661,4129.743489,4117.948617,4337.948612,4197.948615,4313.846048,4487.692198,4271.281947,4290.769126
112,0,4214.871692,4189.743487,4290.769126,4168.717847,4171.79477,4431.794763,4132.820412,4123.076822,4335.89733,4195.897333,4307.692202,4477.948608,4259.999896,4278.461434
113,0,4212.307589,4186.666564,4288.717844,4167.692206,4160.512719,4429.743481,4136.410155,4136.410155,4345.640919,4189.743487,4311.281946,4477.435788,4263.589639,4275.384511
114,0,4211.794769,4185.640923,4284.102459,4167.179385,4154.871693,4425.640917,4132.307591,4135.384514,4347.692201,4192.30759,4311.281946,4474.358865,4267.179383,4278.974254
115,0,4213.33323,4189.743487,4287.692203,4166.153744,4166.666565,4426.666558,4128.205027,4129.230668,4341.538355,4196.922974,4309.230664,4470.769121,4266.666562,4275.897331
116,0,4218.974256,4199.999897,4295.38451,4176.922975,4175.897334,4428.20502,4132.820412,4134.871694,4344.615278,4196.922974,4318.974253,4472.820403,4276.922972,4283.076818
117,0,4219.999897,4202.564,4296.410151,4182.564,4175.384513,4428.71784,4136.410155,4141.53836,4353.846047,4201.538359,4325.64092,4475.384506,4284.61528,4290.769126
118,0,4216.922974,4196.410154,4294.87169,4172.30759,4172.820411,4427.692199,4134.871694,4138.461437,4352.820406,4206.153743,4319.487074,4476.410147,4279.999895,4283.076818
119,0,4222.563999,4197.435795,4302.563997,4173.333231,4170.769129,4421.538353,4135.384514,4137.435796,4349.743483,4199.487077,4319.487074,4476.922967,4279.487075,4283.589639
120,0,4231.281948,4203.07682,4311.794766,4184.615282,4174.871693,4419.487071,4137.435796,4141.53836,4350.256304,4196.410154,4323.076817,4477.435788,4282.563998,4290.769126
121,0,4230.769127,4204.102461,4314.358869,4185.640923,4183.589641,4425.128097,4137.948617,4141.02554,4343.589637,4199.487077,4321.538356,4478.461429,4281.025536,4285.640921
122,0,4224.615281,4202.051179,4310.769125,4183.076821,4180.512718,4424.102456,4137.948617,4137.948617,4339.999894,4195.897333,4322.051176,4475.384506,4279.487075,4278.461434
123,0,4213.33323,4197.948615,4301.025536,4182.564,4167.692206,4413.333225,4136.410155,4135.897335,4340.512714,4188.205026,4319.999894,4462.563993,4279.487075,4274.87169
124,0,4203.589641,4188.205026,4291.794767,4173.846052,4165.640924,4409.743482,4134.871694,4134.358873,4331.281945,4182.05118,4309.743484,4447.179378,4274.87169,4263.589639
125,0,4208.717846,4185.640923,4292.820408,4169.743488,4181.025539,4419.999892,4137.435796,4134.871694,4325.64092,4182.05118,4305.64092,4443.076814,4267.692203,4261.025537
126,0,4210.256307,4186.153744,4294.358869,4171.281949,4186.153744,4425.640917,4141.02554,4139.487078,4333.846048,4185.128103,4308.205023,4442.051173,4264.61528,4260.512716
127,0,4199.487077,4181.538359,4288.205023,4167.692206,4174.358872,4416.922969,4138.461437,4139.487078,4335.89733,4187.179385,4304.102459,4432.307584,4264.10246,4246.666563
128,0,4204.615282,4192.30759,4286.153741,4170.256308,4174.871693,4410.769123,4134.358873,4134.871694,4327.692202,4179.999898,4297.435792,4426.666558,4261.025537,4247.179383
0,0,4221.538358,4209.743487,4292.307587,4183.076821,4187.692205,4414.871687,4135.897335,4134.871694,4324.102458,4171.281949,4294.358869,4429.230661,4259.999896,4257.948614
1,0,4222.051179,4207.692205,4290.769126,4186.153744,4184.102462,4414.358866,4137.948617,4133.846053,4326.15374,4168.205026,4295.38451,4423.589635,4263.076819,4253.84605
2,0,4212.82041,4197.948615,4281.025536,4174.871693,4172.820411,4408.20502,4135.897335,4124.102463,4325.128099,4158.461437,4293.333228,4411.281943,4258.461434,4243.58964
3,0,4213.33323,4199.487077,4283.076818,4174.358872,4176.922975,4410.769123,4134.871694,4121.02554,4324.102458,4153.846052,4290.769126,4407.179379,4251.281947,4246.666563
4,0,4224.102461,4209.743487,4294.87169,4187.179385,4186.153744,4415.384507,4138.974258,4130.76913,4324.615279,4165.640924,4297.435792,4415.897328,4257.435793,4258.461434
5,0,4235.897332,4216.410153,4297.948613,4192.30759,4186.666564,4410.256302,4139.487078,4135.897335,4326.666561,4168.717847,4302.563997,4424.102456,4267.179383,4266.153742
6,0,4230.256307,4211.281948,4293.333228,4186.666564,4182.05118,4404.102456,4136.922976,4136.922976,4327.179381,4156.410155,4297.435792,4416.410148,4265.128101,4265.128101
7,0,4215.897333,4201.538359,4285.1281,4183.589641,4176.922975,4404.615277,4137.948617,4134.871694,4323.589638,4154.358873,4291.281946,4402.563995,4259.999896,4256.922973
8,0,4213.33323,4201.025538,4276.922972,4183.076821,4167.179385,4404.102456,4136.922976,4129.230668,4321.538356,4162.564001,4291.794767,4397.43579,4259.999896,4254.35887
9,0,4214.871692,4203.07682,4276.922972,4182.564,4172.30759,4405.640918,4134.871694,4131.28195,4324.102458,4165.640924,4293.846049,4398.461431,4263.076819,4257.948614
10,0,4215.897333,4205.640923,4282.563998,4185.640923,4195.897333,4413.333225,4136.922976,4139.487078,4329.743484,4172.30759,4294.87169,4398.974251,4264.10246,4259.999896
11,0,4214.358871,4204.102461,4279.487075,4185.640923,4199.999897,4416.410148,4141.02554,4139.487078,4327.179381,4169.230667,4294.87169,4392.820405,4259.487075,4256.922973
12,0,4210.769128,4198.461436,4275.384511,4182.564,4183.589641,4409.230661,4138.974258,4133.846053,4316.922971,4155.897334,4294.358869,4387.6922,4256.410152,4256.410152
13,0,4212.307589,4208.205025,4284.102459,4187.179385,4181.538359,4409.230661,4137.435796,4135.897335,4318.461433,4164.102462,4295.38451,4394.871687,4258.974255,4263.589639
14,0,4217.435794,4217.435794,4294.87169,4194.871692,4190.769128,4414.871687,4141.53836,4141.53836,4326.666561,4173.333231,4293.333228,4399.999892,4262.051178,4266.666562
15,0,4216.410153,4206.666564,4295.897331,4191.281949,4185.640923,4410.769123,4142.564001,4139.487078,4317.948612,4158.974257,4290.769126,4390.769123,4261.025537,4262.563998
