title:V                                                                               , recorded:07.07.20 12.15.39, sampling:128, subject:B                                                                               , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,, units:emotiv,,,,,,,,,
101,0,4249.743486,4193.333231,4230.769127,4082.051182,4199.999897,4233.84605,4219.999897,4222.563999,4219.999897,4244.615281,4202.051179,4217.435794,4162.564001,4218.461435
102,0,4226.153743,4181.025539,4228.205025,4087.179387,4191.794769,4233.33323,4221.025538,4219.999897,4214.358871,4227.179384,4201.538359,4215.384512,4151.28195,4205.640923
103,0,4230.256307,4179.487077,4219.487076,4075.897336,4194.358872,4232.820409,4223.58964,4218.974256,4221.538358,4226.153743,4196.410154,4205.640923,4149.230668,4197.948615
104,0,4232.820409,4184.102462,4216.922974,4068.717849,4197.948615,4230.256307,4222.563999,4219.999897,4226.153743,4244.10246,4190.256308,4202.051179,4153.333232,4191.794769
105,0,4213.33323,4182.564,4215.897333,4075.897336,4196.922974,4231.281948,4215.897333,4214.358871,4218.974256,4248.717845,4186.153744,4201.025538,4149.230668,4186.153744
106,0,4198.974256,4182.564,4214.358871,4076.410157,4190.256308,4231.794768,4215.897333,4204.102461,4214.358871,4237.435794,4184.102462,4201.538359,4141.53836,4183.076821
107,0,4208.205025,4185.640923,4216.410153,4074.358875,4188.205026,4229.743486,4225.128102,4205.640923,4217.435794,4230.256307,4184.102462,4207.179384,4142.564001,4185.128103
108,0,4212.82041,4186.153744,4219.487076,4083.589644,4193.333231,4230.256307,4231.281948,4214.871692,4217.948615,4232.820409,4185.640923,4210.256307,4142.051181,4186.153744
109,0,4209.230666,4187.692205,4221.025538,4085.128105,4197.948615,4235.897332,4233.84605,4219.999897,4218.461435,4239.487076,4185.640923,4208.205025,4138.461437,4179.487077
110,0,4208.717846,4182.564,4215.384512,4074.871695,4195.897333,4235.384512,4230.256307,4214.358871,4219.999897,4240.512717,4179.487077,4198.461436,4137.435796,4169.230667
111,0,4202.564,4171.79477,4206.153743,4067.692208,4185.640923,4222.051179,4219.487076,4204.102461,4210.769128,4223.58964,4167.692206,4187.179385,4134.358873,4163.076821
112,0,4190.256308,4166.666565,4206.153743,4065.128106,4176.922975,4216.922974,4215.897333,4200.512718,4203.07682,4210.769128,4157.948616,4188.717846,4122.051181,4154.871693
113,0,4181.025539,4168.717847,4213.846051,4060.512721,4180.512718,4227.179384,4225.128102,4210.769128,4216.922974,4232.820409,4162.564001,4199.487077,4118.974258,4151.28195
114,0,4179.487077,4173.333231,4214.358871,4056.922978,4189.230667,4230.769127,4231.794768,4223.07682,4234.358871,4255.384511,4178.974257,4203.07682,4134.871694,4160.512719
115,0,4193.846051,4181.025539,4212.307589,4067.179388,4188.717846,4225.128102,4229.230666,4222.051179,4232.307589,4247.692204,4186.153744,4196.922974,4145.128104,4168.717847
116,0,4203.589641,4187.692205,4216.922974,4078.974259,4188.205026,4227.692204,4231.281948,4219.999897,4228.717845,4246.666563,4188.205026,4202.051179,4147.179386,4171.79477
117,0,4186.666564,4181.538359,4217.435794,4074.871695,4192.82041,4231.281948,4232.820409,4218.974256,4230.769127,4252.307588,4188.205026,4208.717846,4145.128104,4170.769129
118,0,4186.153744,4172.30759,4212.82041,4068.717849,4189.230667,4227.692204,4228.205025,4216.410153,4229.230666,4241.025537,4181.538359,4203.589641,4141.02554,4167.179385
119,0,4204.615282,4175.384513,4214.871692,4074.871695,4185.128103,4229.743486,4231.281948,4218.461435,4232.307589,4241.538358,4180.512718,4205.640923,4144.102463,4169.230667
120,0,4193.846051,4176.410154,4218.461435,4074.358875,4187.179385,4229.743486,4230.256307,4219.999897,4227.179384,4250.256306,4187.179385,4213.846051,4145.128104,4168.717847
121,0,4172.820411,4166.666565,4214.871692,4064.102465,4183.589641,4223.58964,4221.025538,4212.82041,4215.384512,4237.435794,4183.076821,4210.769128,4138.461437,4161.025539
122,0,4184.102462,4170.769129,4213.33323,4066.153747,4181.538359,4225.128102,4222.051179,4213.846051,4223.07682,4238.461435,4183.076821,4210.256307,4143.076822,4166.153744
123,0,4203.07682,4187.179385,4224.615281,4077.948618,4192.82041,4231.794768,4232.820409,4225.640922,4235.897332,4263.076819,4195.384513,4223.58964,4158.461437,4183.589641
124,0,4201.538359,4190.769128,4231.794768,4081.538362,4200.512718,4233.84605,4234.358871,4225.640922,4233.33323,4259.999896,4195.897333,4224.615281,4158.974257,4183.589641
125,0,4197.435795,4183.076821,4223.58964,4075.384516,4196.410154,4231.794768,4230.256307,4221.538358,4230.769127,4246.153742,4190.256308,4217.435794,4151.28195,4176.922975
126,0,4198.461436,4179.487077,4217.435794,4072.820413,4191.794769,4230.769127,4231.281948,4224.615281,4234.871691,4253.84605,4190.769128,4222.051179,4152.820411,4178.974257
