"hhtyp,incgrp,unit,geo\time",2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
"TOTAL,A_MD60,PC,AT",2.3 ,1.8 ,2.8 ,3.3 ,1.7 ,2.8 b,2.1 ,2.9 ,1.7 ,2.4 ,1.8 ,2.5 ,1.7 ,1.7 ,1.2 ,1.1 ,: 
"TOTAL,A_MD60,PC,BE",4.9 ,5.8 ,11.5 ,11.7 ,11.3 ,4.6 ,3.5 ,3.8 ,4.6 ,4.4 ,3.6 ,3.0 ,3.5 ,2.7 ,3.0 ,2.6 ,: 
"TOTAL,A_MD60,PC,BG",: ,: ,67.3 ,67.3 ,63.3 ,62.2 ,59.7 ,62.1 ,39.8 ,40.2 ,38.3 ,33.4 b,31.5 ,32.5 b,29.4 ,27.4 ,: 
"TOTAL,A_MD60,PC,CH",: ,: ,: ,: ,6.5 ,6.7 ,7.0 ,6.7 ,0.6 ,0.3 ,0.3 ,0.3 b,0.6 ,0.4 ,0.3 ,0.4 ,: 
"TOTAL,A_MD60,PC,CY",: ,: ,30.4 ,29.7 ,29.4 ,25.7 b,18.7 ,25.0 ,23.2 ,27.2 ,26.8 ,24.1 ,24.2 ,19.5 ,18.4 ,17.6 ,: 
"TOTAL,A_MD60,PC,CZ",: ,: ,8.2 ,7.7 ,5.0 ,5.0 ,4.5 ,4.6 ,5.6 ,5.7 ,5.4 ,5.1 ,4.1 ,2.8 ,2.5 ,2.0 ,: 
"TOTAL,A_MD60,PC,DE",: ,: ,3.3 ,4.2 ,3.7 ,3.9 ,3.6 ,3.0 ,3.0 ,2.8 ,3.1 ,3.2 ,2.4 ,2.0 ,2.1 ,1.5 ,: 
"TOTAL,A_MD60,PC,DK",9.7 ,9.6 ,8.1 ,8.5 ,9.3 ,1.1 ,1.3 ,1.4 ,1.6 ,1.8 ,3.0 ,2.5 ,2.4 ,2.0 ,2.2 ,2.3 ,2.0 
"TOTAL,A_MD60,PC,EA18",: ,: ,6.5 ,6.5 ,5.9 ,5.7 ,5.3 ,5.4 ,6.4 ,7.3 ,7.2 ,7.3 ,6.4 ,5.9 ,5.5 ,5.1 ,: 
"TOTAL,A_MD60,PC,EA19",: ,: ,6.8 ,6.7 ,6.0 ,5.9 ,5.4 ,5.6 ,6.6 ,7.6 ,7.4 ,7.4 ,6.6 ,6.1 ,5.6 ,5.3 ,: 
"TOTAL,A_MD60,PC,EE",: ,4.6 ,1.9 ,1.7 ,2.4 ,0.7 ,1.0 ,2.0 ,1.9 ,3.1 ,2.3 ,1.1 b,0.9 ,1.8 ,1.5 ,1.8 ,: 
"TOTAL,A_MD60,PC,EL",12.1 ,13.1 ,12.1 ,8.7 ,9.8 ,11.8 ,10.5 ,9.7 ,13.2 ,19.6 ,23.9 ,27.4 ,23.3 ,22.8 ,20.8 ,18.5 ,: 
"TOTAL,A_MD60,PC,ES",: ,7.5 ,7.4 ,7.2 ,5.8 ,4.2 ,5.2 b,5.3 ,4.7 ,6.6 ,6.1 ,7.5 ,7.0 ,6.3 ,4.9 ,5.9 ,: 
"TOTAL,A_MD60,PC,EU",: ,: ,: ,: ,: ,: ,: ,: ,7.3 ,8.0 ,8.1 ,7.5 ,6.6 ,6.1 ,5.7 ,5.1 ,: 
"TOTAL,A_MD60,PC,EU27_2007",: ,: ,: ,: ,8.5 ,7.9 ,7.2 ,7.2 ,7.3 ,8.1 ,8.1 ,7.5 ,6.6 ,6.1 ,5.7 ,5.1 ,: 
"TOTAL,A_MD60,PC,EU27_2020",: ,: ,: ,: ,: ,: ,: ,7.5 e,7.6 e,8.3 e,8.0 e,7.6 e,6.7 e,6.3 e,5.8 e,5.3 e,: 
"TOTAL,A_MD60,PC,EU28",: ,: ,: ,: ,: ,: ,: ,7.2 ,7.3 ,8.0 ,8.1 ,7.5 ,6.6 ,6.1 ,5.7 ,5.1 ,: 
"TOTAL,A_MD60,PC,FI",: ,3.2 ,2.4 ,2.0 ,0.9 ,1.5 ,0.9 ,1.0 ,1.5 ,1.2 ,1.0 ,1.2 ,1.4 ,1.5 ,2.0 ,1.5 ,: 
"TOTAL,A_MD60,PC,FR",: ,4.3 ,4.2 ,4.5 ,3.4 ,4.4 ,4.2 ,4.3 ,4.3 ,4.5 ,4.9 ,4.5 ,3.9 ,3.6 ,3.4 ,3.4 ,: 
"TOTAL,A_MD60,PC,HR",: ,: ,: ,: ,: ,: ,: ,5.5 ,6.5 ,6.7 ,6.5 ,6.2 ,6.4 ,6.3 ,4.1 ,4.5 ,: 
"TOTAL,A_MD60,PC,HU",: ,: ,15.2 ,12.7 ,9.0 ,8.1 ,7.7 ,9.0 ,9.4 ,11.7 ,11.1 ,8.5 ,7.0 ,6.9 ,5.6 ,4.1 ,: 
"TOTAL,A_MD60,PC,IE",1.9 ,2.1 ,2.2 ,2.4 ,2.1 ,3.0 ,3.0 ,5.1 ,5.8 ,6.9 ,8.3 ,7.3 ,7.2 ,4.1 ,2.8 ,3.1 p,: 
"TOTAL,A_MD60,PC,IS",: ,6.9 ,9.0 ,10.2 ,8.6 ,0.8 b,1.0 ,1.3 ,1.9 ,1.3 ,1.2 ,1.6 ,1.3 ,1.4 ,: ,: ,: 
"TOTAL,A_MD60,PC,IT",: ,7.5 ,7.4 ,7.0 ,7.3 ,8.0 ,7.3 ,7.8 ,13.3 ,15.8 ,13.7 ,13.1 ,12.3 ,11.8 ,11.7 ,10.0 ,: 
"TOTAL,A_MD60,PC,LT",: ,: ,32.1 ,25.3 ,19.7 ,20.4 ,21.9 ,22.9 ,35.3 ,33.2 ,28.0 ,24.5 ,28.7 ,29.1 ,26.8 ,25.6 ,: 
"TOTAL,A_MD60,PC,LU",0.8 ,0.3 ,0.5 ,0.2 ,0.2 ,0.6 ,0.2 ,0.2 ,0.7 ,0.4 ,1.0 ,0.3 ,0.5 ,1.3 b,1.4 ,1.3 ,: 
