,id,Age
0,74051,7
1,74052,8
2,74053,10
3,74054,9
4,74055,7
5,74056,12
6,74057,11
7,74058,8
8,74059,13
9,74060,10
10,74061,12
11,74062,10
12,74063,4
13,74064,12
14,74065,5
15,74066,6
16,74067,11
17,74068,12
18,74069,11
19,74070,10
20,74071,16
21,74072,9
22,74073,8
23,74074,9
24,74075,12
25,74076,9
26,74077,13
27,74078,11
28,74079,9
29,74080,11
30,74081,11
31,74082,10
32,74083,10
33,74084,12
34,74085,11
35,74086,7
36,74087,9
37,74088,11
38,74089,8
39,74090,10
40,74091,7
41,74092,10
42,74093,10
43,74094,10
44,74095,18
45,74096,12
46,74097,6
47,74098,6
48,74099,13
49,74100,10
50,74101,11
51,74102,9
52,74103,11
53,74104,10
54,74105,8
55,74106,11
56,74107,9
57,74108,5
58,74109,10
59,74110,6
60,74111,10
61,74112,7
62,74113,8
63,74114,11
64,74115,9
65,74116,10
66,74117,12
67,74118,10
68,74119,8
69,74120,17
70,74121,9
71,74122,7
72,74123,12
73,74124,5
74,74125,7
75,74126,7
76,74127,11
77,74128,10
78,74129,9
79,74130,10
80,74131,10
81,74132,8
82,74133,10
83,74134,11
84,74135,5
85,74136,6
86,74137,5
87,74138,17
88,74139,11
89,74140,14
90,74141,9
91,74142,10
92,74143,14
93,74144,14
94,74145,11
95,74146,8
96,74147,10
97,74148,6
98,74149,10
99,74150,8
100,74151,9
101,74152,13
102,74153,11
103,74154,8
104,74155,6
105,74156,13
106,74157,11
107,74158,12
108,74159,10
109,74160,13
110,74161,10
111,74162,10
112,74163,10
113,74164,9
114,74165,10
115,74166,9
116,74167,11
117,74168,10
118,74169,11
119,74170,10
120,74171,12
121,74172,11
122,74173,7
123,74174,11
124,74175,10
125,74176,9
126,74177,11
127,74178,13
128,74179,12
129,74180,6
130,74181,8
131,74182,10
132,74183,7
133,74184,11
134,74185,12
135,74186,10
136,74187,9
137,74188,12
138,74189,6
139,74190,9
140,74191,10
141,74192,12
142,74193,9
143,74194,4
144,74195,12
145,74196,12
146,74197,10
147,74198,7
148,74199,10
149,74200,10
150,74201,8
151,74202,12
152,74203,10
153,74204,11
154,74205,10
155,74206,9
156,74207,9
157,74208,12
158,74209,17
159,74210,11
160,74211,7
161,74212,9
162,74213,10
163,74214,12
164,74215,8
165,74216,7
166,74217,17
167,74218,10
168,74219,8
169,74220,15
170,74221,8
171,74222,10
172,74223,10
173,74224,8
174,74225,11
175,74226,10
176,74227,11
177,74228,4
178,74229,11
179,74230,10
180,74231,8
181,74232,11
182,74233,6
183,74234,10
184,74235,11
185,74236,8
186,74237,9
187,74238,10
188,74239,6
189,74240,8
190,74241,8
191,74242,13
192,74243,10
193,74244,7
194,74245,10
195,74246,10
196,74247,8
197,74248,9
198,74249,15
199,74250,11
200,74251,12
201,74252,8
202,74253,11
203,74254,10
204,74255,10
205,74256,11
206,74257,12
207,74258,4
208,74259,10
209,74260,8
210,74261,7
211,74262,5
212,74263,11
213,74264,10
214,74265,11
215,74266,8
216,74267,11
217,74268,7
218,74269,8
219,74270,8
220,74271,11
221,74272,17
222,74273,7
223,74274,12
224,74275,9
225,74276,8
226,74277,9
227,74278,14
228,74279,10
229,74280,10
230,74281,15
231,74282,12
232,74283,10
233,74284,8
234,74285,7
235,74286,10
236,74287,11
237,74288,11
238,74289,8
239,74290,11
240,74291,12
241,74292,9
242,74293,7
243,74294,10
244,74295,13
245,74296,12
246,74297,11
247,74298,15
248,74299,12
249,74300,10
250,74301,10
251,74302,10
252,74303,10
253,74304,12
254,74305,9
255,74306,9
256,74307,8
257,74308,10
258,74309,10
259,74310,19
260,74311,9
261,74312,12
262,74313,11
263,74314,11
264,74315,9
265,74316,10
266,74317,10
267,74318,12
268,74319,12
269,74320,8
270,74321,9
271,74322,12
272,74323,10
273,74324,12
274,74325,9
275,74326,8
276,74327,10
277,74328,12
278,74329,9
279,74330,8
280,74331,6
281,74332,10
282,74333,13
283,74334,12
284,74335,11
285,74336,9
286,74337,9
287,74338,10
288,74339,10
289,74340,9
290,74341,9
291,74342,8
292,74343,8
293,74344,10
294,74345,10
295,74346,7
296,74347,13
297,74348,10
298,74349,9
299,74350,11
300,74351,12
301,74352,12
302,74353,10
303,74354,12
304,74355,7
305,74356,6
306,74357,10
307,74358,7
308,74359,8
309,74360,9
310,74361,10
311,74362,8
312,74363,10
313,74364,10
314,74365,6
315,74366,5
316,74367,7
317,74368,8
318,74369,9
319,74370,11
320,74371,10
321,74372,10
322,74373,11
323,74374,9
324,74375,7
325,74376,11
326,74377,10
327,74378,14
328,74379,12
329,74380,10
330,74381,9
331,74382,11
332,74383,8
333,74384,10
334,74385,10
335,74386,14
336,74387,11
337,74388,7
338,74389,9
339,74390,6
340,74391,8
341,74392,9
342,74393,12
343,74394,8
344,74395,10
345,74396,9
346,74397,7
347,74398,10
348,74399,11
349,74400,11
350,74401,9
351,74402,9
352,74403,11
353,74404,7
354,74405,16
355,74406,5
356,74407,9
357,74408,10
358,74409,14
359,74410,10
360,74411,11
361,74412,11
362,74413,9
363,74414,11
364,74415,14
365,74416,10
366,74417,16
367,74418,9
368,74419,10
369,74420,10
370,74421,9
371,74422,5
372,74423,10
373,74424,8
374,74425,7
375,74426,11
376,74427,10
377,74428,10
378,74429,15
379,74430,6
380,74431,5
381,74432,11
382,74433,13
383,74434,12
384,74435,11
385,74436,13
386,74437,11
387,74438,10
388,74439,8
389,74440,11
390,74441,10
391,74442,11
392,74443,7
393,74444,9
394,74445,11
395,74446,12
396,74447,10
397,74448,5
398,74449,7
399,74450,10
400,74451,14
401,74452,11
402,74453,6
403,74454,10
404,74455,8
405,74456,11
406,74457,7
407,74458,7
408,74459,10
409,74460,8
410,74461,12
411,74462,9
412,74463,10
413,74464,15
414,74465,5
415,74466,11
416,74467,11
417,74468,9
418,74469,10
419,74470,11
420,74471,12
421,74472,13
422,74473,16
423,74474,5
424,74475,10
425,74476,10
426,74477,10
427,74478,9
428,74479,15
429,74480,10
430,74481,8
431,74482,9
432,74483,9
433,74484,11
434,74485,15
435,74486,7
436,74487,5
437,74488,11
438,74489,7
439,74490,7
440,74491,9
441,74492,7
442,74493,10
443,74494,11
444,74495,12
445,74496,5
446,74497,10
447,74498,10
448,74499,9
449,74500,9
450,74501,9
451,74502,11
452,74503,9
453,74504,13
454,74505,9
455,74506,10
456,74507,10
457,74508,7
458,74509,14
459,74510,10
460,74511,11
461,74512,10
462,74513,11
463,74514,10
464,74515,10
465,74516,6
466,74517,8
467,74518,11
468,74519,10
469,74520,6
470,74521,9
471,74522,10
472,74523,10
473,74524,8
474,74525,7
475,74526,8
476,74527,9
477,74528,10
478,74529,9
479,74530,9
480,74531,10
481,74532,10
482,74533,10
483,74534,7
484,74535,11
485,74536,5
486,74537,7
487,74538,10
488,74539,9
489,74540,9
490,74541,10
491,74542,10
492,74543,10
493,74544,10
494,74545,11
495,74546,15
496,74547,10
497,74548,14
498,74549,8
499,74550,13
500,74551,12
501,74552,9
502,74553,9
503,74554,10
504,74555,10
505,74556,9
506,74557,11
507,74558,10
508,74559,10
509,74560,10
510,74561,10
511,74562,5
512,74563,11
513,74564,10
514,74565,9
515,74566,9
516,74567,14
517,74568,6
518,74569,16
519,74570,12
520,74571,4
521,74572,6
522,74573,13
523,74574,11
524,74575,7
525,74576,8
526,74577,8
527,74578,7
528,74579,11
529,74580,10
530,74581,10
531,74582,5
532,74583,10
533,74584,10
534,74585,11
535,74586,4
536,74587,6
537,74588,9
538,74589,9
539,74590,11
540,74591,9
541,74592,11
542,74593,5
543,74594,13
544,74595,13
545,74596,11
546,74597,8
547,74598,5
548,74599,9
549,74600,6
550,74601,7
551,74602,9
552,74603,5
553,74604,13
554,74605,6
555,74606,8
556,74607,11
557,74608,10
558,74609,7
559,74610,12
560,74611,8
561,74612,11
562,74613,10
563,74614,9
564,74615,11
565,74616,7
566,74617,11
567,74618,6
568,74619,8
569,74620,9
570,74621,6
571,74622,8
572,74623,7
573,74624,9
574,74625,10
575,74626,11
576,74627,9
577,74628,13
578,74629,11
579,74630,14
580,74631,14
581,74632,8
582,74633,16
583,74634,9
584,74635,10
585,74636,13
586,74637,8
587,74638,7
588,74639,9
589,74640,8
590,74641,7
591,74642,8
592,74643,10
593,74644,10
594,74645,4
595,74646,9
596,74647,10
597,74648,11
598,74649,5
599,74650,12
600,74651,10
601,74652,12
602,74653,6
603,74654,12
604,74655,11
605,74656,9
606,74657,9
607,74658,10
608,74659,10
609,74660,9
610,74661,14
611,74662,8
612,74663,11
613,74664,11
614,74665,15
615,74666,10
616,74667,9
617,74668,11
618,74669,9
619,74670,10
620,74671,10
621,74672,10
622,74673,10
623,74674,9
624,74675,12
625,74676,10
626,74677,10
627,74678,10
628,74679,10
629,74680,9
630,74681,9
631,74682,10
632,74683,7
633,74684,7
634,74685,6
635,74686,6
636,74687,9
637,74688,10
638,74689,9
639,74690,8
640,74691,11
641,74692,7
642,74693,7
643,74694,10
644,74695,10
645,74696,6
646,74697,8
647,74698,7
648,74699,11
649,74700,8
650,74701,9
651,74702,13
652,74703,7
653,74704,10
654,74705,5
655,74706,6
656,74707,6
657,74708,13
658,74709,10
659,74710,7
660,74711,12
661,74712,12
662,74713,7
663,74714,8
664,74715,10
665,74716,8
666,74717,9
667,74718,10
668,74719,10
669,74720,8
670,74721,10
671,74722,14
672,74723,10
673,74724,11
674,74725,16
675,74726,12
676,74727,8
677,74728,11
678,74729,10
679,74730,10
680,74731,9
681,74732,14
682,74733,11
683,74734,7
684,74735,11
685,74736,8
686,74737,11
687,74738,8
688,74739,11
689,74740,9
690,74741,9
691,74742,12
692,74743,10
693,74744,9
694,74745,9
695,74746,12
696,74747,10
697,74748,10
698,74749,10
699,74750,8
700,74751,10
701,74752,8
702,74753,7
703,74754,14
704,74755,10
705,74756,7
706,74757,10
707,74758,12
708,74759,8
709,74760,12
710,74761,9
711,74762,7
712,74763,18
713,74764,11
714,74765,10
715,74766,10
716,74767,7
717,74768,9
718,74769,9
719,74770,9
720,74771,11
721,74772,11
722,74773,10
723,74774,11
724,74775,11
725,74776,10
726,74777,7
727,74778,6
728,74779,10
729,74780,10
730,74781,9
731,74782,9
732,74783,11
733,74784,11
734,74785,11
735,74786,11
736,74787,16
737,74788,7
738,74789,5
739,74790,9
740,74791,11
741,74792,6
742,74793,7
743,74794,14
744,74795,12
745,74796,12
746,74797,8
747,74798,14
748,74799,10
749,74800,16
750,74801,9
751,74802,11
752,74803,13
753,74804,10
754,74805,10
755,74806,5
756,74807,5
757,74808,7
758,74809,16
759,74810,6
760,74811,11
761,74812,10
762,74813,11
763,74814,10
764,74815,9
765,74816,12
766,74817,12
767,74818,9
768,74819,9
769,74820,11
770,74821,11
771,74822,10
772,74823,8
773,74824,11
774,74825,7
775,74826,9
776,74827,11
777,74828,10
778,74829,10
