iter	MAE
0	2.261525325
1	2.197286056
2	2.141205322
3	2.079780517
4	2.034045865
5	1.987694159
6	1.944551222
7	1.909147813
8	1.870418211
9	1.837953781
10	1.805048087
11	1.77183535
12	1.743048553
13	1.71804999
14	1.694298658
15	1.670634645
16	1.651034225
17	1.635175159
18	1.617135033
19	1.602376528
20	1.589542125
21	1.577840793
22	1.566926337
23	1.556029242
24	1.547475967
25	1.537483428
26	1.528898825
27	1.519771551
28	1.511536569
29	1.504139884
30	1.498974162
31	1.49500272
32	1.489058227
33	1.483512056
34	1.478339496
35	1.475275033
36	1.46959642
37	1.464815881
38	1.461478898
39	1.456240651
40	1.452233356
41	1.450063013
42	1.446729895
43	1.444168436
44	1.440335996
45	1.437436446
46	1.435251651
47	1.432963879
48	1.43075116
49	1.428934697
50	1.427040945
51	1.425871976
52	1.424923711
53	1.423139491
54	1.422317404
55	1.421380166
56	1.420238486
57	1.418947527
58	1.418095088
59	1.417627435
60	1.416604339
61	1.41548422
62	1.414237014
63	1.412963474
64	1.412158903
65	1.410921512
66	1.410083837
67	1.409532988
68	1.409169072
69	1.408562389
70	1.407848428
71	1.407668582
72	1.406392382
73	1.405739887
74	1.405302261
75	1.404905336
76	1.404333228
77	1.40355122
78	1.403397145
79	1.403129128
80	1.402679575
81	1.401538603
82	1.400802819
83	1.400178309
84	1.399482655
85	1.399290001
86	1.398521588
87	1.397685447
88	1.397298476
89	1.396543402
90	1.396142528
91	1.395387968
92	1.394740706
93	1.394113379
94	1.393439183
95	1.392770195
96	1.392370641
97	1.391863682
98	1.391724753
99	1.391171255
100	1.390593282
101	1.390366192
102	1.390037445
103	1.389688608
104	1.389322269
105	1.389064001
106	1.38886216
107	1.388576335
108	1.388303963
109	1.388096989
110	1.387932672
111	1.387489957
112	1.387380042
113	1.387297269
114	1.387244802
115	1.386966286
116	1.386896384
117	1.386647913
118	1.386540345
119	1.386465481
120	1.386396061
121	1.386365274
122	1.386111747
123	1.38603352
124	1.386018123
125	1.385979851
126	1.385883311
127	1.385804261
128	1.385645596
129	1.38558824
130	1.385542993
131	1.385443893
132	1.3850817
133	1.384676568
134	1.384266154
135	1.384240505
136	1.383852547
137	1.383591137
138	1.38307134
139	1.382705848
140	1.38204521
141	1.381554719
142	1.381013791
143	1.380526596
144	1.3802152
145	1.380084002
146	1.379540789
147	1.379067055
148	1.379043619
149	1.378526704
150	1.378337759
151	1.377828975
152	1.377509904
153	1.377305917
154	1.377221847
155	1.377161785
156	1.376773858
157	1.37642556
158	1.376012472
159	1.375772383
160	1.375499597
161	1.375236772
162	1.374697289
163	1.374525346
164	1.374168098
165	1.373915814
166	1.373767541
167	1.37373328
168	1.373625668
169	1.373366062
170	1.373344545
171	1.373281919
172	1.372889715
173	1.372751369
174	1.372269916
175	1.371955472
176	1.371810986
177	1.371420093
178	1.370964603
179	1.370668225
180	1.370283787
181	1.369769626
182	1.369586074
183	1.369461138
184	1.369343175
185	1.369324322
186	1.369283758
187	1.368815758
188	1.368533139
189	1.368192288
190	1.36792033
191	1.367616921
192	1.367457027
193	1.367279032
194	1.366888519
195	1.36675666
196	1.366680591
197	1.36637997
198	1.366071383
199	1.365845318
200	1.365635241
201	1.365593284
202	1.365486919
203	1.365431274
204	1.365180452
205	1.364799778
206	1.364547997
207	1.364492137
208	1.364256612
209	1.364069527
210	1.363705409
211	1.363484147
212	1.363197993
213	1.363013269
214	1.362648006
215	1.362492086
216	1.362305393
217	1.362283401
218	1.362250438
219	1.362206168
220	1.362036303
221	1.361974975
222	1.361920121
223	1.361616605
224	1.36157114
225	1.361423842
226	1.361216661
227	1.36090585
228	1.360855103
229	1.360612087
230	1.360446903
231	1.3604002
232	1.360108986
233	1.360058761
234	1.359852626
235	1.359838822
236	1.359745028
237	1.359514016
238	1.359304503
239	1.359148092
240	1.359039232
241	1.358737844
242	1.358540475
243	1.358291655
244	1.358083786
245	1.357873602
246	1.357625311
247	1.35726671
248	1.357169183
249	1.357023587
250	1.356931199
251	1.356797478
252	1.356425612
253	1.356352527
254	1.356185461
255	1.355920092
256	1.355585334
257	1.355413489
258	1.355263198
259	1.355134242
260	1.355067475
261	1.35476767
262	1.354622772
263	1.354306249
264	1.354029329
265	1.353838631
266	1.353560852
267	1.353329283
268	1.353037532
269	1.353006673
270	1.352731805
271	1.35269964
272	1.352606644
273	1.352567029
274	1.352441394
275	1.352247358
276	1.352058805
277	1.351982705
278	1.351731176
279	1.351590207
280	1.351466245
281	1.351444354
282	1.351425636
283	1.351375789
284	1.351158567
285	1.351002937
286	1.350979507
287	1.350781697
288	1.350717782
289	1.350660054
290	1.350644892
291	1.350615775
292	1.350588409
293	1.350547559
294	1.350519706
295	1.350490439
296	1.350458841
297	1.350346244
298	1.350330825
299	1.350267978
300	1.350154993
301	1.350017579
302	1.349968561
303	1.349936303
304	1.349927848
305	1.349895791
306	1.349886023
307	1.349695309
308	1.349648809
309	1.349625902
310	1.34960654
311	1.349579036
312	1.349317385
313	1.349258172
314	1.349246203
315	1.349229146
316	1.349147278
317	1.348997288
318	1.348750752
319	1.348722171
320	1.34862981
321	1.348598731
322	1.348434306
323	1.348407254
324	1.348167317
325	1.348150799
326	1.348143626
327	1.348131493
328	1.348117417
329	1.348093094
330	1.348067367
331	1.34804515
332	1.347808735
333	1.34769188
334	1.347661879
335	1.347641514
336	1.347571824
337	1.347557049
338	1.347372129
339	1.347208816
340	1.347046178
341	1.346909448
342	1.346865734
343	1.346853955
344	1.346659141
345	1.346576307
346	1.34644213
347	1.346260976
348	1.346123651
349	1.345931804
350	1.345727933
351	1.345659018
352	1.345607929
353	1.34553629
354	1.345525828
355	1.34546454
356	1.345320718
357	1.345262313
358	1.345237953
359	1.345221543
360	1.345095363
361	1.345080928
362	1.344946572
363	1.344873661
364	1.344848996
365	1.34477113
