iter	Passed	Remaining
0	7	7807
1	14	7250
2	21	7040
3	27	6953
4	34	6831
5	40	6739
6	47	6671
7	52	6566
8	59	6532
9	64	6349
10	68	6172
11	73	6047
12	78	5935
13	83	5865
14	88	5819
15	92	5707
16	97	5614
17	101	5557
18	106	5509
19	111	5461
20	116	5408
21	120	5356
22	124	5309
23	129	5270
24	134	5238
25	138	5199
26	143	5164
27	147	5128
28	152	5101
29	157	5079
30	161	5053
31	166	5039
32	171	5018
33	175	4989
34	180	4962
35	184	4946
36	189	4942
37	194	4935
38	199	4921
39	204	4906
40	208	4877
41	213	4862
42	217	4841
43	222	4824
44	227	4818
45	231	4806
46	236	4792
47	241	4785
48	245	4771
49	250	4765
50	255	4756
51	260	4741
52	265	4735
53	269	4729
54	274	4711
55	278	4699
56	283	4689
57	288	4678
58	292	4671
59	297	4658
60	302	4650
61	306	4634
62	310	4623
63	315	4612
64	319	4600
65	324	4597
66	329	4592
67	334	4582
68	338	4573
69	343	4564
70	347	4553
71	352	4538
72	356	4528
73	360	4516
74	365	4503
75	369	4496
76	374	4486
77	378	4475
78	383	4467
79	387	4457
80	391	4446
81	396	4435
82	400	4426
83	404	4416
84	408	4402
85	413	4393
86	417	4383
87	422	4374
88	426	4365
89	431	4359
90	435	4351
91	440	4343
92	444	4338
93	449	4332
94	453	4321
95	458	4315
96	463	4311
97	468	4308
98	472	4300
99	477	4295
100	481	4288
101	486	4282
102	490	4272
103	495	4266
104	499	4259
105	503	4250
106	508	4243
107	513	4239
108	517	4231
109	521	4222
110	526	4214
111	530	4206
112	534	4197
113	539	4192
114	543	4182
115	547	4174
116	552	4166
117	556	4159
118	560	4151
119	564	4141
120	568	4132
121	573	4124
122	577	4118
123	581	4111
124	586	4103
125	590	4093
126	594	4087
127	598	4078
128	602	4070
129	606	4061
130	610	4053
131	616	4051
132	621	4052
133	626	4045
134	630	4039
135	634	4033
136	639	4027
137	643	4021
138	648	4015
139	652	4008
140	657	4004
141	661	3999
142	666	3992
143	670	3985
144	674	3977
145	678	3970
146	683	3965
147	687	3958
148	691	3952
149	696	3946
150	701	3943
151	705	3938
152	710	3931
153	714	3926
154	718	3919
155	723	3914
156	727	3907
157	732	3902
158	736	3897
159	741	3891
160	745	3885
161	749	3879
162	754	3872
163	758	3866
164	763	3862
165	767	3857
166	772	3851
167	776	3846
168	781	3842
169	785	3837
170	790	3832
171	794	3824
172	799	3820
173	803	3816
174	808	3811
175	813	3806
176	817	3801
177	822	3800
178	827	3795
179	832	3791
180	836	3785
181	841	3781
182	846	3777
183	850	3772
184	855	3769
185	859	3762
186	863	3755
187	868	3751
188	873	3748
189	878	3744
190	882	3739
191	888	3737
192	892	3732
193	897	3726
194	901	3720
195	905	3715
196	910	3711
197	915	3707
198	919	3701
199	923	3695
200	928	3691
201	933	3686
202	937	3679
203	941	3672
204	945	3668
205	950	3663
206	954	3656
207	958	3649
208	963	3644
209	967	3640
210	971	3634
211	976	3630
212	980	3624
213	985	3618
214	990	3615
215	994	3609
216	998	3604
217	1002	3597
218	1006	3590
219	1010	3584
220	1015	3579
221	1020	3574
222	1024	3568
223	1028	3561
224	1032	3555
225	1036	3549
226	1040	3543
227	1044	3537
228	1049	3532
229	1053	3528
230	1058	3524
231	1063	3520
232	1069	3519
233	1073	3513
234	1077	3507
235	1081	3501
236	1086	3496
237	1090	3490
238	1094	3484
239	1098	3479
240	1103	3473
241	1107	3468
242	1111	3462
243	1115	3457
244	1120	3451
245	1124	3447
246	1129	3443
247	1134	3440
248	1139	3435
249	1143	3429
250	1147	3423
251	1151	3418
252	1156	3413
253	1160	3408
254	1164	3403
255	1169	3397
256	1173	3392
257	1177	3387
258	1182	3382
259	1186	3377
260	1191	3373
261	1196	3369
262	1200	3363
263	1204	3358
264	1208	3352
265	1212	3347
266	1217	3341
267	1221	3337
268	1226	3331
269	1230	3325
270	1234	3320
271	1238	3314
272	1242	3308
273	1246	3302
274	1250	3297
275	1255	3292
276	1259	3287
277	1263	3282
278	1268	3277
279	1272	3272
280	1277	3267
281	1280	3261
282	1284	3255
283	1289	3250
284	1293	3245
285	1297	3240
286	1301	3234
287	1306	3229
288	1310	3223
289	1314	3218
290	1318	3212
291	1322	3206
292	1326	3201
293	1331	3196
294	1335	3191
295	1339	3184
296	1343	3179
297	1347	3173
298	1351	3168
299	1355	3162
300	1359	3157
301	1363	3152
302	1367	3146
303	1371	3140
