,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,5.1,3.5,1.4,0.2,Iris-setosa
1,4.7,3.2,1.6,0.2,Iris-setosa
2,4.9,3.1,1.5,0.1,Iris-setosa
3,4.4,2.9,1.4,0.2,Iris-setosa
4,5.0,3.4,1.5,0.2,Iris-setosa
5,4.6,3.4,1.4,0.3,Iris-setosa
7,5.0,3.6,1.4,0.2,Iris-setosa
8,4.6,3.1,1.5,0.2,Iris-setosa
9,4.7,3.2,1.3,0.2,Iris-setosa
10,4.9,3.0,1.4,0.2,Iris-setosa
11,4.8,3.4,1.6,0.2,Iris-setosa
13,5.4,3.7,1.5,0.2,Iris-setosa
15,5.2,3.5,1.5,0.2,Iris-setosa
16,5.0,3.4,1.6,0.4,Iris-setosa
17,5.0,3.0,1.6,0.2,Iris-setosa
21,5.1,3.7,1.5,0.4,Iris-setosa
23,5.1,3.8,1.5,0.3,Iris-setosa
25,5.1,3.5,1.4,0.3,Iris-setosa
28,5.2,3.4,1.4,0.2,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
30,4.8,3.0,1.4,0.1,Iris-setosa
31,5.4,3.4,1.5,0.4,Iris-setosa
32,5.2,4.1,1.5,0.1,Iris-setosa
33,5.5,4.2,1.4,0.2,Iris-setosa
34,4.8,3.1,1.6,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
38,4.9,3.1,1.5,0.1,Iris-setosa
39,4.4,3.0,1.3,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
41,4.5,2.3,1.3,0.3,Iris-setosa
42,4.4,3.2,1.3,0.2,Iris-setosa
45,4.8,3.0,1.4,0.3,Iris-setosa
46,5.0,3.5,1.3,0.3,Iris-setosa
47,4.6,3.2,1.4,0.2,Iris-setosa
48,5.0,3.5,1.3,0.3,Iris-setosa
49,5.1,3.8,1.6,0.2,Iris-setosa
50,5.1,3.8,1.5724137931034483,0.2,Iris-setosa
51,5.0344827586206895,3.7,1.5,0.4,Iris-setosa
52,5.3,3.7,1.5724137931034483,0.2,Iris-setosa
53,4.6,3.3898305084745766,1.4,0.3,Iris-setosa
54,4.4,3.0,1.3,0.3,Iris-setosa
56,5.7,4.4,1.5,0.4,Iris-setosa
57,5.0,3.3,1.4,0.2,Iris-setosa
58,5.3,3.7,1.5,0.2,Iris-setosa
59,5.0344827586206895,2.3,1.3,0.3,Iris-setosa
60,5.7,2.8,4.5,1.3,Iris-versicolor
61,6.7,3.1,4.4,1.4,Iris-versicolor
62,5.6,2.9,3.6,1.3,Iris-versicolor
63,6.1,2.9,4.7,1.4,Iris-versicolor
64,6.4,3.2,4.5,1.5,Iris-versicolor
65,4.9,2.4,3.3,1.0,Iris-versicolor
66,5.5,2.3,4.0,1.3,Iris-versicolor
67,6.5,2.8,4.6,1.5,Iris-versicolor
68,6.3,3.3,4.7,1.6,Iris-versicolor
69,5.8,2.7,4.1,1.0,Iris-versicolor
70,6.9,3.1,4.9,1.5,Iris-versicolor
71,5.7,2.6,3.5,1.0,Iris-versicolor
72,6.2,2.2,4.5,1.5,Iris-versicolor
73,5.6,3.0,4.5,1.5,Iris-versicolor
74,6.7,3.0,5.0,1.7,Iris-versicolor
75,6.8,2.8,4.8,1.4,Iris-versicolor
76,6.6,3.0,4.4,1.4,Iris-versicolor
77,6.4,2.9,4.3,1.3,Iris-versicolor
78,6.1,2.8,4.7,1.2,Iris-versicolor
79,6.0,2.9,4.5,1.5,Iris-versicolor
80,6.3,2.5,4.9,1.5,Iris-versicolor
81,6.1,2.8,4.0,1.3,Iris-versicolor
82,5.9,3.2,4.8,1.8,Iris-versicolor
83,5.6,2.5,3.9,1.1,Iris-versicolor
84,6.6,2.9,4.6,1.3,Iris-versicolor
85,7.0,3.2,4.7,1.4,Iris-versicolor
86,5.2,2.7,3.9,1.4,Iris-versicolor
87,6.0,2.2,4.0,1.0,Iris-versicolor
88,5.9,3.0,4.2,1.5,Iris-versicolor
89,5.0,2.0,3.5,1.0,Iris-versicolor
91,6.3,2.3,4.4,1.3,Iris-versicolor
92,6.7,3.1,4.7,1.5,Iris-versicolor
93,6.0,3.4,4.5,1.6,Iris-versicolor
94,5.8,2.6,4.0,1.2,Iris-versicolor
95,5.5,2.5,4.0,1.3,Iris-versicolor
96,5.5,2.6,4.4,1.2,Iris-versicolor
97,5.0,2.3,3.3,1.0,Iris-versicolor
98,6.3,3.3,4.190384615384615,1.6,Iris-versicolor
99,5.7,3.0,4.2,1.2,Iris-versicolor
100,5.7,2.9,4.2,1.3,Iris-versicolor
101,6.1,3.0,4.6,1.4,Iris-versicolor
103,6.2,2.9,4.3,1.3,Iris-versicolor
104,5.5,2.4,3.8,1.1,Iris-versicolor
105,5.4,3.0,4.5,1.5,Iris-versicolor
106,5.5,2.4,3.7,1.0,Iris-versicolor
